m,n,row_label,col_label,abs_derivative,real_derivative,imag_derivative
5,0,XX,II,0.015123708747410928,-0.0005212131620174788,-0.015114724711891169
0,5,II,XX,0.015123708747410921,-0.0005212131620174471,0.015114724711891162
0,0,II,II,0.0021437533216574845,-0.0021437533216574845,-3.6000751280481715e-17
5,5,XX,XX,0.0011013054361514935,0.0011013054361514935,1.8092281690162415e-17
4,4,XI,XI,0.0005212259803410338,0.0005212259803410338,-3.1021820719021036e-17
1,1,IX,IX,0.0005212219051641694,0.0005212219051641694,9.536512985465264e-18
1,4,IX,XI,0.0005212131620731076,0.0005212131620175053,-7.613235040307064e-09
4,1,XI,IX,0.000521213162073101,0.0005212131620174987,7.613235005945219e-09
6,6,XY,XY,2.429748925148777e-05,-2.429748925148777e-05,3.9189294891839163e-17
9,9,YX,YX,2.4297293363647012e-05,-2.4297293363647012e-05,1.4998879692918163e-17
7,7,XZ,XZ,2.4295045266983606e-05,2.4295045266983606e-05,2.2102854405973565e-17
8,8,YI,YI,2.4293816587446715e-05,2.4293816587446715e-05,1.1600287911334211e-17
13,13,ZX,ZX,2.4290789133367812e-05,2.4290789133367812e-05,4.16999036674872e-17
2,2,IY,IY,2.4289375714927412e-05,2.4289375714927412e-05,2.4905763962178456e-17
12,12,ZI,ZI,2.4287312355302088e-05,-2.4287312355302088e-05,-2.808172983710461e-17
3,3,IZ,IZ,2.4286931728045382e-05,-2.4286931728045382e-05,-4.5917838212828103e-17
2,7,IY,XZ,1.0587883404049506e-05,1.0587877299276091e-05,-1.1369838212865995e-08
7,2,XZ,IY,1.058788340403127e-05,1.0587877299257876e-05,1.1369838192236048e-08
13,8,ZX,YI,1.0572244836035621e-05,1.0572238821166474e-05,1.1277468792309789e-08
8,13,YI,ZX,1.0572244835987213e-05,1.0572238821118082e-05,-1.1277468778948903e-08
