nbar_index,nbar,difference_method,output,input,value,real_value,imag_value,abs_value
2,2.0,central,IY,XZ,-0.028981273065853932,-0.028981273065853932,0.0,0.028981273065853932
2,2.0,central,YI,ZX,-0.028981259341034425,-0.028981259341034425,0.0,0.028981259341034425
2,2.0,central,IZ,XY,0.02897898293332584,0.02897898293332584,0.0,0.02897898293332584
2,2.0,central,ZI,YX,0.028978982933325827,0.028978982933325827,0.0,0.028978982933325827
2,2.0,central,YX,ZI,-0.028963797185322403,-0.028963797185322403,0.0,0.028963797185322403
2,2.0,central,XY,IZ,-0.028963711360586696,-0.028963711360586696,0.0,0.028963711360586696
2,2.0,central,ZX,YI,0.028961294612125352,0.028961294612125352,0.0,0.028961294612125352
2,2.0,central,XZ,IY,0.028961226990539025,0.028961226990539025,0.0,0.028961226990539025
2,2.0,central,ZI,ZI,-0.005590841084219311,-0.005590841084219311,0.0,0.005590841084219311
2,2.0,central,XY,XY,-0.0055908085001268315,-0.0055908085001268315,0.0,0.0055908085001268315
