nbar,rank,pauli,p_PT,p_dep_uniform,ratio_PT_over_dep,excess_PT_minus_dep
0.01,1,XI,0.0005489644734904264,0.00016221135273850976,3.384254333760325,0.0003867531207519167
0.01,2,IX,0.00054896182655359,0.00016221135273850976,3.384238015933048,0.0003867504738150803
0.01,3,XX,0.00035263547003016454,0.00016221135273850976,2.173925955716706,0.0001904241172916548
0.01,4,XY,0.00017421939214417453,0.00016221135273850976,1.0740271208083823,1.2008039405664777e-05
0.01,5,YX,0.0001742187378520263,0.00016221135273850976,1.0740230872303547,1.2007385113516539e-05
0.01,6,ZI,0.00017421621101196966,0.00016221135273850976,1.0740075097753001,1.20048582734599e-05
0.01,7,IZ,0.00017421573596374668,0.00016221135273850976,1.074004581199618,1.200438322523692e-05
0.01,8,YI,7.138377216116959e-05,0.00016221135273850976,0.4400664377433722,-9.082758057734017e-05
0.01,9,IY,7.13808489420445e-05,0.00016221135273850976,0.44004841669197386,-9.083050379646526e-05
0.01,10,XZ,7.136753417987668e-05,0.00016221135273850976,0.43996633389109074,-9.084381855863308e-05
1.0,1,XX,0.0014429278518201458,0.0003036990719678852,4.751176361753021,0.0011392287798522606
1.0,2,XI,0.0010649781940281072,0.0003036990719678852,3.5066889968656993,0.0007612791220602221
1.0,3,IX,0.0010649715126661158,0.0003036990719678852,3.5066669969236246,0.0007612724406982306
1.0,4,ZI,0.00015017177178027613,0.0003036990719678852,0.4944755701991612,-0.00015352730018760907
1.0,5,IZ,0.00015017167355297484,0.0003036990719678852,0.49447524676287063,-0.00015352739841491037
1.0,6,XY,0.00015016487778519994,0.0003036990719678852,0.49445287011308087,-0.00015353419418268527
1.0,7,YX,0.00015016441742201486,0.0003036990719678852,0.49445135425996317,-0.00015353465454587034
1.0,8,YI,9.543465058276662e-05,0.0003036990719678852,0.3142408370377187,-0.00020826442138511858
1.0,9,IY,9.542733089980271e-05,0.0003036990719678852,0.3142167352750216,-0.0002082717410680825
1.0,10,XZ,9.541962899418249e-05,0.0003036990719678852,0.31419137495511573,-0.0002082794429737027
2.0,1,XX,0.0033820896964236458,0.0004983969642492388,6.785935587545688,0.002883692732174407
2.0,2,IX,0.0015556300909854368,0.0004983969642492388,3.121267187750156,0.0010572331267361978
2.0,3,XI,0.0015556261553255832,0.0004983969642492388,3.121259291113266,0.0010572291910763442
2.0,4,IZ,0.00014364175137492052,0.0004983969642492388,0.2882075166555148,-0.0003547552128743183
2.0,5,ZI,0.00014364097095190265,0.0004983969642492388,0.2882059507891997,-0.0003547559932973362
2.0,6,YX,0.00014364064368202478,0.0004983969642492388,0.2882052941441931,-0.00035475632056721407
2.0,7,XY,0.0001436403540303749,0.0004983969642492388,0.2882047129776318,-0.00035475661021886395
2.0,8,IY,0.00010196103328240225,0.0004983969642492388,0.2045779581261925,-0.0003964359309668366
2.0,9,YI,0.00010195658672709773,0.0004983969642492388,0.20456903641192964,-0.0003964403775221411
2.0,10,ZX,0.00010194530987051031,0.0004983969642492388,0.20454641015736486,-0.00039645165437872853
3.0,1,XX,0.006082915913364857,0.0007398055287854514,8.222317455982333,0.0053431103845794055
3.0,2,XI,0.0020157920447390967,0.0007398055287854514,2.7247593675711634,0.0012759865159536455
3.0,3,IX,0.002015766452676239,0.0007398055287854514,2.7247247746114436,0.0012759609238907877
3.0,4,ZI,0.00014038521483378946,0.0007398055287854514,0.18975961840169234,-0.0005994203139516619
3.0,5,IZ,0.000140381102243195,0.0007398055287854514,0.1897540593859315,-0.0005994244265422564
3.0,6,XY,0.00014037734162185983,0.0007398055287854514,0.18974897612933386,-0.0005994281871635915
3.0,7,YX,0.00014037428225436438,0.0007398055287854514,0.1897448407621645,-0.000599431246531087
3.0,8,YI,0.00010523027582009375,0.0007398055287854514,0.14224045607343824,-0.0006345752529653576
3.0,9,XZ,0.0001052179671327258,0.0007398055287854514,0.14222381833975145,-0.0006345875616527256
3.0,10,IY,0.00010520710023279728,0.0007398055287854514,0.1422091294796312,-0.0006345984285526541
4.0,1,XX,0.009468928188377308,0.001023399839429756,9.252422976393515,0.008445528348947552
4.0,2,XI,0.002449732104217228,0.001023399839429756,2.3937194533685213,0.001426332264787472
4.0,3,IX,0.0024497287778490473,0.001023399839429756,2.3937162030571058,0.0014263289384192912
4.0,4,ZI,0.0001383438312317145,0.001023399839429756,0.1351806262826858,-0.0008850560081980416
4.0,5,IZ,0.00013834178093277,0.001023399839429756,0.1351786228634302,-0.0008850580584969861
4.0,6,XY,0.00013830740852464884,0.001023399839429756,0.13514503637377398,-0.0008850924309051073
4.0,7,YX,0.00013830674579606156,0.001023399839429756,0.1351443887983477,-0.0008850930936336945
4.0,8,YI,0.00010728515197715865,0.001023399839429756,0.10483209772334781,-0.0009161146874525974
4.0,9,IY,0.00010728394867558222,0.001023399839429756,0.10483092193502924,-0.0009161158907541739
4.0,10,XZ,0.0001072503730981042,0.001023399839429756,0.10479811405663761,-0.0009161494663316519
