n_bar,detuning_offset,intensity_scale,fidelity,infidelity,pulse
0.01,-0.015,0.985,0.9958248723252623,0.004175127674737711,baseline
0.01,-0.015,1.0,0.9942595235338718,0.005740476466128186,baseline
0.01,-0.015,1.015,0.9916705760872743,0.00832942391272573,baseline
0.01,0.0,0.985,0.9995619983131441,0.00043800168685592666,baseline
0.01,0.0,1.0,0.9999999997913639,2.086361083897259e-10,baseline
0.01,0.0,1.015,0.9995498969687493,0.0004501030312507037,baseline
0.01,0.015,0.985,0.9931398400256196,0.0068601599743803865,baseline
0.01,0.015,1.0,0.9950023661887656,0.004997633811234414,baseline
0.01,0.015,1.015,0.996103981485429,0.003896018514570998,baseline
1.0,-0.015,0.985,0.9887597131146141,0.01124028688538592,baseline
1.0,-0.015,1.0,0.9869960859794158,0.013003914020584206,baseline
1.0,-0.015,1.015,0.9842165372025846,0.015783462797415382,baseline
1.0,0.0,0.985,0.9995619983131441,0.00043800168685592666,baseline
1.0,0.0,1.0,0.9999999997913639,2.086361083897259e-10,baseline
1.0,0.0,1.015,0.9995498969687493,0.0004501030312507037,baseline
1.0,0.015,0.985,0.9868825081813686,0.013117491818631422,baseline
1.0,0.015,1.0,0.988540851830044,0.011459148169955968,baseline
1.0,0.015,1.015,0.9894411486324218,0.01055885136757817,baseline
4.0,-0.015,0.985,0.9682837222312151,0.03171627776878494,baseline
4.0,-0.015,1.0,0.9659746660178147,0.034025333982185324,baseline
4.0,-0.015,1.015,0.9626746986285715,0.03732530137142853,baseline
4.0,0.0,0.985,0.9995619983131441,0.00043800168685592666,baseline
4.0,0.0,1.0,0.9999999997913639,2.086361083897259e-10,baseline
4.0,0.0,1.015,0.9995498969687493,0.0004501030312507037,baseline
4.0,0.015,0.985,0.9686595301528765,0.031340469847123464,baseline
4.0,0.015,1.0,0.969744563471572,0.030255436528427992,baseline
4.0,0.015,1.015,0.9700819218297415,0.02991807817025849,baseline
0.01,-0.015,0.985,0.9969108360529162,0.003089163947083806,optimized
0.01,-0.015,1.0,0.9955029681740137,0.004497031825986264,optimized
0.01,-0.015,1.015,0.9930794789157368,0.00692052108426322,optimized
0.01,0.0,0.985,0.9995495865544974,0.0004504134455025621,optimized
0.01,0.0,1.0,0.9999998443363689,1.556636310962034e-07,optimized
0.01,0.0,1.015,0.9995629528905271,0.00043704710947289893,optimized
0.01,0.015,0.985,0.9944097177667223,0.0055902822332777324,optimized
0.01,0.015,1.0,0.9962130253450813,0.003786974654918729,optimized
0.01,0.015,1.015,0.9972471175684255,0.002752882431574455,optimized
1.0,-0.015,0.985,0.9916788741752491,0.008321125824750863,optimized
1.0,-0.015,1.0,0.9901222684134513,0.0098777315865487,optimized
1.0,-0.015,1.015,0.9875555102078468,0.01244448979215318,optimized
1.0,0.0,0.985,0.9995494823615048,0.0004505176384952403,optimized
1.0,0.0,1.0,0.9999997368853476,2.631146523990324e-07,optimized
1.0,0.0,1.015,0.9995628422522538,0.0004371577477462196,optimized
1.0,0.015,0.985,0.9900037076180116,0.009996292381988403,optimized
1.0,0.015,1.0,0.9916629749002785,0.008337025099721451,optimized
1.0,0.015,1.015,0.9925550431032996,0.007444956896700439,optimized
4.0,-0.015,0.985,0.9763391016658931,0.023660898334106895,optimized
4.0,-0.015,1.0,0.9743626529317047,0.025637347068295346,optimized
4.0,-0.015,1.015,0.9713936371152002,0.028606362884799785,optimized
4.0,0.0,0.985,0.9995491666253704,0.00045083337462958895,optimized
4.0,0.0,1.0,0.9999994112764126,5.887235874357799e-07,optimized
4.0,0.0,1.015,0.9995625069849927,0.0004374930150072842,optimized
4.0,0.015,0.985,0.9770202014833649,0.02297979851663512,optimized
4.0,0.015,1.0,0.9782658021506716,0.021734197849328396,optimized
4.0,0.015,1.015,0.9787511829250818,0.021248817074918214,optimized
