n_bar,channel,row,col,row_pauli,col_pauli,delta_real,delta_imag,delta_abs,baseline_abs,optimized_abs
0.01,exact,0,0,II,II,-0.000653015957321812,-2.6715725694960846e-17,0.000653015957321812,0.5126727129010294,0.5120196969437076
0.01,exact,5,5,XX,XX,0.0005615022829248972,-2.99701878096296e-18,0.0005615022829248972,0.48524677139242783,0.48580827367535273
0.01,exact,5,0,XX,II,4.474374831741696e-05,1.4343278221196076e-05,4.6986515550985373e-05,0.49860707762219575,0.49862137588417815
0.01,exact,0,5,II,XX,4.47437483173254e-05,-1.4343278221085054e-05,4.6986515550864295e-05,0.4986070776221958,0.4986213758841781
0.01,exact,12,12,ZI,ZI,4.5527756845797906e-05,8.314098130581169e-17,4.5527756845797906e-05,0.00023420468259823668,0.0002797324394440346
0.01,exact,3,3,IZ,IZ,4.5522047048232595e-05,1.87010233410257e-17,4.5522047048232595e-05,0.0002342154352152626,0.0002797374822634952
0.01,exact,4,1,XI,IX,-4.474374831746439e-05,-4.990158298452841e-09,4.4743748595734326e-05,0.0005239416433600638,0.0004791978950667387
0.01,exact,1,4,IX,XI,-4.4743748317449864e-05,4.9901582943714275e-09,4.47437485957198e-05,0.0005239416433600439,0.0004791978950667334
0.01,exact,4,4,XI,XI,-3.827542747773219e-05,-2.089170785656006e-17,3.827542747773219e-05,0.0005489669328040214,0.0005106915053262892
0.01,exact,1,1,IX,IX,-3.825971758380619e-05,-2.5367336043492697e-17,3.825971758380619e-05,0.0005489402527377796,0.0005106805351539734
0.01,exact,6,6,XY,XY,1.7796249250665724e-05,-9.983857163889143e-18,1.7796249250665724e-05,0.00011421978937162586,0.00013201603862229158
0.01,exact,9,9,YX,YX,1.7790066158832052e-05,-7.457841441557849e-17,1.7790066158832052e-05,0.00011423055109605759,0.00013202061725488964
0.01,exact,8,8,YI,YI,1.5141141663322087e-05,2.3027331956013662e-17,1.5141141663322087e-05,0.00011120007480019148,0.00012634121646351357
0.01,exact,2,2,IY,IY,1.5131989912001994e-05,1.2521982836512952e-17,1.5131989912001994e-05,0.00011120822073283653,0.00012634021064483853
0.01,exact,7,7,XZ,XZ,5.529282183533106e-06,5.4649985320065164e-17,5.529282183533106e-06,3.154006590925107e-05,3.706934809278418e-05
