n_bar,pauli,probability
0.01,II,0.99756682970892263
0.01,IX,0.0005489618265535701
0.01,IY,7.1380848942016793e-05
0.01,IZ,0.00017421573596376058
0.01,XI,0.00054896447349051024
0.01,XX,0.00035263547003015864
0.01,XY,0.00017421939214419017
0.01,XZ,7.1367534179880772e-05
0.01,YI,7.1383772161213744e-05
0.01,YX,0.0001742187378520273
0.01,YY,7.0610796870998484e-08
0.01,YZ,4.5809793557717741e-08
0.01,ZI,0.00017421621101201826
0.01,ZX,7.1364790205604797e-05
0.01,ZY,4.2789537020093629e-08
0.01,ZZ,8.2288414977871329e-08
1,II,0.99544451392048172
1,IX,0.0010649715126660978
1,IY,9.542733089979493e-05
1,IZ,0.00015017167355299565
1,XI,0.0010649781940281337
1,XX,0.0014429278518201371
1,XY,0.00015016487778521728
1,XZ,9.5419628994194541e-05
1,YI,9.5434650582785989e-05
1,YX,0.00015016441742201676
1,YY,6.7973562153933464e-08
1,YZ,5.6265123784343619e-08
1,ZI,0.00015017177178026919
1,ZX,9.5412671447638931e-05
1,ZY,4.866925626663361e-08
1,ZZ,6.8590596757900357e-08
2,II,0.99252404553626172
2,IX,0.0015556300909854066
2,IY,0.00010196103328243071
2,IZ,0.00014364175137493443
2,XI,0.0015556261553255999
2,XX,0.003382089696423644
2,XY,0.00014364035403040268
2,XZ,0.00010194037254331203
2,YI,0.00010195658672709811
2,YX,0.00014364064368203272
2,YY,6.8314078626591237e-08
2,YZ,5.1981323829057864e-08
2,ZI,0.00014364097095195819
2,ZX,0.00010194530987048784
2,ZY,5.7429546509475825e-08
2,ZZ,6.377359212939028e-08
3,II,0.98890291706821765
3,IX,0.0020157664526762225
3,IY,0.00010520710023280553
3,IZ,0.00014038110224318803
3,XI,0.0020157920447390967
3,XX,0.0060829159133648225
3,XY,0.00014037734162185807
3,XZ,0.00010521796713271775
3,YI,0.00010523027582005193
3,YX,0.00014037428225437324
3,YY,7.4198357151097891e-08
3,YZ,7.2920247767144217e-08
3,ZI,0.0001403852148337825
3,ZX,0.00010519373832321543
3,ZY,5.1107913898239079e-08
3,ZZ,4.3272021250928536e-08
