n_bar,condition,A_factor,feedback_iteration,source_path,h_XX_rad_per_gate,gamma_XX_per_gate,gamma_col_per_gate,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,three_component_residual_norm,three_component_residual_fraction,three_component_channel_error_fraction,gamma_nnls_residual,taxonomy_H_XX,taxonomy_S_XX,taxonomy_S_IX,taxonomy_S_XI,taxonomy_C_IX_XI,collective_x_coefficient_mean,collective_x_coefficient_spread,collective_x_relative_spread,taxonomy_reconstruction_residual_fraction,generator_imaginary_fraction,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error
0.01,after,1.008861306302284,1,/workspace/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_0p01__8b59d515dcc0.npz,0.00010240752258297959,0.0005509046981250358,0.0006723914878496783,0.0018186938580424085,0.0005449105702099864,0.00017023659221484705,0.01071813611408371,0.002964154889168181,0.27655507054750494,0.000742056134943727,0.002964154856482374,0.00010240752258297957,0.00016966068731891752,0.0005619644497970898,0.000561973214182733,0.0005369808103765352,0.0005536394914521193,2.499240380619773e-05,0.04514201785108597,1.8661558430344576e-13,1.7095770972558281e-13,1.3626701071168857e-07,1.9229633097654364e-16
0.01,before,1.0,0,/workspace/results/chi_error_element_fit/advanced_publication_validation/cptp_projection/cptp_chi_nbar_0p01.npz,0.013736454527062701,0.0005451035851348291,0.0006610334976141172,0.0019465315074347345,0.013711649041748689,0.00035262921782845436,0.07841806566176494,0.002970366524653972,0.037878599779110116,0.0007435833985827823,0.002970366511786906,0.013736454527062698,0.00016385958402827125,0.0005506083970634868,0.0005506132670455923,0.000525622829840721,0.0005422814979832666,2.499043720487128e-05,0.04608388318209304,1.7318680732234967e-14,2.3164539952210285e-14,1.471214406299168e-07,3.1402055121713494e-16
1.0,after,1.018859015844479,1,/workspace/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_1__63d66c0a2924.npz,0.00021239152680040214,0.0010442035539907234,0.001233175983918309,0.00310427034306251,0.0011120574530841217,0.0006641354659402979,0.019250943862569696,0.002921665212301449,0.15176737479257565,0.0007325809649355076,0.0029216652043505924,0.0002123915268004021,0.0006629579512870289,0.0011227492756129712,0.001122760564299265,0.001097763714547564,0.0011144245181532667,2.499684975170108e-05,0.022430276204909613,7.419940938952765e-15,9.852302729631896e-14,1.6177698881899472e-07,1.9229651697613007e-16
1.0,before,1.0,0,/workspace/results/chi_error_element_fit/advanced_publication_validation/cptp_projection/cptp_chi_nbar_1p0.npz,0.02880624915262184,0.0009971300456094387,0.0011808506795694621,0.00364438110213392,0.028684037765904224,0.0014429192343300516,0.1639892609467951,0.002932328585629035,0.017881223250224926,0.0007351151182275095,0.0029323285604586774,0.028806249152621838,0.0006158845071315962,0.0010704267089583443,0.0010704323938031043,0.0010454384744249424,0.0010620991923954637,2.499391937816199e-05,0.023532566032547848,6.422252060320536e-15,1.089766655655766e-14,1.4299013557797036e-07,1.1113348201027962e-16
2.0,after,1.0290654705324465,1,/workspace/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_2__e8a561b22f1b.npz,0.0003122283035677354,0.002042952102492026,0.0017995023627632356,0.0047963336511163135,0.001680088615333099,0.0016602136144871697,0.029976163616275923,0.002915046156526582,0.09724547122980816,0.0007323991757674976,0.0029150461281075633,0.0003122283035677353,0.0016617056597718466,0.0016890857671035928,0.0016890785105306044,0.0016640892533762307,0.0016807511770034762,2.4996513727362085e-05,0.014872227411987935,9.355528536947966e-15,5.593592304784367e-14,9.087301654104187e-08,1.9229628774128276e-16
2.0,before,1.0,0,/workspace/results/chi_error_element_fit/advanced_publication_validation/cptp_projection/cptp_chi_nbar_2p0.npz,0.04373984982941142,0.0018659506734481097,0.0016771428792450172,0.005980754940608169,0.04340262103982572,0.0033820799163091376,0.2489817781150025,0.0029310711689906847,0.011772231651574311,0.0007360441259782181,0.0029310711065712613,0.04373984982941141,0.0014847043173358654,0.001566719806884004,0.0015667253304978586,0.0015417298564659445,0.0015583916646159355,2.4995474031914077e-05,0.016039276004517256,8.221994625413177e-15,1.3215594006694374e-14,1.541272867198308e-07,3.140942862801497e-16
4.0,after,1.0497730585171714,1,/workspace/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_4__5ed3111f3464.npz,0.0004342896977718017,0.005571828804121959,0.0029299752997104475,0.009365601982744031,0.002793386140405135,0.005153212695087007,0.05853497439401657,0.002911627801460444,0.049741677204151465,0.0007355117328493544,0.002911627637195916,0.0004342896977718016,0.005190581509978526,0.002819560067997402,0.0028195516674938007,0.002794561366989373,0.002811224367493525,2.4998701008029003e-05,0.008892460273570314,1.1543008972411724e-14,3.1509775329802454e-14,-1.5599066652221412e-12,1.1102412565703564e-16
4.0,before,1.0,0,/workspace/results/chi_error_element_fit/advanced_publication_validation/cptp_projection/cptp_chi_nbar_4p0.npz,0.0727108371739674,0.004674363732632494,0.0025866178108853244,0.012280799535251942,0.07145140322756383,0.009468937945186415,0.41440540562138023,0.0029390839064250916,0.007092291429012809,0.0007410389168844992,0.0029390838830172846,0.0727108371739674,0.004293116587068338,0.0024761879223564654,0.0024762086572095564,0.002451203998654397,0.002467866859406806,2.5004658555159535e-05,0.010132093820154396,1.7874735257123662e-15,4.619325794691203e-15,1.5512932117230075e-07,1.1244740122818125e-16
6.0,after,1.0708297263207953,1,/workspace/results/chi_error_element_fit/advanced_publication_validation/hxx_drive_amplitude_calibration/qpt_cache/hxx_feedback_i01__nbar_6__8986baf69875.npz,0.000363091683275672,0.011175575853854713,0.004064316007378261,0.015512041623425699,0.003879630220356202,0.010630144016111186,0.09777125611294554,0.0029108396897720343,0.029771937126484564,0.0007406751516396313,0.002910839072729878,0.00036309168327567195,0.010794318409985789,0.003953873130194978,0.003953901479871461,0.003928901061318317,0.0039455585571282524,2.500041855314425e-05,0.006336344573565429,2.0502083213893887e-14,3.154625923365465e-14,-9.66422808978031e-13,1.1103077974785374e-16
6.0,before,1.0,0,/workspace/results/chi_error_element_fit/advanced_publication_validation/cptp_projection/cptp_chi_nbar_6p0.npz,0.10046366052281389,0.008655386545347716,0.0034004879829498207,0.0203733731061452,0.09746491149327328,0.017995427566159922,0.5736846945209109,0.0029505381853374706,0.005143135617033483,0.0007473854977754814,0.0029505380664222114,0.10046366052281386,0.008274138222679122,0.0032900683949674374,0.003290067830235375,0.003265073714966644,0.0032817366467231524,2.4994680000793492e-05,0.007616296702464207,2.4304264532456567e-15,5.8668195287698284e-15,-3.8707673028703124e-13,1.628363067817939e-17
