n_bar,condition,gamma_col_per_gate,taxonomy_S_IX,taxonomy_S_XI,taxonomy_C_IX_XI,collective_x_relative_spread,three_component_residual_fraction,three_component_channel_error_fraction
0.01,after,0.0006723914878496783,0.0005619644497970898,0.000561973214182733,0.0005369808103765352,0.04514201785108597,0.27655507054750494,0.000742056134943727
0.01,before,0.0006610334976141172,0.0005506083970634868,0.0005506132670455923,0.000525622829840721,0.04608388318209304,0.037878599779110116,0.0007435833985827823
1.0,after,0.001233175983918309,0.0011227492756129712,0.001122760564299265,0.001097763714547564,0.022430276204909613,0.15176737479257565,0.0007325809649355076
1.0,before,0.0011808506795694621,0.0010704267089583443,0.0010704323938031043,0.0010454384744249424,0.023532566032547848,0.017881223250224926,0.0007351151182275095
2.0,after,0.0017995023627632356,0.0016890857671035928,0.0016890785105306044,0.0016640892533762307,0.014872227411987935,0.09724547122980816,0.0007323991757674976
2.0,before,0.0016771428792450172,0.001566719806884004,0.0015667253304978586,0.0015417298564659445,0.016039276004517256,0.011772231651574311,0.0007360441259782181
4.0,after,0.0029299752997104475,0.002819560067997402,0.0028195516674938007,0.002794561366989373,0.008892460273570314,0.049741677204151465,0.0007355117328493544
4.0,before,0.0025866178108853244,0.0024761879223564654,0.0024762086572095564,0.002451203998654397,0.010132093820154396,0.007092291429012809,0.0007410389168844992
6.0,after,0.004064316007378261,0.003953873130194978,0.003953901479871461,0.003928901061318317,0.006336344573565429,0.029771937126484564,0.0007406751516396313
6.0,before,0.0034004879829498207,0.0032900683949674374,0.003290067830235375,0.003265073714966644,0.007616296702464207,0.005143135617033483,0.0007473854977754814
8.0,after,0.005203776609563993,0.005093367531161312,0.0050933449137237075,0.005068361886527345,0.004917506940456497,0.019615215859094863,0.0007475382194157856
8.0,before,0.004128181190377718,0.004017772725850262,0.004017751971148845,0.003992766698922459,0.006236802743974549,0.004076139213343613,0.0007543267285689935
10.0,after,0.006350174723225199,0.006239724761915377,0.006239787760766331,0.006214759851776124,0.004016402749818146,0.01380581775450629,0.0007558942886836759
10.0,before,0.0047783338310865295,0.004667898486638537,0.0046679224944419385,0.004642918920729073,0.005366057431892421,0.0034040112130815613,0.0007616223564553574
