n_bar,chi_XX_XX,chi_II_XX_real,chi_II_XX_imag,chi_II_XX_abs,data_source
0.01,0.000352629217828547,,,0.0137278481013,historical_qpt_and_heatmap_recovery
0.25,0.00053670476041418891,,,0.0174003759434,historical_qpt_and_heatmap_recovery
0.5,0.00078371242541216621,,,0.0211909448819,historical_qpt_and_heatmap_recovery
0.75,0.0010861769377392243,,,0.0249772944186,historical_qpt_and_heatmap_recovery
1,0.0014429192343300666,,,0.0287235146063,historical_qpt_and_heatmap_recovery
1.25,0.0018541507984831259,,,0.032456796431,historical_qpt_and_heatmap_recovery
1.5,0.0023160150473313557,,,0.0361441168466,historical_qpt_and_heatmap_recovery
1.75,0.0028239086306345376,,,0.0398216444317,historical_qpt_and_heatmap_recovery
2,0.0033820799163091406,,,0.0434618945964,historical_qpt_and_heatmap_recovery
2.25,0.0039889294434743748,,,0.0470785416157,historical_qpt_and_heatmap_recovery
2.5,0.0046419811779751562,,,0.0506621004566,historical_qpt_and_heatmap_recovery
2.75,0.0053404225930294615,,,0.0542237146435,historical_qpt_and_heatmap_recovery
3,0.0060829120174164027,,,0.057734375,historical_qpt_and_heatmap_recovery
3.25,0.0068682136242365372,,,0.0612430939227,historical_qpt_and_heatmap_recovery
3.5,0.0076951097355020251,,,0.064693604258,historical_qpt_and_heatmap_recovery
3.75,0.0085624237682810685,,,0.0681510539021,historical_qpt_and_heatmap_recovery
4,0.0094689379451864605,,,0.0715161290323,historical_qpt_and_heatmap_recovery
4.25,0.010413472014621243,,,0.0748986486486,historical_qpt_and_heatmap_recovery
4.5,0.011394874163099913,,,0.0782404565162,historical_qpt_and_heatmap_recovery
4.75,0.012412079128096326,,,0.0815593164905,historical_qpt_and_heatmap_recovery
5,0.01346387197414628,,,0.0848398745906,historical_qpt_and_heatmap_recovery
5.25,0.014549176886802368,,,0.0880838570917,historical_qpt_and_heatmap_recovery
5.5,0.015666904083981286,,,0.0913079547336,historical_qpt_and_heatmap_recovery
5.75,0.016816002590987856,,,0.0944660308503,historical_qpt_and_heatmap_recovery
6,0.017995428329338904,,,0.0976138950072,historical_qpt_and_heatmap_recovery
6.25,0.019204184663370871,,,0.100783410138,historical_qpt_and_heatmap_recovery
6.5,0.02044121826412135,,,0.103765751783,historical_qpt_and_heatmap_recovery
6.75,0.021705557800153756,,,0.106809583678,historical_qpt_and_heatmap_recovery
7,0.02299622519417328,,,0.109798994975,historical_qpt_and_heatmap_recovery
7.25,0.024312322033711534,,,0.112785256716,historical_qpt_and_heatmap_recovery
7.5,0.025652867563255802,,,0.115729380175,historical_qpt_and_heatmap_recovery
7.75,0.027016922382468275,,,0.118675696063,historical_qpt_and_heatmap_recovery
8,0.028403655362666806,,,0.121554693402,historical_qpt_and_heatmap_recovery
8.25,0.029812220542076103,,,0.124350920222,historical_qpt_and_heatmap_recovery
8.5,0.031241692955524914,,,0.127160965776,historical_qpt_and_heatmap_recovery
8.75,0.032691307805273198,,,0.129943433195,historical_qpt_and_heatmap_recovery
9,0.034160240745826548,,,0.132754491018,historical_qpt_and_heatmap_recovery
9.25,0.035647716974009473,,,0.135418790741,historical_qpt_and_heatmap_recovery
9.5,0.03715291575932133,,,0.138104092444,historical_qpt_and_heatmap_recovery
9.75,0.038675126563209455,,,0.140804322028,historical_qpt_and_heatmap_recovery
10,0.040213612676561879,,,0.143385138787,historical_qpt_and_heatmap_recovery
10.25,0.0417676230869891,,,0.145959498031,historical_qpt_and_heatmap_recovery
10.5,0.043336500442866202,,,0.148507129106,historical_qpt_and_heatmap_recovery
10.75,0.044919582012854953,,,0.151125484408,historical_qpt_and_heatmap_recovery
