pauli,max_over_sweep,value_at_nbar_0p01,value_at_nbar_20,relative_to_XX_peak
II,0.9975668356157052,0.9975668356157052,0.8768375113552986,9.18607745579091
XX,0.1085955175554108,0.0003526292178285,0.1085955175554108,1.0
IX,0.0067921694909993,0.0005489608622183,0.0067921694909993,0.0625455787116959
XI,0.0067921688089814,0.0005489657832441,0.0067921688089814,0.06254557243134551
IZ,0.0001742225735464,0.0001742225735464,0.000130773185088,0.001604325643160207
ZI,0.0001742221365043,0.0001742221365043,0.0001307771935337,0.0016043216186653675
YX,0.0001742133066895,0.0001742133066895,0.000130692349843,0.0016042403094640417
XY,0.0001742125445319,0.0001742125445319,0.0001306949884265,0.0016042332911485793
IY,0.0001149982634674,7.137985513968001e-05,0.0001149908819626,0.0010589595782231269
YI,0.0001149873313819,7.138453937597495e-05,0.0001149873313819,0.001058858910297359
ZX,0.0001147266245401,7.136352866210732e-05,0.0001147266245401,0.0010564581957221283
XZ,0.0001147244438228,7.13685380146348e-05,0.0001147244438228,0.0010564381146234872
ZZ,2.949137204095527e-07,8.883979298740519e-08,0.0,2.7157080425448788e-06
YY,2.3804328916621762e-07,6.396894500909633e-08,1.6536053362779818e-07,2.192017631342437e-06
ZY,1.2008246216062716e-07,4.1958618948237505e-08,5.2739728597268806e-08,1.1057773365217873e-06
YZ,1.1417928772723389e-07,4.673118201935274e-08,4.769044849362672e-08,1.0514180538710908e-06
