rank,component,row_pauli,column_pauli,is_diagonal,max_abs_over_sweep,mean_abs_over_sweep
1,"II,II",II,II,True,0.9975668356157055,0.945622596042625
2,"II,XX",II,XX,False,0.22525060895307789,0.13488685336961853
3,"XX,XX",XX,XX,True,0.10859552019343237,0.04485162753739743
4,"IX,IX",IX,IX,True,0.006792169655995969,0.0042715826914048625
5,"XI,XI",XI,XI,True,0.006792168973977986,0.004271585207569443
6,"IX,XI",IX,XI,False,0.006767138119749754,0.004246555046392521
7,"IZ,IZ",IZ,IZ,True,0.00017422257354641343,0.00013599908200530994
8,"ZI,ZI",ZI,ZI,True,0.00017422213650430954,0.00013600027156234393
9,"YX,YX",YX,YX,True,0.00017421330668958987,0.00013592900410265885
10,"XY,XY",XY,XY,True,0.00017421254453190568,0.00013593048862598614
11,"IY,IY",IY,IY,True,0.00011499827262097449,0.00010966601160640668
12,"YI,YI",YI,YI,True,0.00011498733417527112,0.00010966907679365601
13,"ZX,ZX",ZX,ZX,True,0.00011472662732715134,0.00010958515877281777
14,"XZ,XZ",XZ,XZ,True,0.00011472444660972678,0.00010958792899382035
15,"IZ,XY",IZ,XY,False,8.396874976999118e-05,7.011903535317519e-05
16,"YX,ZI",YX,ZI,False,8.396796184201588e-05,7.011971155877006e-05
17,"YI,ZX",YI,ZX,False,7.881671685031064e-05,6.602601863111887e-05
18,"IY,XZ",IY,XZ,False,7.881094514597265e-05,6.60318964744886e-05
19,"ZZ,ZZ",ZZ,ZZ,True,2.9491379699431153e-07,6.862524206989685e-08
20,"YY,ZZ",YY,ZZ,False,2.9351196833184827e-07,5.007890183048229e-08
21,"ZI,ZX",ZI,ZX,False,2.618438588326452e-07,8.611784578018522e-08
22,"XI,XX",XI,XX,False,2.5933701835733453e-07,9.162556230569181e-08
23,"IZ,XZ",IZ,XZ,False,2.568292900428803e-07,8.830514061574552e-08
24,"IX,XX",IX,XX,False,2.556958904449221e-07,9.188777157359613e-08
25,"IY,XY",IY,XY,False,2.5517906226110947e-07,8.364543894776959e-08
26,"II,IX",II,IX,False,2.542757685903278e-07,9.013284901476118e-08
27,"II,XI",II,XI,False,2.534910591914878e-07,9.038679893470382e-08
28,"YI,YX",YI,YX,False,2.5236652942534626e-07,8.90682462863741e-08
29,"YY,YY",YY,YY,True,2.3804330811366665e-07,7.23920164845267e-08
30,"YI,ZI",YI,ZI,False,1.9796619162005066e-07,4.081037222094439e-08
31,"YY,ZY",YY,ZY,False,1.8849861892427604e-07,2.912161465665692e-08
32,"YZ,ZY",YZ,ZY,False,1.8669183540278375e-07,2.0101173747707208e-08
33,"IX,ZY",IX,ZY,False,1.824099370736995e-07,1.3534017849096961e-08
34,"XX,ZY",XX,ZY,False,1.8054075351030382e-07,1.369535510440379e-08
35,"IX,YY",IX,YY,False,1.8054075350125052e-07,1.3695355105571623e-08
36,"II,ZY",II,ZY,False,1.8033347513933806e-07,1.3893132263789457e-08
37,"IX,ZZ",IX,ZZ,False,1.8033347513467997e-07,1.389313226446262e-08
38,"II,YY",II,YY,False,1.7969972490112474e-07,1.3746377121801396e-08
39,"XX,ZZ",XX,ZZ,False,1.7969972489655775e-07,1.3746377120079547e-08
40,"XI,ZY",XI,ZY,False,1.772519700383799e-07,7.955519568828307e-09
41,"IX,YZ",IX,YZ,False,1.7725197002961643e-07,7.955519568575855e-09
42,"XX,YY",XX,YY,False,1.772471213065673e-07,1.4702239710695576e-08
43,"II,ZZ",II,ZZ,False,1.7722468956260499e-07,1.4138531223699076e-08
44,"II,YZ",II,YZ,False,1.753765650299617e-07,1.3266740266240419e-08
45,"XI,ZZ",XI,ZZ,False,1.753765650080064e-07,1.3266740264144657e-08
46,"XX,YZ",XX,YZ,False,1.7518587147977402e-07,1.3307906354832834e-08
47,"XI,YY",XI,YY,False,1.751858714777591e-07,1.3307906351440245e-08
48,"XI,YZ",XI,YZ,False,1.7206187358058392e-07,1.2966471201339812e-08
49,"IY,IZ",IY,IZ,False,1.6903211948579977e-07,4.227124462110826e-08
50,"YY,YZ",YY,YZ,False,1.6737635147439714e-07,3.0244827403307404e-08
51,"XX,ZX",XX,ZX,False,1.661118325768501e-07,1.9286215585481962e-08
52,"YX,ZX",YX,ZX,False,1.5823375870794726e-07,4.128700984421929e-08
53,"XI,ZI",XI,ZI,False,1.5465432289096943e-07,1.7734397997888585e-08
54,"XZ,ZZ",XZ,ZZ,False,1.5100643965928026e-07,2.6539486631318064e-08
55,"ZY,ZZ",ZY,ZZ,False,1.4933674893559296e-07,2.966869713332333e-08
56,"YZ,ZZ",YZ,ZZ,False,1.4621567225951935e-07,2.876314466569216e-08
57,"XY,XZ",XY,XZ,False,1.4474751395250133e-07,4.10916631602703e-08
58,"YZ,YZ",YZ,YZ,True,1.4470571209384192e-07,5.940409936413177e-08
