n_bar,row_pauli,column_pauli,component,is_diagonal,real,imag,abs
0.01,II,II,"II,II",True,0.9975668356157055,1.233752342706201e-19,0.9975668356157055
0.01,II,IX,"II,IX",False,-1.3687815933918127e-10,2.3714637711786224e-09,2.3754107115437567e-09
0.01,II,IY,"II,IY",False,-1.2713858287060767e-09,-4.530304650785174e-09,4.705324872350518e-09
0.01,II,IZ,"II,IZ",False,4.6915239748646095e-09,7.813539226948738e-11,4.692174586079948e-09
0.01,II,XI,"II,XI",False,4.4065774375816e-09,-6.162403915887461e-09,7.575826472138094e-09
0.01,II,XX,"II,XX",False,-0.0005239513708394323,0.013701634734770972,0.01371164904174866
0.01,II,XY,"II,XY",False,1.5340116503448356e-10,-2.46550889158371e-09,2.4702765051532736e-09
0.01,II,XZ,"II,XZ",False,1.1310109122472402e-09,-1.1614626456906526e-10,1.1369589431442465e-09
0.01,II,YI,"II,YI",False,-1.1017232835391518e-08,2.9359391879388273e-10,1.102114407574739e-08
0.01,II,YX,"II,YX",False,1.470930963837214e-10,-1.9771905778744572e-09,1.982654523672564e-09
0.01,II,YY,"II,YY",False,1.3398259471287744e-11,-2.821607201358712e-10,2.824786458202697e-10
0.01,II,YZ,"II,YZ",False,1.1545173200626529e-10,1.4658050061399336e-09,1.4703446597475496e-09
0.01,II,ZI,"II,ZI",False,-6.39336694696624e-10,7.160569516342637e-11,6.433341159657568e-10
0.01,II,ZX,"II,ZX",False,-9.363310832559736e-10,-1.7284898210093071e-10,9.52151599318424e-10
0.01,II,ZY,"II,ZY",False,1.667090246718355e-10,3.3818969951808854e-09,3.3860034236427665e-09
0.01,II,ZZ,"II,ZZ",False,-4.834303929390772e-09,-1.692626569972265e-17,4.834303929390772e-09
0.01,IX,IX,"IX,IX",True,0.0005489608622183752,-3.4818612465207575e-17,0.0005489608622183752
0.01,IX,IY,"IX,IY",False,1.0206662510493648e-10,4.3785281450894894e-09,4.379717606570213e-09
0.01,IX,IZ,"IX,IZ",False,-4.539747512354525e-09,-1.2474546118121665e-09,4.708019805019998e-09
0.01,IX,XI,"IX,XI",False,0.0005239513708396348,1.1541000296908494e-09,0.0005239513708409058
0.01,IX,XX,"IX,XX",False,-4.4065773029537034e-09,-6.279812528332812e-09,7.671634044837676e-09
0.01,IX,XY,"IX,XY",False,-3.9747366484344083e-10,8.857505568775028e-10,9.708446648423641e-10
0.01,IX,XZ,"IX,XZ",False,4.4874740620474984e-10,-1.2792624193152843e-10,4.666255007500283e-10
0.01,IX,YI,"IX,YI",False,-1.0090914235511642e-10,4.782727257312582e-09,4.78379166277667e-09
0.01,IX,YX,"IX,YX",False,1.0756286403028895e-08,2.9747008083432725e-10,1.0760398953244059e-08
0.01,IX,YY,"IX,YY",False,1.4390084797781847e-09,1.15451729753004e-10,1.443632400154722e-09
0.01,IX,YZ,"IX,YZ",False,5.1257189091902246e-11,-1.3398285085564069e-11,5.297936840730617e-11
0.01,IX,ZI,"IX,ZI",False,-1.8692055572223416e-09,2.190328722798647e-10,1.881994902833175e-09
0.01,IX,ZX,"IX,ZX",False,4.827222866224391e-11,-3.325520196302979e-10,3.3603728040235357e-10
0.01,IX,ZY,"IX,ZY",False,-7.729703542192668e-18,-1.929489963745264e-09,1.929489963745264e-09
0.01,IX,ZZ,"IX,ZZ",False,3.3818969707569232e-09,1.6670904308538723e-10,3.3860034001550115e-09
0.01,IY,IY,"IY,IY",True,7.137985513968002e-05,4.473012435507392e-17,7.137985513968002e-05
0.01,IY,IZ,"IY,IZ",False,-9.836425048110327e-10,-1.2433831944876395e-09,1.5854192964655154e-09
0.01,IY,XI,"IY,XI",False,1.3341055774077897e-10,-4.6222493295047675e-10,4.810927826914248e-10
0.01,IY,XX,"IY,XX",False,1.1066223751871705e-10,-1.1175333359930872e-09,1.1229990596026728e-09
0.01,IY,XY,"IY,XY",False,-4.633546086763986e-09,-6.455068502280522e-09,7.945920884787361e-09
0.01,IY,XZ,"IY,XZ",False,3.9815966820691354e-05,1.383421874693226e-08,3.9815969224068914e-05
0.01,IY,YI,"IY,YI",False,7.901653913426281e-14,5.1257194072940756e-11,5.1257254977657255e-11
