n_bar,phonon_dim,raw_trace_real,raw_trace_imag,trace_normalized_hermiticity_fro,convention_error_fro,dimension,choi_trace,expected_choi_trace_for_tp,choi_trace_error,tp_frobenius_error,tp_max_abs_error,min_choi_eigenvalue,negative_choi_eigenvalue_count,tp_pass,cp_pass,path
0.01,20,15.999999999999998,1.7994416114741038e-17,8.226611356921885e-16,0.0,4,3.9999999999999996,4,4.441119945937729e-16,1.6819320905851742e-15,7.229287235695532e-16,1.4712144087889048e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_0p01.npz
0.25,21,16.0,1.9857904599475472e-18,6.069957784452614e-16,0.0,4,4.0,4,4.96447602088672e-19,2.7406991910064657e-15,1.3322735968231457e-15,1.4943791399268642e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_0p25.npz
0.5,22,16.0,-2.433715790095279e-17,5.47760625953158e-16,0.0,4,4.0,4,6.084289584687114e-18,1.991040027700746e-15,9.281566045067644e-16,1.4208109649690583e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_0p5.npz
0.75,23,16.0,6.8552065549950754e-18,4.378302750440843e-16,0.0,4,4.0,4,1.7138016859847121e-18,2.0083400681465332e-15,7.771617779248526e-16,1.823241270392874e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_0p75.npz
1.0,25,16.0,2.0002876021599923e-17,5.075604821927682e-16,0.0,4,3.9999999999999996,4,4.441173645524884e-16,2.2886746767005464e-15,8.88181046657329e-16,1.429901354397075e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_1p0.npz
1.25,26,16.0,1.4900502763161448e-17,4.755779234642278e-16,0.0,4,3.9999999999999996,4,4.44104833195657e-16,2.207894191903363e-15,8.881809276545927e-16,-1.5998332771992808e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_1p25.npz
1.5,28,15.999999999999996,1.57911934113422e-17,4.3491265653532386e-16,0.0,4,3.999999999999999,4,8.88187193295456e-16,2.43575767786793e-15,8.613457789445938e-16,9.957034178573163e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_1p5.npz
1.75,32,16.0,5.845556982046845e-18,4.047564471296307e-16,0.0,4,4.0,4,1.461389503316903e-18,3.050601849551952e-15,1.1552686118020977e-15,1.0874133070582915e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_1p75.npz
2.0,36,15.999999999999991,6.07283138231781e-18,3.766472413596802e-16,0.0,4,3.9999999999999987,4,1.332268494601146e-15,3.821456605929384e-15,1.665334574665545e-15,1.5412728670287969e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_2p0.npz
2.25,39,15.999999999999998,-2.098871098070222e-17,3.9669129623979713e-16,0.0,4,3.9999999999999996,4,4.441202080345307e-16,2.7672483107885442e-15,1.1102230857422104e-15,1.5434171088702346e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_2p25.npz
2.5,43,15.999999999999998,-7.129552844170804e-18,3.763111869203213e-16,0.0,4,3.999999999999999,4,8.881802081385e-16,4.36134629886017e-15,1.5116751606579684e-15,1.9177049165604635e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_2p5.npz
2.75,47,15.999999999999995,1.108589586933645e-17,4.2338304667206744e-16,0.0,4,3.9999999999999987,4,1.3322705122537107e-15,4.996200725039192e-15,2.273382840642458e-15,-5.3686212679720895e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_2p75.npz
3.0,51,16.0,1.5682029196831445e-18,3.3939239460577144e-16,0.0,4,4.000000000000002,4,1.7763568826640812e-15,4.110410844125068e-15,2.0262298666848478e-15,-2.125065786226416e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_3p0.npz
3.25,55,15.999999999999995,2.970716754684607e-18,3.1030689061155685e-16,0.0,4,3.9999999999999982,4,1.7763569946534598e-15,6.274726324263611e-15,2.464848363042453e-15,-6.143895716499985e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_3p25.npz
3.5,59,15.999999999999996,-4.973967407625409e-18,3.737861696908141e-16,0.0,4,3.999999999999999,4,8.881792901708668e-16,4.0334603496894726e-15,2.109424478926417e-15,-7.76548100285936e-09,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_3p5.npz
3.75,63,16.0,3.12230571864471e-18,3.796583741062017e-16,0.0,4,4.0,4,7.805767169931866e-19,4.09375571686689e-15,1.7890383649166212e-15,1.5305009256506164e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_3p75.npz
4.0,67,16.000000000000004,2.088444103877958e-18,3.3074039234377054e-16,0.0,4,4.000000000000001,4,8.88178573161395e-16,4.099623793668663e-15,1.9984043373395535e-15,1.5512932119822512e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_4p0.npz
4.25,71,15.999999999999993,1.0744465697771765e-17,3.7322228918522236e-16,0.0,4,3.9999999999999982,4,1.7763588703048266e-15,5.579219474890766e-15,3.219646846929077e-15,1.0796745385161154e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_4p25.npz
4.5,75,16.000000000000004,-4.878549125437697e-18,3.204658038310018e-16,0.0,4,4.0,4,1.2196342296059425e-18,2.991831643614227e-15,1.1102230644444532e-15,-6.858264621413633e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_4p5.npz
4.75,79,15.99999999999999,1.2291199144656096e-17,3.525338396622708e-16,0.0,4,3.999999999999998,4,2.2204481754169406e-15,5.695849516551926e-15,2.291046999055409e-15,-1.12929482274438e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_4p75.npz
5.0,83,15.999999999999996,1.2362745356257046e-17,3.193373431055272e-16,0.0,4,3.999999999999999,4,8.881837971641171e-16,4.014562920047928e-15,2.5535141275528915e-15,-3.90194828787042e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_5p0.npz
5.25,88,16.0,3.406611003901636e-18,3.261320818752152e-16,0.0,4,4.0,4,8.516460826269044e-19,2.4254681924835324e-15,8.88179656079345e-16,2.6290008954260683e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_5p25.npz
5.5,92,15.999999999999993,-1.0358770816882684e-17,3.110190916445027e-16,0.0,4,3.9999999999999987,4,1.3322701464940657e-15,4.108900815638378e-15,1.8873815478828204e-15,-1.7387158837432085e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_5p5.npz
5.75,96,16.0,-6.291040878276869e-18,3.0519363324363716e-16,0.0,4,4.0,4,1.572753612938837e-18,3.501378871768e-15,1.5543122370311561e-15,1.1317013224132747e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_5p75.npz
6.0,100,15.999999999999996,5.820220013369342e-18,3.278447341788961e-16,0.0,4,4.0,4,1.4550541015217503e-18,3.820429935040963e-15,1.6683964003266345e-15,-4.416064303723137e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_6p0.npz
6.25,104,15.999999999999998,-9.203028688349612e-18,3.491769363526787e-16,0.0,4,3.9999999999999996,4,4.440951697199311e-16,4.187010284968315e-15,1.704669845414233e-15,-1.9142978517952747e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_6p25.npz
6.5,109,15.999999999999998,2.20361866441831e-18,2.910290256626175e-16,0.0,4,4.0,4,5.5091132932643995e-19,5.522815433394381e-15,2.8865801491163315e-15,7.909394448267638e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_6p5.npz
6.75,113,15.999999999999998,6.308336190909587e-18,3.397655759358253e-16,0.0,4,4.0,4,1.5770847784626946e-18,2.9656278346060855e-15,1.4312043469389444e-15,-1.8416572593970725e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_6p75.npz
7.0,117,15.999999999999996,-4.773209328790294e-18,3.518187036313383e-16,0.0,4,3.999999999999999,4,8.881792213130273e-16,4.162719494526398e-15,2.0623097613770697e-15,9.763174553378607e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_7p0.npz
7.25,121,16.000000000000007,-8.163899690839698e-18,2.785156154906157e-16,0.0,4,4.000000000000002,4,1.7763580119058835e-15,6.661290504441471e-15,3.774758309192789e-15,4.9110540222336826e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_7p25.npz
7.5,126,15.999999999999996,-1.998316158695405e-18,3.310150923498683e-16,0.0,4,4.0,4,4.995762259310322e-19,5.592751194685365e-15,2.273635895428311e-15,3.055687333189066e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_7p5.npz
7.75,130,16.000000000000004,2.1036278312019813e-19,2.587352355773669e-16,0.0,4,4.000000000000001,4,8.881784212573731e-16,3.8049285244324094e-15,1.9849883306507048e-15,9.80455958770416e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_7p75.npz
8.0,134,16.000000000000007,1.0087575103563804e-18,3.0249469423390395e-16,0.0,4,4.000000000000002,4,1.776356857301489e-15,3.941180229969482e-15,1.682669847457332e-15,1.1798312813993105e-07,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_8p0.npz
8.25,139,16.0,5.988801205815845e-18,3.573073001992603e-16,0.0,4,4.0,4,1.497199888181834e-18,7.4228986430637e-15,3.492820198417385e-15,-1.4189449378777058e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_8p25.npz
8.5,143,15.999999999999993,1.0511815877214821e-18,3.0841847084191064e-16,0.0,4,3.9999999999999987,4,1.3322676554696115e-15,5.277426410852126e-15,2.9976037094588428e-15,5.740876230391339e-09,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_8p5.npz
8.75,148,16.000000000000007,-8.70933338437285e-18,3.0782146261635686e-16,0.0,4,4.000000000000001,4,8.881810885103989e-16,4.165949352259718e-15,1.6276586100227476e-15,-1.2642992504791487e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_8p75.npz
9.0,152,15.999999999999996,3.528533910674349e-18,2.9424348099592613e-16,0.0,4,3.9999999999999987,4,1.3322679215923097e-15,5.6896783913079236e-15,2.220446091388206e-15,1.2593659439534926e-08,0,True,True,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_9p0.npz
9.25,156,15.999999999999998,-8.269809208133997e-18,3.1719684366703765e-16,0.0,4,3.9999999999999996,4,4.440940223468652e-16,4.430945130682921e-15,1.7373777547114976e-15,-1.1335796089255908e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_9p25.npz
9.5,161,16.000000000000004,6.131370825021217e-18,3.0788453065931856e-16,0.0,4,4.0,4,1.5328398312524193e-18,7.000511210770217e-15,3.552713679519754e-15,-1.3375723059342057e-08,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_9p5.npz
9.75,165,15.999999999999998,4.3193721879184945e-18,3.5495813099612074e-16,0.0,4,4.0,4,1.0798439327912876e-18,7.723748771264285e-15,3.996803075837527e-15,-1.0964567667267132e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_9p75.npz
10.0,170,16.000000000000007,-2.9960413027282244e-18,2.4547909298553276e-16,0.0,4,4.000000000000002,4,1.7763569973114414e-15,5.911849540149312e-15,2.664535323802107e-15,-2.709040354246783e-07,1,True,False,results/chi_error_element_fit/exact_full_chi/error_chi_nbar_10p0.npz
