target,coefficient,estimate,ci95_lower,ci95_upper
chi_XX_XX,a0_anchor,0.0003526292178285,0.0003526292178285,0.0003526292178285
chi_XX_XX,a1,0.0006581241817191981,0.0006554712744308727,0.0006607082670147848
chi_XX_XX,a2,0.00046464023091706693,0.0004639460768334635,0.00046535481862895614
chi_XX_XX,a3,-1.491329835209056e-05,-1.4971491298448663e-05,-1.4857698387453502e-05
chi_XX_XX,a4,1.7889631234795386e-07,1.7744867558658345e-07,1.8039916721646988e-07
abs_chi_II_XX,a0_anchor,0.0137116490417486,0.0137116490417486,0.0137116490417486
abs_chi_II_XX,a1,0.015400974293699113,0.015388186639288917,0.015413249109761107
abs_chi_II_XX,a2,-0.00022012150506823755,-0.00022330229809157013,-0.00021668384550654592
abs_chi_II_XX,a3,-3.810849077112618e-06,-4.1014141319139155e-06,-3.541869579000887e-06
abs_chi_II_XX,a4,1.387494247044319e-07,1.3172394968007767e-07,1.4648810249234797e-07
chi_IX_IX,a0_anchor,0.0005489608622183,0.0005489608622183,0.0005489608622183
chi_IX_IX,a1,0.0005359699803072233,0.0005356936373667117,0.0005363251395864206
chi_IX_IX,a2,-1.6125929685446403e-05,-1.6219059062579797e-05,-1.6049586733249993e-05
chi_IX_IX,a3,3.21982182809857e-07,3.154407049941015e-07,3.295817293445554e-07
chi_IX_IX,a4,-3.759490938876203e-09,-3.954665935922252e-09,-3.5804737305432376e-09
chi_XI_XI,a0_anchor,0.0005489657832441,0.0005489657832441,0.0005489657832441
chi_XI_XI,a1,0.0005359648318161634,0.0005356717574845008,0.0005362945296292994
chi_XI_XI,a2,-1.6125090711164992e-05,-1.620734705908876e-05,-1.6042628982755494e-05
chi_XI_XI,a3,3.2194149079935213e-07,3.1521227822389334e-07,3.287660457225663e-07
chi_XI_XI,a4,-3.758915842473985e-09,-3.939949544030633e-09,-3.5791258324658863e-09
