target,degree,R_squared,RMSE,max_abs_residual,AICc,BIC,CV_RMSE_5fold,equation,best_AICc,best_CV
chi_XX_XX,1,0.9469319029733995,0.007760764856614574,0.012785135030713393,-785.0546175634861,-782.7108013202061,0.010479425268978562,y(n) = 3.52629218e-04 + 4.77527530e-03(n-0.01)^1,False,False
chi_XX_XX,2,0.9975204107061878,0.0016775583844517276,0.003693971215336267,-1031.0935272618274,-1026.4584751063287,0.0037488396077212664,y(n) = 3.52629218e-04 + 2.23953126e-03(n-0.01)^1 + 1.68089622e-04(n-0.01)^2,False,False
chi_XX_XX,3,0.9999734211041261,0.00017368256951055976,0.00044213079419250234,-1396.3298722432282,-1389.4582130908993,0.0006681821150302615,y(n) = 3.52629218e-04 + 9.17962811e-04(n-0.01)^1 + 3.87117215e-04(n-0.01)^2 - 8.16741961e-06(n-0.01)^3,False,False
chi_XX_XX,4,0.9999999616382773,6.598372335495785e-06,2.1982889245611426e-05,-1923.9210681497757,-1914.8695873205597,3.581057699626793e-05,y(n) = 3.52629218e-04 + 6.58124566e-04(n-0.01)^1 + 4.64640112e-04(n-0.01)^2 - 1.49132880e-05(n-0.01)^3 + 1.78896022e-07(n-0.01)^4,False,True
chi_XX_XX,5,0.999999991480374,3.1095534933318544e-06,9.349721112523936e-06,-2043.5270889637375,-2032.3548431903753,4.771892690942032e-05,y(n) = 3.52629218e-04 + 6.43672309e-04(n-0.01)^1 + 4.71348304e-04(n-0.01)^2 - 1.59141017e-05(n-0.01)^3 + 2.38620875e-07(n-0.01)^4 - 1.23753813e-09(n-0.01)^5,True,False
abs_chi_II_XX,1,0.96890618914066,0.010936587024553381,0.022791302551193826,-729.4832905459697,-727.1394743026897,0.015594874324901276,y(n) = 1.37278481e-02 + 1.17356119e-02(n-0.01)^1,False,False
abs_chi_II_XX,2,0.9999721736189839,0.000327169794018096,0.0009829761216695598,-1295.901220245126,-1291.2661680896274,0.0007501051517637904,y(n) = 1.37278481e-02 + 1.53939102e-02(n-0.01)^1 - 2.42501593e-04(n-0.01)^2,False,False
abs_chi_II_XX,3,0.9999946108106109,0.00014398145561249554,0.0002611735799715534,-1426.712131326607,-1419.8404721742781,0.0005369584155349849,y(n) = 1.37278481e-02 + 1.56266021e-02(n-0.01)^1 - 2.81066337e-04(n-0.01)^2 + 1.43805829e-06(n-0.01)^3,False,False
abs_chi_II_XX,4,0.9999995053436771,4.362110061868542e-05,0.00011700530778707696,-1617.9487538272901,-1608.8972729980742,0.00027673212390598293,y(n) = 1.37278481e-02 + 1.54211734e-02(n-0.01)^1 - 2.19776584e-04(n-0.01)^2 - 3.89523830e-06(n-0.01)^3 + 1.41435541e-07(n-0.01)^4,False,False
abs_chi_II_XX,5,0.9999998454902167,2.437938964182119e-05,9.031416896754241e-05,-1709.9271400467933,-1698.754894273431,4.996907205559101e-05,y(n) = 1.37278481e-02 + 1.53313456e-02(n-0.01)^1 - 1.78081883e-04(n-0.01)^2 - 1.01157870e-05(n-0.01)^3 + 5.12654817e-07(n-0.01)^4 - 7.69190694e-09(n-0.01)^5,True,True
chi_IX_IX,1,0.9415449851200319,0.00043720377017267606,0.0008644953575693828,-1251.037377964833,-1248.693561721553,0.0006140253625336358,y(n) = 5.48960862e-04 + 3.55562981e-04(n-0.01)^1,False,False
chi_IX_IX,2,0.9995811858824495,3.7006981839090354e-05,8.292442682805105e-05,-1648.959596138497,-1644.3245439829984,8.256304789524063e-05,y(n) = 5.48960862e-04 + 5.01348440e-04(n-0.01)^1 - 9.66383922e-06(n-0.01)^2,False,False
chi_IX_IX,3,0.9999957158811827,3.7428615638097446e-06,9.086992526372885e-06,-2017.9852503317074,-2011.1135911793785,1.3962194550994753e-05,y(n) = 5.48960862e-04 + 5.30509493e-04(n-0.01)^1 - 1.44967899e-05(n-0.01)^2 + 1.80218097e-07(n-0.01)^3,False,False
chi_IX_IX,4,0.9999997840211808,8.403855801868209e-07,4.117300704347803e-06,-2257.757298486747,-2248.705817657531,5.1194798983751835e-06,y(n) = 5.48960862e-04 + 5.35969980e-04(n-0.01)^1 - 1.61259297e-05(n-0.01)^2 + 3.21982183e-07(n-0.01)^3 - 3.75949094e-09(n-0.01)^4,False,False
chi_IX_IX,5,0.9999999278469848,4.857359561482001e-07,2.97822637834776e-06,-2344.291307048544,-2333.1190612751816,5.041789439349275e-06,y(n) = 5.48960862e-04 + 5.37673020e-04(n-0.01)^1 - 1.69164161e-05(n-0.01)^2 + 4.39917057e-07(n-0.01)^3 - 1.07974068e-08(n-0.01)^4 + 1.45830234e-10(n-0.01)^5,True,True
chi_XI_XI,1,0.9415462423181321,0.00043719984580546217,0.0008645003630099223,-1251.0388320930572,-1248.695015849777,0.0006140195678158638,y(n) = 5.48965783e-04 + 3.55562951e-04(n-0.01)^1,False,False
chi_XI_XI,2,0.9995812750297405,3.700310881735078e-05,8.291157142536858e-05,-1648.9765513811356,-1644.3414992256369,8.255950729949857e-05,y(n) = 5.48965783e-04 + 5.01347202e-04(n-0.01)^1 - 9.66375915e-06(n-0.01)^2,False,False
chi_XI_XI,3,0.9999957161256811,3.742761411127885e-06,9.088257663577952e-06,-2017.9895852373036,-2011.1179260849747,1.3941215366519272e-05,y(n) = 5.48965783e-04 + 5.30505179e-04(n-0.01)^1 - 1.44962001e-05(n-0.01)^2 + 1.80199091e-07(n-0.01)^3,False,False
chi_XI_XI,4,0.9999997830066939,8.423584776007903e-07,4.119326064660209e-06,-2257.377431416615,-2248.325950587399,5.2016590529144566e-06,y(n) = 5.48965783e-04 + 5.35964832e-04(n-0.01)^1 - 1.61250907e-05(n-0.01)^2 + 3.21941491e-07(n-0.01)^3 - 3.75891584e-09(n-0.01)^4,False,False
chi_XI_XI,5,0.9999999278834384,4.856141007723757e-07,2.9760956523131304e-06,-2344.3319526857094,-2333.1597069123472,4.852558451995484e-06,y(n) = 5.48965783e-04 + 5.37674085e-04(n-0.01)^1 - 1.69184613e-05(n-0.01)^2 + 4.40306668e-07(n-0.01)^3 - 1.08225106e-08(n-0.01)^4 + 1.46362318e-10(n-0.01)^5,True,True
