n_bar,noise_source,observable,leave_one_out_all_minus_without,isolated_only_minus_none
0.01,motional_heating,chi_XX_XX,7.957329313350303e-07,5.386332376442469e-07
0.01,motional_heating,abs_chi_II_XX,8.271729217940171e-06,4.243322796082527e-06
0.01,motional_heating,chi_IX_IX,0.00024288584541045814,0.00024347318585514434
0.01,motional_heating,chi_XI_XI,0.00024289428977279144,0.0002434591326898863
0.01,motional_dephasing,chi_XX_XX,0.00016114543423195054,0.00016105773146334745
0.01,motional_dephasing,abs_chi_II_XX,-1.1949832372850147e-05,-1.5976203451305293e-05
0.01,motional_dephasing,chi_IX_IX,0.00022085292029889672,0.00022141406329341247
0.01,motional_dephasing,chi_XI_XI,0.00022084621214152637,0.00022139013845028866
0.01,spin_dephasing,chi_XX_XX,-7.719541035561403e-08,-5.427194243659691e-08
0.01,spin_dephasing,abs_chi_II_XX,-4.540563809211917e-06,-4.579723341330624e-06
0.01,spin_dephasing,chi_IX_IX,-1.6454660031848135e-07,-5.743143366557018e-09
0.01,spin_dephasing,chi_XI_XI,-1.6078905244276773e-07,-2.643673629646972e-08
0.01,photon_scattering,chi_XX_XX,-1.589347015142073e-07,-1.077599845049652e-07
0.01,photon_scattering,abs_chi_II_XX,-9.564793046713468e-06,-9.604590900004137e-06
0.01,photon_scattering,chi_IX_IX,2.4616726882686728e-05,2.4963272575400454e-05
0.01,photon_scattering,chi_XI_XI,2.4613667704930452e-05,2.4947727695584587e-05
1.0,motional_heating,chi_XX_XX,1.406026067566962e-06,5.99183412046617e-07
1.0,motional_heating,abs_chi_II_XX,1.8840678901455021e-06,-3.4668210065445793e-06
1.0,motional_heating,chi_IX_IX,0.00023724177414175104,0.00023855641662138245
1.0,motional_heating,chi_XI_XI,0.0002372400086145442,0.00023856656813406692
1.0,motional_dephasing,chi_XX_XX,0.0001533780696257661,0.00015271811942860571
1.0,motional_dephasing,abs_chi_II_XX,-7.025461107344061e-05,-7.567228656785857e-05
1.0,motional_dephasing,chi_IX_IX,0.0006332330627982969,0.0006349802176369008
1.0,motional_dephasing,chi_XI_XI,0.0006332369659968492,0.0006349895386063049
1.0,spin_dephasing,chi_XX_XX,-4.559766568453579e-07,-4.111975923789483e-07
1.0,spin_dephasing,abs_chi_II_XX,-9.573291662848954e-06,-9.60596306576883e-06
1.0,spin_dephasing,chi_IX_IX,-3.3234077740154633e-07,-5.295320070692927e-08
1.0,spin_dephasing,chi_XI_XI,-3.26575532828572e-07,-4.925669600064982e-08
