n_bar,condition,chi_XX_XX,abs_chi_II_XX,chi_IX_IX,chi_XI_XI
0.01,all,0.00035262921782854706,0.01371164904174866,0.0005489608622183752,0.000548965783244119
0.01,none,0.00019106236247194355,0.013733481736116411,5.995824759620924e-05,5.996949170964064e-05
0.01,only__motional_heating,0.0001916009957095878,0.013737725058912492,0.0003034314334513536,0.00030342862439952694
0.01,without__motional_heating,0.00035183348489721203,0.013703377312530721,0.00030607501680791704,0.00030607149347132754
0.01,only__motional_dephasing,0.000352120093935291,0.013717505532665106,0.0002813723108896217,0.0002813596301599293
0.01,without__motional_dephasing,0.00019148378359659651,0.01372359887412151,0.00032810794191947846,0.0003281195711025926
0.01,only__spin_dephasing,0.00019100809052950696,0.01372890201277508,5.995250445284268e-05,5.9943054973344174e-05
0.01,without__spin_dephasing,0.00035270641323890267,0.013716189605557871,0.0005491254088186937,0.0005491265722965617
0.01,only__photon_scattering,0.0001909546024874386,0.013723877145216407,8.492152017160969e-05,8.491721940522523e-05
0.01,without__photon_scattering,0.00035278815253006127,0.013721213834795371,0.0005243441353356884,0.0005243521155391885
1.0,all,0.0014429192343300666,0.02868403776590422,0.001064971298185308,0.001064977324148302
1.0,none,0.0012901887201578928,0.0287874416004973,0.00016859596605160387,0.00016859507722685296
1.0,only__motional_heating,0.0012907879035699394,0.02878397477949076,0.0004071523826729863,0.0004071616453609199
1.0,without__motional_heating,0.0014415132082624996,0.02868215369801408,0.0008277295240435571,0.0008277373155337579
1.0,only__motional_dephasing,0.0014429068395864985,0.028711769313929443,0.0008035761836885047,0.0008035846158331579
1.0,without__motional_dephasing,0.0012895411647043005,0.028754292376977665,0.0004317382353870112,0.00043174035815145295
1.0,only__spin_dephasing,0.0012897775225655138,0.028777835637431536,0.00016854301285089694,0.0001685458205308523
1.0,without__spin_dephasing,0.001443375210986912,0.028693611057567073,0.0010653036389627096,0.0010653038996811307
1.0,only__photon_scattering,0.0012893199050752963,0.028767298333662025,0.0001934707321731041,0.00019347716171774564
1.0,without__photon_scattering,0.0014438368249335906,0.0287041281133899,0.0010407370413255126,0.0010407394870375207
4.0,all,0.009468937945186459,0.07145140322756377,0.002449720612617857,0.00244973234025741
4.0,none,0.009406534470662664,0.07201850264176779,0.000435149124337464,0.0004351624564771377
4.0,only__motional_heating,0.009405442424050982,0.07199729244374165,0.0006597414789786818,0.0006597536441025497
4.0,without__motional_heating,0.009467856828942852,0.0714668977527951,0.002228222954884363,0.0022282220819394103
4.0,only__motional_dephasing,0.009477481467454484,0.07154074199746704,0.002205587631343008,0.0022055771253021534
4.0,without__motional_dephasing,0.009395816380487173,0.07192296026188325,0.0006840624120800859,0.0006840563168308505
4.0,only__spin_dephasing,0.00940340312094093,0.07199449848905058,0.00043501740265751085,0.0004350165704435471
4.0,without__spin_dephasing,0.009472044867234599,0.07147525777567834,0.002450496118154517,0.002450537533832112
4.0,only__photon_scattering,0.009399999461297768,0.07196811361169846,0.0004598484104020108,0.00045982503233364897
4.0,without__photon_scattering,0.009475393038404929,0.07150140665228316,0.00242652257899002,0.0024265290016164892
10.0,all,0.04021361267656187,0.14317141111052792,0.004577829061432239,0.004577861792565782
10.0,none,0.040728843817935984,0.14512216868103092,0.0007657734270122577,0.0007658252592505693
10.0,only__motional_heating,0.04072129463967719,0.14507953824623335,0.0009661364032037577,0.0009662019288634947
10.0,without__motional_heating,0.04021734015477205,0.14320856083371022,0.004382589052626644,0.004382664399659819
10.0,only__motional_dephasing,0.04025859033309282,0.14335656157216756,0.004362335730173318,0.0043623240601618095
10.0,without__motional_dephasing,0.040679330990341996,0.1449296823988407,0.0009901379530434318,0.000990130790806893
10.0,only__spin_dephasing,0.04071522644806831,0.14507371895353527,0.0007655437804790048,0.0007655399666457715
10.0,without__spin_dephasing,0.04022699640330882,0.14321914721151727,0.0045793359632986756,0.004579349311481266
10.0,only__photon_scattering,0.040700382580078236,0.14502053839661272,0.0007901892805494788,0.0007902240716385898
10.0,without__photon_scattering,0.040241489931997505,0.14327163887923566,0.0045562244504342335,0.004556260216509481
20.0,all,0.10859552019343237,0.22525060895307789,0.006792169655995969,0.006792168973977986
20.0,none,0.11073258803279593,0.22937431159920513,0.0009769482722504512,0.000976957709170943
20.0,only__motional_heating,0.1107140772161975,0.22931693552274954,0.0011471185128750535,0.0011471228234785184
20.0,without__motional_heating,0.10860896632001671,0.22530298897116863,0.006628408614436243,0.006628415019427811
20.0,only__motional_dephasing,0.10872088994175819,0.22553576750216642,0.006610532732368672,0.00661052875316767
20.0,without__motional_dephasing,0.110599763459504,0.22908027727972832,0.0011709141939853123,0.0011709180663885493
20.0,only__spin_dephasing,0.11069563075720185,0.2292979758725256,0.0009766225915173558,0.0009766179444631441
20.0,without__spin_dephasing,0.10863159923540641,0.2253258276587273,0.0067944074989344325,0.00679442275362927
20.0,only__photon_scattering,0.11065504801673401,0.22921397622531442,0.0010012297969389358,0.001001231299388321
20.0,without__photon_scattering,0.10867118639040017,0.22540830342844057,0.006772240035662253,0.006772222109382243
