n_bar,case,phonon_dim,time_points,solver_atol,solver_rtol,chi_frobenius_difference_from_baseline,delta_chi_XX_XX,delta_abs_chi_II_XX,delta_chi_IX_IX,delta_chi_XI_XI
0.01,baseline,20,500,1e-12,1e-09,0.0,0.0,0.0,0.0,0.0
0.01,phonon_cutoff_1p2x,24,500,1e-12,1e-09,1.4101681931286517e-07,9.710042360444593e-09,1.1656048863953328e-08,7.880690331210638e-09,-8.881180735493058e-09
0.01,time_grid_750,20,750,1e-12,1e-09,1.582912004586509e-05,-3.052449621779069e-07,-1.1177832871174173e-05,1.1669163073975072e-08,5.758156851939228e-09
0.01,strict_solver_tol,20,500,1e-13,1e-10,8.278577443331978e-08,1.1741975783612774e-10,-1.3575080403532835e-08,3.0242490853173848e-09,-1.2771855643391172e-09
4.0,baseline,67,500,1e-12,1e-09,0.0,0.0,0.0,0.0,0.0
4.0,phonon_cutoff_1p2x,81,500,1e-12,1e-09,1.4029041673259939e-06,3.215636823136747e-08,7.809372200295872e-07,-2.203227671597821e-07,-1.8870320912583657e-07
4.0,time_grid_750,67,750,1e-12,1e-09,1.4664002717275299e-05,-1.3120696053092046e-06,-1.0276343581777647e-05,-1.4180312749977747e-08,-2.6572116574360288e-08
4.0,strict_solver_tol,67,500,1e-13,1e-10,1.7121743896560098e-07,5.031036063446459e-09,-6.898890203554942e-08,1.6935876336315187e-08,4.986855462428552e-09
20.0,baseline,354,500,1e-12,1e-09,0.0,0.0,0.0,0.0,0.0
20.0,phonon_cutoff_1p2x,425,500,1e-12,1e-09,5.976264329915821e-07,-2.0741596593043532e-08,7.789446776484965e-08,7.641195865285e-09,4.023760360582357e-08
20.0,time_grid_750,354,750,1e-12,1e-09,1.0484788727274347e-05,-1.960420089888726e-06,-6.996505158229915e-06,-1.692194182799367e-07,-1.664907018153472e-07
20.0,strict_solver_tol,354,500,1e-13,1e-10,9.615292883688343e-07,1.834542527473504e-07,-1.4253893004800844e-07,-2.985898613430682e-09,-1.323805039546433e-09
