condition_id,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1
rates_044a6c959026d60d,10.0,18.0,1.6666666666666667,4.0
rates_270dbb0a181563d6,10.0,36.0,3.3333333333333335,4.0
rates_2bd2b1433a45a59b,10.0,18.0,13.333333333333334,4.0
rates_4f154ffd26e66cb6,10.0,72.0,3.3333333333333335,4.0
rates_5052894f24b711d8,10.0,18.0,3.3333333333333335,4.0
rates_5f6c6c21f7229406,10.0,9.0,3.3333333333333335,4.0
rates_7418570e02de0b71,10.0,18.0,0.0,4.0
rates_8237b1a36457cbc1,10.0,18.0,3.3333333333333335,16.0
rates_85cf44b10a0a8ca1,5.0,18.0,3.3333333333333335,4.0
rates_8a9b52e075933311,10.0,18.0,3.3333333333333335,8.0
rates_8ae24337088cca02,10.0,18.0,3.3333333333333335,2.0
rates_955f664628d0ac20,0.0,18.0,3.3333333333333335,4.0
rates_b078dc36ac371a9a,10.0,18.0,6.666666666666667,4.0
rates_b9547fee09e3ad72,20.0,18.0,3.3333333333333335,4.0
rates_c0f0c540e1976c9c,40.0,18.0,3.3333333333333335,4.0
rates_d9ef54501046f3fe,10.0,0.0,3.3333333333333335,4.0
rates_fcafd99fe5655b45,10.0,18.0,3.3333333333333335,0.0
