condition_id,nbar,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,h_XX_rad_per_gate,gamma_XX_per_gate,dominant_local_pauli,dominant_local_gamma_per_gate,dominant_correlated_pauli,dominant_correlated_gamma_per_gate,average_infidelity,abs_chi_II_XX,chi_XX_XX,generator_frobenius_norm,hamiltonian_fit_frobenius_norm,pauli_dissipator_fit_frobenius_norm,unmodeled_generator_frobenius_norm,generator_reconstruction_error,generator_imaginary_frobenius_norm,gamma_nnls_residual,cptp_projection_iterations,cptp_min_choi_eigenvalue,cptp_tp_frobenius_error,cptp_relative_final_step
rates_044a6c959026d60d,0.01,10.0,18.0,1.6666666666666667,4.0,0.013736439995296156,0.00016386288010400012,XI,0.0005506212555291529,XX,0.00016386288010400012,0.001813541399046237,0.013713919771338392,0.00035267248835188053,0.07833909456292376,0.07770503896031877,0.009001609830333029,0.004232218989667572,3.901901388967732e-15,1.9012316247420256e-15,0.004232218981399138,1.0,4.848239730439004e-08,2.6536977915471907e-18,5.584180182919049e-16
rates_044a6c959026d60d,1.0,10.0,18.0,1.6666666666666667,4.0,0.028806286308252424,0.0006158918454831904,IX,0.001070436337776339,XX,0.0006158918454831904,0.0035116779476614293,0.02868885502801279,0.0014431533122967928,0.16392773904452068,0.16295296311494048,0.01576209157465875,0.008378061201815978,4.971603472633833e-15,1.7320280227133323e-15,0.008378061200213227,1.0,1.1789937863932495e-07,1.1126662629244762e-16,4.440679593009853e-16
rates_044a6c959026d60d,2.0,10.0,18.0,1.6666666666666667,4.0,0.04373985769714746,0.00148471183752537,XI,0.0015667253436389527,XX,0.00148471183752537,0.005848435966511545,0.043409862202775144,0.003382636486818382,0.2489212349522119,0.2474299998864814,0.024244313359023478,0.012344619721139337,5.742517088772752e-15,2.617292875891914e-15,0.012344619707916156,1.0,8.881844023854775e-08,1.110531760049421e-16,1.081490730040794e-15
rates_044a6c959026d60d,3.0,10.0,18.0,1.6666666666666667,4.0,0.05837731699678697,0.0027233463285766648,XI,0.0020339648552024957,XX,0.0027233463285766648,0.008745826844785577,0.057680507377997604,0.00608391404786828,0.3324007378718303,0.3302319737272513,0.034329329233168566,0.016080771758280852,5.5329806871601734e-15,2.890703660556861e-15,0.01608077174116726,5.0,-2.9872616589041955e-12,2.220562074070076e-16,6.56415614751083e-12
rates_044a6c959026d60d,4.0,10.0,18.0,1.6666666666666667,4.0,0.0727108556346369,0.004293105072219966,XI,0.002476204062771766,XX,0.004293105072219966,0.012149520283638894,0.07146333163855749,0.009470493549673185,0.41433930816716236,0.41131471268105346,0.04596102074458976,0.01961769600795566,5.499182398381932e-15,2.0078356761827647e-15,0.019617695999498412,4.0,-1.1176140262713237e-12,2.505220696187662e-16,2.8239294555200345e-12
rates_270dbb0a181563d6,0.01,10.0,36.0,3.3333333333333335,4.0,0.013728930787562352,0.0003251041686135154,IX,0.000771875104291474,XX,0.0003251041686135154,0.0024273221688236647,0.013703862894144407,0.000513819269181255,0.07887140909100089,0.07766256046665286,0.012377006256826653,0.0060029650908511945,7.018734874364813e-15,2.4264150556979634e-15,0.006002965081809085,1.0,1.3085723608475282e-07,1.1104968335690746e-16,5.668915424466444e-16
rates_270dbb0a181563d6,1.0,10.0,36.0,3.3333333333333335,4.0,0.02876671527906471,0.0007734587175133947,IX,0.001704086246062722,XX,0.0007734587175133947,0.0047721455150124825,0.028629138279740746,0.0016004107456472514,0.16490273736030636,0.16272911557034322,0.02305116884141685,0.013445867382230553,5.977236594107131e-15,2.4262630673070564e-15,0.013445867378717086,1.0,1.770540550109763e-07,3.2329403214148155e-19,8.227851883047335e-16
rates_270dbb0a181563d6,2.0,10.0,36.0,3.3333333333333335,4.0,0.04364907424190668,0.0016394734333437457,XI,0.002595845614235612,XX,0.0016394734333437457,0.007719189250050818,0.04325820669658133,0.003532645742532887,0.25025747098726014,0.24691645111193808,0.03518078905747694,0.02057620073090638,5.2869299082529824e-15,2.366929557912322e-15,0.020576200723038354,1.0,1.5928720854381675e-07,1.575935352614536e-16,8.418826590799729e-16
rates_270dbb0a181563d6,3.0,10.0,36.0,3.3333333333333335,4.0,0.0582199515732293,0.002874552917684441,IX,0.0034391639690472702,XX,0.002874552917684441,0.011183889713007655,0.05740188489825684,0.006218581089327838,0.33402001048542207,0.3293417804623163,0.04854816416315905,0.027320959042094913,6.001045279812615e-15,2.847311924361473e-15,0.02732095901499759,5.0,-2.895636995149266e-12,1.5701076537469086e-16,6.495402056583916e-12
rates_270dbb0a181563d6,4.0,10.0,36.0,3.3333333333333335,4.0,0.07247481759961232,0.00443916345145169,XI,0.004239219037293496,XX,0.00443916345145169,0.015112316298325545,0.07102954815421313,0.00957875546855896,0.4161782767555843,0.40997947991960687,0.06311979215013652,0.03372055644588085,6.0679839411662036e-15,2.2754349273489003e-15,0.033720556439501906,4.0,-2.5368054083141185e-12,2.490047235334376e-16,5.1702590372676855e-12
rates_2bd2b1433a45a59b,0.01,10.0,18.0,13.333333333333334,4.0,0.013736591616828163,0.00016385682897535276,XI,0.0005505665235984252,XY,0.0003578845133032815,0.0027439193010536655,0.013698082117615898,0.00035247330990556823,0.07902926144898569,0.07770589666128158,0.013724859096210212,0.004364175984941567,4.1714909138331825e-15,2.34489319446929e-15,0.004364175938732952,1.0,5.670968878430455e-07,2.462834046101629e-18,1.043085101807772e-15
rates_2bd2b1433a45a59b,1.0,10.0,18.0,13.333333333333334,4.0,0.02880639144359513,0.0006158863178390431,IX,0.0010703963470648926,XX,0.0006158863178390431,0.004440115993404614,0.02865551144270765,0.001441652108781838,0.16442558224672807,0.16295355785025722,0.020261429808403102,0.008448937402866416,6.267496139098966e-15,2.270773295219903e-15,0.008448937397405477,1.0,7.643272888898143e-07,2.482537654988708e-16,1.3812267464378141e-15
rates_2bd2b1433a45a59b,2.0,10.0,18.0,13.333333333333334,4.0,0.04373997347962952,0.0014846961329606312,IX,0.0015666956605948825,XX,0.0014846961329606312,0.006774158168063505,0.043359366009947185,0.003378859538016976,0.249388900073436,0.24743065485104268,0.028621658801250997,0.0123973855020806,4.711545896597754e-15,2.7082653833359837e-15,0.01239738549255359,1.0,8.117379283867233e-07,1.0049758129202296e-17,4.159875877279017e-16
rates_2bd2b1433a45a59b,3.0,10.0,18.0,13.333333333333334,4.0,0.058377433650700646,0.0027233445385878865,IX,0.0020339443785731747,XX,0.0027233445385878865,0.009668180790327163,0.057613372214732755,0.006076998786424799,0.33287323229097326,0.3302326336214622,0.038613226843491416,0.01612498620174546,4.207246164699277e-15,2.5216038498924245e-15,0.016124986179337768,1.0,5.899346060409349e-07,2.2205357680268377e-16,1.7819164369604217e-15
rates_2bd2b1433a45a59b,4.0,10.0,18.0,13.333333333333334,4.0,0.07271099403838785,0.004293105522488873,IX,0.0024761900335336126,XX,0.004293105522488873,0.013067928463625922,0.07138014588085013,0.009459632818668831,0.4148292766688085,0.4113154956109068,0.0501646200030306,0.019657129797412253,5.021478997968105e-15,2.3301614852945564e-15,0.019657129790081582,1.0,7.746658172733129e-07,2.5211979765506056e-17,7.470755355406665e-16
rates_4f154ffd26e66cb6,0.01,10.0,72.0,3.3333333333333335,4.0,0.013715636318720649,0.0006473921921969295,IX,0.0012127197701426282,XX,0.0006473921921969295,0.0033844816956269067,0.013700544788554337,0.0008363291427901233,0.08018539847907696,0.07758735559420235,0.017868448688231515,0.009519397177510158,4.442957211426459e-15,2.4477636905846993e-15,0.009519397168542963,1.0,1.1057542483546265e-07,2.7060835374337385e-18,7.097178790998583e-16
rates_4f154ffd26e66cb6,1.0,10.0,72.0,3.3333333333333335,4.0,0.02869160226472485,0.001094641014655629,IX,0.0029596733507947733,XX,0.001094641014655629,0.007003664873007409,0.028563647768914766,0.00192721343100275,0.16798519380106466,0.16230421219598407,0.036398145887458135,0.023484952965197797,3.96072143335221e-15,1.9658270970128066e-15,0.023484952962727818,1.0,1.522564644283231e-07,1.1126156985222064e-16,5.721104439441331e-16
rates_4f154ffd26e66cb6,2.0,10.0,72.0,3.3333333333333335,4.0,0.04347401654591971,0.0019669606884436495,XI,0.004625188301498129,XX,0.0019669606884436495,0.011139269334419845,0.04304554161754465,0.003868072794193712,0.2548814636529057,0.2459261752404043,0.05594766781259831,0.03680672916471385,5.125609733844899e-15,2.5431404366748054e-15,0.03680672916051353,1.0,8.489450586596191e-08,1.0394702223645605e-17,8.652323190556346e-16
rates_4f154ffd26e66cb6,3.0,10.0,72.0,3.3333333333333335,4.0,0.05791454150385376,0.00321090935006844,IX,0.006198214221250041,XX,0.00321090935006844,0.015696898460949082,0.056970753863957724,0.006554977369726828,0.3399568930054264,0.327614120213529,0.07615974337306601,0.04938998712256398,4.563578414952849e-15,2.590833092446202e-15,0.04938998711675153,5.0,-4.170043101147031e-12,1.5712035884787164e-16,8.369367327419762e-12
rates_4f154ffd26e66cb6,4.0,10.0,72.0,3.3333333333333335,4.0,0.07201545095174665,0.004784063098658391,XI,0.007687906749946406,XX,0.004784063098658391,0.02062624203961958,0.0703229663645571,0.0099007263625705,0.4232372809408318,0.4073809097455122,0.09701569001342643,0.06130698365052812,4.579927257136619e-15,2.195409509823851e-15,0.06130698364872091,1.0,9.77727268128888e-08,1.576610021996136e-16,9.458187325953306e-16
rates_5052894f24b711d8,0.01,10.0,18.0,3.3333333333333335,4.0,0.013736447028339389,0.00016386527935669193,XI,0.000550611275765521,XY,0.00017450344307439313,0.0019465362328617176,0.013711641390219822,0.0003526354700301498,0.07841802659148828,0.07770507874522968,0.009658777303025147,0.004244484976011461,4.7758627178402485e-15,2.7945039479885877e-15,0.004244484963835774,1.0,1.428608172687386e-07,5.059887573216212e-18,4.985688364924723e-16
rates_5052894f24b711d8,1.0,10.0,18.0,3.3333333333333335,4.0,0.02880627467169461,0.0006158910031808071,XI,0.0010704333394205763,XX,0.0006158910031808071,0.0036443888636148005,0.028684062691241085,0.0014429278518201655,0.16398940826081754,0.16295289728864418,0.01638835037946997,0.00838458459373003,6.852307135220679e-15,1.949124620306763e-15,0.008384584589610281,1.0,1.5063595090476833e-07,1.1113648745792656e-16,6.5468492214444355e-16
