nbar,component,multiplier_x,multiplier_y,multiplier_product,observed,fitted_prediction,fitted_residual,loocv_prediction,loocv_residual,fitted_residual_over_peak,loocv_residual_over_peak
0.01,coherent_h_XX,0.5,0.5,0.25,3.040925433336894e-08,2.9520020146591342e-08,8.892341867775981e-10,2.9519897052157955e-08,8.893572812109848e-10,0.00046944610526120637,0.0004695110894950471
0.01,coherent_h_XX,1.0,0.5,0.5,5.9234135494148916e-08,5.9040040293182684e-08,1.9409520096623185e-10,5.903993277610695e-08,1.942027180419656e-10,0.00010246708628429909,0.00010252384689157534
0.01,coherent_h_XX,2.0,0.5,1.0,1.1095966062114881e-07,1.1808008058636537e-07,-7.120419965216554e-09,1.180958839875921e-07,-7.136223366443281e-09,-0.003759024866788056,-0.003767367826681053
0.01,coherent_h_XX,4.0,0.5,2.0,2.324403294198113e-07,2.3616016117273074e-07,-3.7198317529194394e-09,2.3619340642230299e-07,-3.753077002491688e-09,-0.001963780244395558,-0.0019813311361203635
0.01,coherent_h_XX,0.5,1.0,0.5,4.2758900545281087e-08,5.9040040293182684e-08,-1.6281139747901598e-08,5.9049059066066165e-08,-1.6290158520785078e-08,-0.008595168469132875,-0.008599929675873844
0.01,coherent_h_XX,1.0,1.0,1.0,1.0025302816553395e-07,1.1808008058636537e-07,-1.7827052420831414e-08,1.1811964680064381e-07,-1.7866618635109858e-08,-0.009411289457475342,-0.009432177324214086
0.01,coherent_h_XX,2.0,1.0,2.0,2.129162536175511e-07,2.3616016117273074e-07,-2.3243907555179645e-08,2.3636789893052037e-07,-2.3451645312969277e-08,-0.01227096532621243,-0.012380634615540405
0.01,coherent_h_XX,4.0,1.0,4.0,4.70179166401144e-07,4.723203223454615e-07,-2.141155944317486e-09,4.7239897579957905e-07,-2.2198093984350585e-09,-0.00113036288276231,-0.0011718857551955425
0.01,coherent_h_XX,0.5,2.0,1.0,1.372588696989946e-07,1.1808008058636537e-07,1.917878911262922e-08,1.1803751426290829e-07,1.9221355436086298e-08,0.010124900713923647,0.010147372403675732
0.01,coherent_h_XX,1.0,2.0,2.0,2.294956652805491e-07,2.3616016117273074e-07,-6.664495892181638e-09,2.362197237669354e-07,-6.724058486386303e-09,-0.003518332613202221,-0.0035497770046622034
0.01,coherent_h_XX,2.0,2.0,4.0,4.728665533113713e-07,4.723203223454615e-07,5.462309659098103e-10,4.7230025703806115e-07,5.662962733101309e-10,0.0002883672302890899,0.00029896014332596267
0.01,coherent_h_XX,4.0,2.0,8.0,9.500696619198916e-07,9.44640644690923e-07,5.429017228968673e-09,9.43744125800024e-07,6.325536119867587e-09,0.002866096503521806,0.003339388362835862
