nbar,component,n_active_points,fit_relative_l2_error,fit_normalized_max_abs_error,fit_normalized_rmse_to_peak,fit_r_squared,loocv_relative_l2_error,loocv_normalized_max_abs_error,loocv_normalized_rmse_to_peak,loocv_r_squared,assessment,strong_relative_l2_threshold,strong_normalized_max_threshold,acceptable_relative_l2_threshold,acceptable_normalized_max_threshold
0.01,coherent_h_XX,16,0.01743854482197126,0.01227096532621243,0.005775923871122398,0.999466537630251,0.018057232016811458,0.012380634615540405,0.005980842926807189,0.9994280136529158,strongly_supported,0.05,0.1,0.1,0.2
0.01,correlated_gamma_XX,16,0.26694758737549584,0.19439707400411949,0.09070917821794328,0.889455386089665,0.2727144041667498,0.19613445882973932,0.09266875094609936,0.8846276494240498,insufficient,0.05,0.1,0.1,0.2
0.01,local_gamma_X,16,0.008060286097934327,0.006114674594684435,0.002683429735864651,0.999884158299968,0.009209514849127924,0.006339291712813194,0.0030660308702156794,0.9998487701529948,strongly_supported,0.05,0.1,0.1,0.2
1.0,coherent_h_XX,16,0.01931215736662232,0.01928413585233467,0.00647010309214684,0.9993287139808265,0.023977887654644942,0.02040204515323162,0.008033250874684726,0.9989651727390417,strongly_supported,0.05,0.1,0.1,0.2
1.0,correlated_gamma_XX,16,0.044639605962262345,0.03866449370623121,0.01512168991030505,0.9963901235558278,0.05473165212544824,0.04437949941482083,0.018540375836188765,0.9945733882786885,acceptable_approximation,0.05,0.1,0.1,0.2
1.0,local_gamma_X,16,0.010275512262729627,0.006849702641766545,0.003433138801868063,0.9998104892949444,0.01449191496652416,0.014325052835728326,0.004841875938915972,0.9996230546955077,strongly_supported,0.05,0.1,0.1,0.2
2.0,coherent_h_XX,16,0.05706754499089125,0.05034091243577333,0.01922990050682626,0.9939555821641554,0.06138745384857478,0.05045264146878379,0.02068556883012755,0.9930058435942001,acceptable_approximation,0.05,0.1,0.1,0.2
2.0,correlated_gamma_XX,16,0.030951259191946186,0.02284071157207462,0.010426798945039813,0.9982512050357305,0.03948801825379996,0.032583469134578304,0.013302645443826441,0.9971534886010409,strongly_supported,0.05,0.1,0.1,0.2
2.0,local_gamma_X,16,0.014318976187535118,0.010062372948402403,0.004792357549205979,0.9996297570859428,0.01950641452316628,0.01822169393141602,0.006528519335021614,0.9993129035261581,strongly_supported,0.05,0.1,0.1,0.2
3.0,coherent_h_XX,16,0.15358760062176793,0.07717106080774834,0.04805567960554164,0.9657753031227804,0.1932602785187597,0.15894672801238285,0.06046877474078449,0.9458108297736024,insufficient,0.05,0.1,0.1,0.2
3.0,correlated_gamma_XX,16,0.05051314315701459,0.03507908522894659,0.016794677934035565,0.9956934801995032,0.053455736224985693,0.04087185789052391,0.017773035244208958,0.9951771218158796,acceptable_approximation,0.05,0.1,0.1,0.2
3.0,local_gamma_X,16,0.01711798685332628,0.010600442113771577,0.00574352379034373,0.9994669246661152,0.023957239012199715,0.02395926143346635,0.008038268366281779,0.9989558647880438,strongly_supported,0.05,0.1,0.1,0.2
4.0,coherent_h_XX,16,0.10705294484250573,0.06766580898604412,0.03687825156712252,0.977340639714026,0.11938011156338318,0.07284766800627744,0.04112478916691658,0.9718217272433719,insufficient,0.05,0.1,0.1,0.2
4.0,correlated_gamma_XX,16,0.032727307138915175,0.019822447505012705,0.011010887335628763,0.9980435856249545,0.0393656831221586,0.029430238818457327,0.013244325294113362,0.9971694170575418,strongly_supported,0.05,0.1,0.1,0.2
4.0,local_gamma_X,16,0.017243260812242592,0.011561354555956698,0.005784507917876381,0.9994619879335478,0.024175247366896854,0.02353143598060216,0.008109945754062261,0.9989424642078664,strongly_supported,0.05,0.1,0.1,0.2
