pair_id,pauli,pauli_weight,mode_class,signed_interaction_gamma_at_max_abs,max_abs_interaction_gamma,nbar_at_max_abs,multiplier_x_at_max_abs,multiplier_y_at_max_abs,rank_within_pair
motional_dephasing__photon_scattering,ZI,1,local,8.764079832245836e-07,8.764079832245836e-07,4.0,4.0,4.0,1
motional_dephasing__photon_scattering,IZ,1,local,8.757578815728367e-07,8.757578815728367e-07,4.0,4.0,4.0,2
motional_dephasing__photon_scattering,ZX,2,correlated,-8.595189339542114e-07,8.595189339542114e-07,4.0,4.0,4.0,3
motional_dephasing__photon_scattering,XZ,2,correlated,-8.572716795510627e-07,8.572716795510627e-07,4.0,4.0,4.0,4
motional_dephasing__photon_scattering,IY,1,local,-6.529273453175778e-07,6.529273453175778e-07,4.0,4.0,4.0,5
motional_dephasing__photon_scattering,YI,1,local,-6.522866068364671e-07,6.522866068364671e-07,4.0,4.0,4.0,6
motional_dephasing__photon_scattering,XY,2,correlated,6.320207273324244e-07,6.320207273324244e-07,4.0,4.0,4.0,7
motional_dephasing__photon_scattering,YX,2,correlated,6.282746383461579e-07,6.282746383461579e-07,4.0,4.0,4.0,8
motional_dephasing__photon_scattering,IX,1,local,6.3748520550788e-08,6.3748520550788e-08,3.0,0.5,1.0,9
motional_dephasing__photon_scattering,XX,2,correlated,5.245578154570302e-08,5.245578154570302e-08,3.0,4.0,2.0,10
motional_dephasing__photon_scattering,XI,1,local,-4.938805643519683e-08,4.938805643519683e-08,3.0,0.5,1.0,11
motional_dephasing__photon_scattering,YY,2,correlated,-4.3260195191630336e-08,4.3260195191630336e-08,3.0,4.0,0.5,12
motional_dephasing__photon_scattering,ZZ,2,correlated,-3.189905470862419e-08,3.189905470862419e-08,3.0,4.0,2.0,13
motional_dephasing__photon_scattering,ZY,2,correlated,2.148530626009994e-08,2.148530626009994e-08,3.0,4.0,2.0,14
motional_dephasing__photon_scattering,YZ,2,correlated,-1.978979548122181e-08,1.978979548122181e-08,3.0,0.5,1.0,15
motional_dephasing__spin_dephasing,XZ,2,correlated,-5.198813809639726e-07,5.198813809639726e-07,4.0,4.0,4.0,1
motional_dephasing__spin_dephasing,ZI,1,local,5.128009731649118e-07,5.128009731649118e-07,4.0,4.0,4.0,2
motional_dephasing__spin_dephasing,IZ,1,local,5.106609508926652e-07,5.106609508926652e-07,4.0,4.0,4.0,3
motional_dephasing__spin_dephasing,ZX,2,correlated,-4.988621343451774e-07,4.988621343451774e-07,4.0,4.0,4.0,4
motional_dephasing__spin_dephasing,YI,1,local,-4.2592774941516874e-07,4.2592774941516874e-07,4.0,4.0,4.0,5
motional_dephasing__spin_dephasing,YX,2,correlated,4.0519303375454244e-07,4.0519303375454244e-07,4.0,4.0,4.0,6
motional_dephasing__spin_dephasing,XY,2,correlated,4.026516414598006e-07,4.026516414598006e-07,4.0,4.0,4.0,7
motional_dephasing__spin_dephasing,IY,1,local,-3.955245842071369e-07,3.955245842071369e-07,4.0,4.0,4.0,8
motional_dephasing__spin_dephasing,XX,2,correlated,7.743378880806229e-08,7.743378880806229e-08,4.0,1.0,1.0,9
motional_dephasing__spin_dephasing,IX,1,local,6.749389992911784e-08,6.749389992911784e-08,3.0,0.5,1.0,10
motional_dephasing__spin_dephasing,ZZ,2,correlated,-5.281366565607071e-08,5.281366565607071e-08,4.0,2.0,1.0,11
motional_dephasing__spin_dephasing,XI,1,local,-4.192941568405793e-08,4.192941568405793e-08,2.0,4.0,4.0,12
motional_dephasing__spin_dephasing,YY,2,correlated,3.83468961941328e-08,3.83468961941328e-08,4.0,4.0,1.0,13
motional_dephasing__spin_dephasing,YZ,2,correlated,-2.3549428967776315e-08,2.3549428967776315e-08,3.0,0.5,1.0,14
motional_dephasing__spin_dephasing,ZY,2,correlated,2.3080037934806042e-08,2.3080037934806042e-08,2.0,4.0,4.0,15
motional_heating__motional_dephasing,IX,1,local,5.417372122856203e-06,5.417372122856203e-06,4.0,4.0,4.0,1
motional_heating__motional_dephasing,XI,1,local,5.413806451487848e-06,5.413806451487848e-06,4.0,4.0,4.0,2
motional_heating__motional_dephasing,XX,2,correlated,-3.094529485360431e-06,3.094529485360431e-06,4.0,4.0,4.0,3
motional_heating__motional_dephasing,YI,1,local,-2.9500372032545976e-08,2.9500372032545976e-08,3.0,1.0,0.5,4
motional_heating__motional_dephasing,YY,2,correlated,-2.9195751231668844e-08,2.9195751231668844e-08,3.0,2.0,4.0,5
motional_heating__motional_dephasing,ZZ,2,correlated,-2.867192667793325e-08,2.867192667793325e-08,3.0,4.0,4.0,6
motional_heating__motional_dephasing,XZ,2,correlated,-2.468443841724432e-08,2.468443841724432e-08,3.0,1.0,0.5,7
motional_heating__motional_dephasing,ZY,2,correlated,-2.4290566423947405e-08,2.4290566423947405e-08,3.0,2.0,4.0,8
motional_heating__motional_dephasing,IZ,1,local,-2.2632345721601742e-08,2.2632345721601742e-08,3.0,1.0,2.0,9
motional_heating__motional_dephasing,YX,2,correlated,-2.2127181216967905e-08,2.2127181216967905e-08,3.0,4.0,0.5,10
motional_heating__motional_dephasing,XY,2,correlated,-2.0227551294907994e-08,2.0227551294907994e-08,3.0,2.0,0.5,11
motional_heating__motional_dephasing,YZ,2,correlated,-1.9529072440896e-08,1.9529072440896e-08,3.0,4.0,0.5,12
motional_heating__motional_dephasing,ZI,1,local,-1.667788418580044e-08,1.667788418580044e-08,3.0,0.5,0.5,13
motional_heating__motional_dephasing,ZX,2,correlated,1.54051478258436e-08,1.54051478258436e-08,2.0,0.5,4.0,14
motional_heating__motional_dephasing,IY,1,local,-1.2492042424514302e-08,1.2492042424514302e-08,3.0,1.0,4.0,15
