condition_id,nbar,pauli,pauli_weight,mode_class,h_rad_per_gate,gamma_per_gate
rates_043985184c08dfb1,0.01,IX,1,local,-1.4544950173252894e-09,0.0009434228352939271
rates_043985184c08dfb1,0.01,IY,1,local,-9.91125413226526e-10,4.431350224122716e-05
rates_043985184c08dfb1,0.01,IZ,1,local,-5.187973995989001e-11,0.00012238576982266783
rates_043985184c08dfb1,0.01,XI,1,local,-1.266063707200084e-08,0.0009434306172623799
rates_043985184c08dfb1,0.01,XX,2,correlated,0.013707419988188838,0.0006472913899577061
rates_043985184c08dfb1,0.01,XY,2,correlated,6.929573151102455e-10,0.0001223232009581095
rates_043985184c08dfb1,0.01,XZ,2,correlated,4.178021401326619e-10,4.43077926580563e-05
rates_043985184c08dfb1,0.01,YI,1,local,-5.135779285723346e-09,4.432055525114367e-05
rates_043985184c08dfb1,0.01,YX,2,correlated,-1.9519495224906003e-09,0.00012232364733798153
rates_043985184c08dfb1,0.01,YY,2,correlated,9.03035194692681e-10,0.0
rates_043985184c08dfb1,0.01,YZ,2,correlated,2.3970563614142496e-09,0.0
rates_043985184c08dfb1,0.01,ZI,1,local,2.0969252094958697e-11,0.00012238563692354594
rates_043985184c08dfb1,0.01,ZX,2,correlated,3.5461557411590755e-10,4.430042616920689e-05
rates_043985184c08dfb1,0.01,ZY,2,correlated,1.1981621835506427e-09,0.0
rates_043985184c08dfb1,0.01,ZZ,2,correlated,6.480674159285926e-17,9.202954855029122e-09
rates_043985184c08dfb1,1.0,IX,1,local,1.307285854666617e-08,0.0026949684301665433
rates_043985184c08dfb1,1.0,IY,1,local,-3.0496761665490495e-09,6.24609592137917e-05
rates_043985184c08dfb1,1.0,IZ,1,local,-1.208496089220669e-11,0.00010424362662400019
rates_043985184c08dfb1,1.0,XI,1,local,1.0343964908395101e-08,0.002694970560455596
rates_043985184c08dfb1,1.0,XX,2,correlated,0.028683200626834555,0.0010944445615521969
rates_043985184c08dfb1,1.0,XY,2,correlated,-4.115994684088969e-10,0.0001041971422753485
