nbar,rate_power,coarse_step_size,fine_step_size,fine_maximum_stencil_multiplier,coefficient_difference_frobenius,fine_coefficient_frobenius,relative_coefficient_change,relative_converged,coefficient_rtol
0.01,1,0.2,0.1,0.4,1.7337264997253623e-05,0.003318768633920536,0.005224005319338192,True,0.05
0.01,2,0.2,0.1,0.4,0.00020558582628096053,0.00017812903464106312,1.1541399002988137,False,0.05
0.01,3,0.2,0.1,0.4,0.0007931629660904563,0.0007456912884639045,1.063661301078549,False,0.05
0.01,4,0.2,0.1,0.4,0.0009731547428455589,0.0009468770585911467,1.0277519494384102,False,0.05
0.01,1,0.1,0.05,0.2,2.8939294801243975e-05,0.0033195250237016173,0.008717902288615267,True,0.05
0.01,2,0.1,0.05,0.2,0.0006946883869681306,0.0006789308710510582,1.023209308324245,False,0.05
0.01,3,0.1,0.05,0.2,0.005443185681696097,0.005377550071461197,1.0122054856510272,False,0.05
0.01,4,0.1,0.05,0.2,0.013536536259030698,0.013459179567299785,1.0057475042474995,False,0.05
1.0,1,0.2,0.1,0.4,1.2128914467786696e-05,0.008518666751608247,0.0014238043136852215,True,0.05
1.0,2,0.2,0.1,0.4,0.0001376342615504056,0.0001243701752464073,1.1066500571999593,False,0.05
1.0,3,0.2,0.1,0.4,0.0005080564197390647,0.0004838602403979028,1.0500065459424073,False,0.05
1.0,4,0.2,0.1,0.4,0.0006029171410259853,0.0005918697771106772,1.0186651934978634,False,0.05
1.0,1,0.1,0.05,0.2,1.897776972858616e-05,0.008518916278796588,0.002227721121737215,True,0.05
1.0,2,0.1,0.05,0.2,0.00042137170341328603,0.00037927208829862877,1.1110010897546174,False,0.05
1.0,3,0.1,0.05,0.2,0.0031726576881742252,0.003025808696482866,1.048532146748753,False,0.05
1.0,4,0.1,0.05,0.2,0.007873476218412633,0.0077233992432841955,1.0194314666898692,False,0.05
2.0,1,0.2,0.1,0.4,1.6795218204748152e-05,0.013600707743371885,0.0012348782520478073,True,0.05
2.0,2,0.2,0.1,0.4,0.0001989157022017145,0.00019205459735640562,1.0357247623319132,False,0.05
2.0,3,0.2,0.1,0.4,0.0007861736347259172,0.0007624080352719847,1.0311717588934568,False,0.05
2.0,4,0.2,0.1,0.4,0.0009959523864031497,0.000984867395014715,1.0112553136031772,False,0.05
2.0,1,0.1,0.05,0.2,3.795554011014068e-05,0.013601946318118936,0.002790449191788142,True,0.05
2.0,2,0.1,0.05,0.2,0.0008977368225242138,0.0008431889043198919,1.064692405135857,False,0.05
2.0,3,0.1,0.05,0.2,0.006954111088686537,0.00686275244924979,1.0133122446295924,False,0.05
2.0,4,0.1,0.05,0.2,0.01718327358517512,0.017200265163378376,0.9990121327757531,False,0.05
3.0,1,0.2,0.1,0.4,2.171808785815621e-05,0.018477811099921485,0.001175360422331003,True,0.05
3.0,2,0.2,0.1,0.4,0.0002590195829968042,0.0002589509306460561,1.0002651172196093,False,0.05
3.0,3,0.2,0.1,0.4,0.001011401584415684,0.0009942615113513657,1.0172389988636108,False,0.05
3.0,4,0.2,0.1,0.4,0.0012567550504892216,0.0012518815015946493,1.0038929793981015,False,0.05
3.0,1,0.1,0.05,0.2,3.2964900032217576e-05,0.01847916775939784,0.0017838952739336873,True,0.05
3.0,2,0.1,0.05,0.2,0.0006813268164963803,0.0005645032517098527,1.2069493212531102,False,0.05
3.0,3,0.1,0.05,0.2,0.004645625930523042,0.004248972001656901,1.093352916590522,False,0.05
3.0,4,0.1,0.05,0.2,0.010609981345861186,0.01026673640556642,1.0334327216298906,False,0.05
4.0,1,0.2,0.1,0.4,2.990665542899716e-05,0.02315610662702851,0.0012915234806394095,True,0.05
4.0,2,0.2,0.1,0.4,0.0003597794284566425,0.00039243071262139075,0.9167973272360832,False,0.05
4.0,3,0.2,0.1,0.4,0.001409896564577896,0.0014007451280275093,1.0065332631663504,False,0.05
4.0,4,0.2,0.1,0.4,0.0017514506791833587,0.001754891278916682,0.9980394228550459,False,0.05
4.0,1,0.1,0.05,0.2,9.432044136918902e-05,0.023154040380052143,0.004073606153440448,True,0.05
4.0,2,0.1,0.05,0.2,0.0021097141406332307,0.0019972716185224595,1.056298062350655,False,0.05
4.0,3,0.1,0.05,0.2,0.015354010350030861,0.01493206226615862,1.028257857243773,False,0.05
4.0,4,0.1,0.05,0.2,0.036064222594689395,0.035578301117256655,1.0136578043968787,False,0.05
