nbar,step_size,maximum_stencil_multiplier,rate_power,coefficient_frobenius_per_multiplier_power,coefficient_frobenius_per_rate_s_power
0.01,0.2,0.8,1,0.0033179263089026367,0.0001843292393834798
0.01,0.2,0.8,2,4.2915944238495036e-05,1.324566180200464e-07
0.01,0.2,0.8,3,8.68686967978769e-05,1.4895181206769014e-08
0.01,0.2,0.8,4,5.5869878866687674e-05,5.322157337552171e-10
0.01,0.1,0.4,1,0.003318768633920536,0.00018437603521780755
0.01,0.1,0.4,2,0.00017812903464106312,5.497809711143923e-07
0.01,0.1,0.4,3,0.0007456912884639045,1.2786201791219214e-07
0.01,0.1,0.4,4,0.0009468770585911467,9.019938448703959e-09
0.01,0.05,0.2,1,0.0033195250237016173,0.00018441805687231208
0.01,0.05,0.2,2,0.0006789308710510582,2.095465651392155e-06
0.01,0.05,0.2,3,0.005377550071461197,9.220764868760626e-07
0.01,0.05,0.2,4,0.013459179567299785,1.282119681384296e-07
1.0,0.2,0.8,1,0.00851867524742076,0.00047325973596782007
1.0,0.2,0.8,2,4.090755396109719e-05,1.2625788259597899e-07
1.0,0.2,0.8,3,6.206694166347151e-05,1.0642479709100053e-08
1.0,0.2,0.8,4,3.709604063028592e-05,3.5337639679818166e-10
1.0,0.1,0.4,1,0.008518666751608247,0.00047325926397823593
1.0,0.1,0.4,2,0.0001243701752464073,3.838585655753311e-07
1.0,0.1,0.4,3,0.0004838602403979028,8.296643353873504e-08
1.0,0.1,0.4,4,0.0005918697771106772,5.638143738670527e-09
1.0,0.05,0.2,1,0.008518916278796588,0.00047327312659981046
1.0,0.05,0.2,2,0.00037927208829862877,1.1705928651192247e-06
1.0,0.05,0.2,3,0.003025808696482866,5.188286516602993e-07
1.0,0.05,0.2,4,0.0077233992432841955,7.357299995507731e-08
2.0,0.2,0.8,1,0.013601768550732637,0.0007556538083740354
2.0,0.2,0.8,2,6.999809935376186e-05,2.1604351652395636e-07
2.0,0.2,0.8,3,7.931383187748922e-05,1.3599765411092115e-08
2.0,0.2,0.8,4,5.199241948364549e-05,4.952791064971564e-10
2.0,0.1,0.4,1,0.013600707743371885,0.0007555948746317714
2.0,0.1,0.4,2,0.00019205459735640562,5.927611029518692e-07
2.0,0.1,0.4,3,0.0007624080352719847,1.3072840110973675e-07
2.0,0.1,0.4,4,0.000984867395014715,9.381833895506734e-09
2.0,0.05,0.2,1,0.013601946318118936,0.0007556636843399409
2.0,0.05,0.2,2,0.0008431889043198919,2.6024348898762095e-06
2.0,0.05,0.2,3,0.00686275244924979,1.1767408177725976e-06
2.0,0.05,0.2,4,0.017200265163378376,1.6384950048942973e-07
3.0,0.2,0.8,1,0.018481452663952617,0.00102674737021959
3.0,0.2,0.8,2,0.00012778168364872028,3.9438791249605026e-07
3.0,0.2,0.8,3,0.00013436430873984488,2.303914758913664e-08
3.0,0.2,0.8,4,8.397888697066175e-05,7.999817765075994e-10
3.0,0.1,0.4,1,0.018477811099921485,0.0010265450611067492
3.0,0.1,0.4,2,0.0002589509306460561,7.99231267426099e-07
3.0,0.1,0.4,3,0.0009942615113513657,1.704837982426896e-07
3.0,0.1,0.4,4,0.0012518815015946493,1.1925406774830907e-08
3.0,0.05,0.2,1,0.01847916775939784,0.0010266204310776577
3.0,0.05,0.2,2,0.0005645032517098527,1.7422939867588045e-06
3.0,0.05,0.2,3,0.004248972001656901,7.285617286791669e-07
3.0,0.05,0.2,4,0.01026673640556642,9.780079642552982e-08
4.0,0.2,0.8,1,0.02315430697445724,0.0012863503874698467
4.0,0.2,0.8,2,0.00017521314664574326,5.407813168078496e-07
4.0,0.2,0.8,3,0.0001375955835223817,2.3593207051162846e-08
4.0,0.2,0.8,4,9.108318365199337e-05,8.67657213572563e-10
4.0,0.1,0.4,1,0.02315610662702851,0.0012864503681682506
4.0,0.1,0.4,2,0.00039243071262139075,1.2112059031524406e-06
4.0,0.1,0.4,3,0.0014007451280275093,2.40182635121315e-07
4.0,0.1,0.4,4,0.001754891278916682,1.6717071320270175e-08
4.0,0.05,0.2,1,0.023154040380052143,0.0012863355766695634
4.0,0.05,0.2,2,0.0019972716185224595,6.164418575686603e-06
4.0,0.05,0.2,3,0.01493206226615862,2.5603673295882407e-06
4.0,0.05,0.2,4,0.035578301117256655,3.389184300912271e-07
