nbar,rate_power,coarse_step_size,middle_step_size,fine_step_size,coarse_middle_difference_frobenius,middle_fine_difference_frobenius,observed_convergence_order,expected_asymptotic_order,order_difference
0.01,1,0.2,0.1,0.05,1.7337264997253623e-05,2.8939294801243975e-05,-0.7391534391320346,4,-4.739153439132035
0.01,2,0.2,0.1,0.05,0.00020558582628096053,0.0006946883869681306,-1.7566251760251563,3,-4.756625176025157
0.01,3,0.2,0.1,0.05,0.0007931629660904563,0.005443185681696097,-2.7787620283446457,2,-4.778762028344646
0.01,4,0.2,0.1,0.05,0.0009731547428455589,0.013536536259030698,-3.7980455893920064,1,-4.798045589392006
1.0,1,0.2,0.1,0.05,1.2128914467786696e-05,1.897776972858616e-05,-0.6458600208020323,4,-4.645860020802032
1.0,2,0.2,0.1,0.05,0.0001376342615504056,0.00042137170341328603,-1.6142537878968624,3,-4.614253787896862
1.0,3,0.2,0.1,0.05,0.0005080564197390647,0.0031726576881742252,-2.6426312485147068,2,-4.642631248514707
1.0,4,0.2,0.1,0.05,0.0006029171410259853,0.007873476218412633,-3.706969089550686,1,-4.706969089550686
2.0,1,0.2,0.1,0.05,1.6795218204748152e-05,3.795554011014068e-05,-1.1762599420238216,4,-5.176259942023822
2.0,2,0.2,0.1,0.05,0.0001989157022017145,0.0008977368225242138,-2.174135405837381,3,-5.174135405837381
2.0,3,0.2,0.1,0.05,0.0007861736347259172,0.006954111088686537,-3.14494622645067,2,-5.14494622645067
2.0,4,0.2,0.1,0.05,0.0009959523864031497,0.01718327358517512,-4.108784327370485,1,-5.108784327370485
3.0,1,0.2,0.1,0.05,2.171808785815621e-05,3.2964900032217576e-05,-0.6020336178625695,4,-4.60203361786257
3.0,2,0.2,0.1,0.05,0.0002590195829968042,0.0006813268164963803,-1.395285815245986,3,-4.395285815245986
3.0,3,0.2,0.1,0.05,0.001011401584415684,0.004645625930523042,-2.1995170482368196,2,-4.199517048236819
3.0,4,0.2,0.1,0.05,0.0012567550504892216,0.010609981345861186,-3.077646727874362,1,-4.077646727874362
4.0,1,0.2,0.1,0.05,2.990665542899716e-05,9.432044136918902e-05,-1.6571038917754772,4,-5.657103891775478
4.0,2,0.2,0.1,0.05,0.0003597794284566425,0.0021097141406332307,-2.5518629283729806,3,-5.55186292837298
4.0,3,0.2,0.1,0.05,0.001409896564577896,0.015354010350030861,-3.444954295747297,2,-5.444954295747297
4.0,4,0.2,0.1,0.05,0.0017514506791833587,0.036064222594689395,-4.363946057655694,1,-5.363946057655694
