nbar,rate_power,sector,mode,coarse_step_size,fine_step_size,fine_maximum_stencil_multiplier,absolute_coefficient_change,fine_absolute_coefficient,relative_coefficient_change,relative_converged,coefficient_rtol
0.01,1,H,IX,0.2,0.1,0.4,5.221009766770455e-07,3.738294876343695e-07,1.396628660785838,False,0.05
0.01,1,H,IY,0.2,0.1,0.4,3.2317844349582183e-07,3.0831024037735266e-07,1.0482248111521415,False,0.05
0.01,1,H,IZ,0.2,0.1,0.4,4.534489606607461e-09,3.065216514589657e-09,1.479337457900424,False,0.05
0.01,1,H,XI,0.2,0.1,0.4,4.393382559368997e-07,2.238437920143817e-07,1.9627002025978577,False,0.05
0.01,1,H,XX,0.2,0.1,0.4,9.968876496270332e-07,8.048958507705457e-06,0.12385299895293152,False,0.05
0.01,1,H,XY,0.2,0.1,0.4,1.9538858714300758e-07,1.6224516296566196e-07,1.2042798908239882,False,0.05
0.01,1,H,XZ,0.2,0.1,0.4,1.452615731751491e-07,3.925209918437959e-08,3.7007338764943323,False,0.05
0.01,1,H,YI,0.2,0.1,0.4,9.843840060345997e-08,1.1704968760849268e-07,0.8409966964859944,False,0.05
0.01,1,H,YX,0.2,0.1,0.4,7.381454663996293e-07,5.133615345128851e-07,1.4378667211598464,False,0.05
0.01,1,H,YY,0.2,0.1,0.4,2.9420677476252784e-07,8.054225187340835e-08,3.6528252925550806,False,0.05
0.01,1,H,YZ,0.2,0.1,0.4,7.267081038674612e-09,9.075132896669828e-09,0.8007685530799564,False,0.05
0.01,1,H,ZI,0.2,0.1,0.4,9.795773795682376e-09,7.438827006955066e-09,1.3168438769343125,False,0.05
0.01,1,H,ZX,0.2,0.1,0.4,1.5250820659609132e-07,4.185358556165331e-08,3.6438504503141287,False,0.05
0.01,1,H,ZY,0.2,0.1,0.4,3.3526233307080543e-07,2.906311326423388e-07,1.1535664814113065,False,0.05
0.01,1,H,ZZ,0.2,0.1,0.4,1.073456610773421e-15,4.566487056054267e-15,0.23507273700693576,False,0.05
0.01,1,S,IX,0.2,0.1,0.4,4.544849677967351e-07,0.0002216558707956139,0.002050407986783305,True,0.05
0.01,1,S,IY,0.2,0.1,0.4,2.098370269303356e-07,1.2094070430849558e-07,1.735040556693661,False,0.05
0.01,1,S,IZ,0.2,0.1,0.4,2.6451275744477634e-08,4.510569086380663e-08,0.5864287906451837,False,0.05
0.01,1,S,XI,0.2,0.1,0.4,7.219074077274845e-07,0.00022240562045972658,0.0032459045155210373,True,0.05
0.01,1,S,XX,0.2,0.1,0.4,3.936409143728782e-07,0.00016145942277987713,0.002438017599688447,True,0.05
0.01,1,S,XY,0.2,0.1,0.4,9.146577924729418e-08,1.1344187014570163e-07,0.8062788380499902,False,0.05
0.01,1,S,XZ,0.2,0.1,0.4,7.269273983158495e-09,1.837568496132903e-08,0.3955920009760954,False,0.05
0.01,1,S,YI,0.2,0.1,0.4,3.628270633292347e-08,1.5021336621616477e-08,2.4154113077201655,False,0.05
0.01,1,S,YX,0.2,0.1,0.4,2.2861553181075488e-07,2.0212023357245638e-07,1.1310868178311324,False,0.05
0.01,1,S,YY,0.2,0.1,0.4,1.3332636761565202e-07,1.1193960124079253e-07,1.1910563030223287,False,0.05
0.01,1,S,YZ,0.2,0.1,0.4,2.8970406425050097e-08,2.3590929409120828e-08,1.2280315846246157,False,0.05
0.01,1,S,ZI,0.2,0.1,0.4,8.029772957197977e-08,1.2501780609574614e-07,0.6422903431090684,False,0.05
0.01,1,S,ZX,0.2,0.1,0.4,2.1967115145583486e-07,1.4660017964153716e-07,1.4984371232898137,False,0.05
0.01,1,S,ZY,0.2,0.1,0.4,2.179079907820914e-07,1.3284597883883404e-07,1.6403055078276236,False,0.05
0.01,1,S,ZZ,0.2,0.1,0.4,2.560487309211459e-07,1.7057665775747364e-07,1.5010771947777093,False,0.05
