nbar,step_size,maximum_stencil_multiplier,rate_power,sector,mode,coefficient_per_multiplier_power,coefficient_per_rate_s_power
0.01,0.2,0.8,1,H,IX,1.48271489042676e-07,8.237304946815333e-09
0.01,0.2,0.8,1,H,IY,1.486820311846918e-08,8.260112843593988e-10
0.01,0.2,0.8,1,H,IZ,-1.4692730920178039e-09,-8.162628288987799e-11
0.01,0.2,0.8,1,H,XI,2.1549446392251798e-07,1.197191466236211e-08
0.01,0.2,0.8,1,H,XX,-9.04584615733249e-06,-5.025470087406939e-07
0.01,0.2,0.8,1,H,XY,-3.3143424177345615e-08,-1.8413013431858675e-09
0.01,0.2,0.8,1,H,XZ,-1.0600947399076953e-07,-5.889415221709419e-09
0.01,0.2,0.8,1,H,YI,-1.8611287005032702e-08,-1.0339603891684834e-09
0.01,0.2,0.8,1,H,YX,2.2478393188674426e-07,1.2487996215930236e-08
0.01,0.2,0.8,1,H,YY,-2.136645228891195e-07,-1.187025127161775e-08
0.01,0.2,0.8,1,H,YZ,-1.8080518579952163e-09,-1.0044732544417868e-10
0.01,0.2,0.8,1,H,ZI,2.3569467887273104e-09,1.3094148826262837e-10
0.01,0.2,0.8,1,H,ZX,-1.10654621034438e-07,-6.1474789463576665e-09
0.01,0.2,0.8,1,H,ZY,-4.463120042846663e-08,-2.479511134914813e-09
0.01,0.2,0.8,1,H,ZZ,-3.493030445280846e-15,-1.9405724696004701e-16
0.01,0.2,0.8,1,S,IX,0.00022211035576341065,1.233946420907837e-05
0.01,0.2,0.8,1,S,IY,8.889632262184003e-08,4.938684590102224e-09
0.01,0.2,0.8,1,S,IZ,7.155696660828426e-08,3.97538703379357e-09
0.01,0.2,0.8,1,S,XI,0.0002216837130519991,1.2315761836222172e-05
0.01,0.2,0.8,1,S,XX,0.00016106578186550426,8.948098992528015e-06
0.01,0.2,0.8,1,S,XY,2.1976090898407448e-08,1.2208939388004137e-09
0.01,0.2,0.8,1,S,XZ,1.1106410978170534e-08,6.170228321205852e-10
0.01,0.2,0.8,1,S,YI,-2.126136971130699e-08,-1.1811872061837217e-09
0.01,0.2,0.8,1,S,YX,-2.64952982382985e-08,-1.4719610132388055e-09
0.01,0.2,0.8,1,S,YY,2.138676637485949e-08,1.188153687492194e-09
0.01,0.2,0.8,1,S,YZ,-5.37947701592927e-09,-2.9885983421829274e-10
0.01,0.2,0.8,1,S,ZI,4.4720076523766374e-08,2.4844486957647985e-09
0.01,0.2,0.8,1,S,ZX,7.30709718142977e-08,4.05949843412765e-09
0.01,0.2,0.8,1,S,ZY,8.506201194325736e-08,4.7256673301809646e-09
0.01,0.2,0.8,1,S,ZZ,8.547207316367227e-08,4.748448509092904e-09
0.01,0.2,0.8,1,C,"IX,IY",2.8136366638718934e-08,1.5631314799288297e-09
0.01,0.2,0.8,1,C,"IX,IZ",-4.894015498157631e-08,-2.718897498976462e-09
0.01,0.2,0.8,1,C,"IX,XI",0.00022186378186050474,1.232576565891693e-05
0.01,0.2,0.8,1,C,"IX,XX",2.5554365209581113e-08,1.4196869560878396e-09
0.01,0.2,0.8,1,C,"IX,XY",2.774521867129614e-08,1.5414010372942301e-09
0.01,0.2,0.8,1,C,"IX,XZ",3.056547436303974e-08,1.6980819090577633e-09
0.01,0.2,0.8,1,C,"IX,YI",-1.5197845333041915e-08,-8.443247407245508e-10
0.01,0.2,0.8,1,C,"IX,YX",-3.093889943329495e-08,-1.7188277462941637e-09
0.01,0.2,0.8,1,C,"IX,YY",2.3298933001399657e-08,1.2943851667444255e-09
0.01,0.2,0.8,1,C,"IX,YZ",4.8159784767663525e-09,2.675543598203529e-10
0.01,0.2,0.8,1,C,"IX,ZI",1.0496999937305232e-07,5.83166663183624e-09
0.01,0.2,0.8,1,C,"IX,ZX",5.237491186887668e-08,2.9097173260487047e-09
0.01,0.2,0.8,1,C,"IX,ZY",8.378869080249099e-09,4.654927266805055e-10
0.01,0.2,0.8,1,C,"IX,ZZ",3.4612851403292976e-08,1.922936189071832e-09
0.01,0.2,0.8,1,C,"IY,IZ",6.420075343339045e-08,3.5667085240772473e-09
0.01,0.2,0.8,1,C,"IY,XI",2.02082392938942e-09,1.1226799607719e-10
0.01,0.2,0.8,1,C,"IY,XX",-1.0722870244578806e-07,-5.957150135877114e-09
0.01,0.2,0.8,1,C,"IY,XY",-2.5652211164529372e-08,-1.425122842473854e-09
0.01,0.2,0.8,1,C,"IY,XZ",6.217443806118864e-08,3.454135447843813e-09
0.01,0.2,0.8,1,C,"IY,YI",-2.2969233620791433e-09,-1.276068534488413e-10
0.01,0.2,0.8,1,C,"IY,YX",4.6831330296745854e-08,2.6017405720414363e-09
0.01,0.2,0.8,1,C,"IY,YY",1.3049362205944755e-08,7.249645669969309e-10
0.01,0.2,0.8,1,C,"IY,YZ",-3.0847936496214445e-08,-1.7137742497896915e-09
0.01,0.2,0.8,1,C,"IY,ZI",-1.3421599349396777e-08,-7.45644408299821e-10
0.01,0.2,0.8,1,C,"IY,ZX",1.3577561851087687e-08,7.543089917270938e-10
0.01,0.2,0.8,1,C,"IY,ZY",-5.868338778212034e-08,-3.2601882101177965e-09
0.01,0.2,0.8,1,C,"IY,ZZ",-8.749176065689064e-09,-4.860653369827257e-10
0.01,0.2,0.8,1,C,"IZ,XI",-1.5366116676103688e-08,-8.536731486724271e-10
0.01,0.2,0.8,1,C,"IZ,XX",3.510072382757403e-08,1.9500402126430016e-09
0.01,0.2,0.8,1,C,"IZ,XY",-5.711147716506414e-08,-3.1728598425035633e-09
