nbar,rate_multiplier,rate_s^-1,response_frobenius_norm
0.01,0.05,0.9,0.00016593133099607676
0.01,0.1,1.8,0.00033179833071733986
0.01,0.15000000000000002,2.7,0.0004976436159693753
0.01,0.2,3.6,0.0006635345544515916
0.01,0.30000000000000004,5.4,0.0009952430852034648
0.01,0.4,7.2,0.0013268232789333222
0.01,0.6000000000000001,10.8,0.0019897722571731533
0.01,0.8,14.4,0.002652455796937926
1.0,0.05,0.9,0.0004258846833337926
1.0,0.1,1.8,0.0008516484147306671
1.0,0.15000000000000002,2.7,0.0012772987356579827
1.0,0.2,3.6,0.0017028527156966221
1.0,0.30000000000000004,5.4,0.0025536079733359095
1.0,0.4,7.2,0.0034039197545772735
1.0,0.6000000000000001,10.8,0.0051032042739417175
1.0,0.8,14.4,0.006800756961689265
2.0,0.05,0.9,0.0006799152220673278
2.0,0.1,1.8,0.0013595566937846272
2.0,0.15000000000000002,2.7,0.0020389664546188414
2.0,0.2,3.6,0.0027180682265108003
2.0,0.30000000000000004,5.4,0.004075488015265412
2.0,0.4,7.2,0.0054317436520773905
2.0,0.6000000000000001,10.8,0.008141145896865635
2.0,0.8,14.4,0.010846198017500986
3.0,0.05,0.9,0.0009237430805956504
3.0,0.1,1.8,0.0018469896705142325
3.0,0.15000000000000002,2.7,0.002769737840047656
3.0,0.2,3.6,0.0036921171073537582
3.0,0.30000000000000004,5.4,0.005535188865811271
3.0,0.4,7.2,0.0073763157491269025
3.0,0.6000000000000001,10.8,0.011052899972266205
3.0,0.8,14.4,0.014721723628865717
4.0,0.05,0.9,0.0011573468292432926
4.0,0.1,1.8,0.0023139098805754583
4.0,0.15000000000000002,2.7,0.003469672976074249
4.0,0.2,3.6,0.004624770365412775
4.0,0.30000000000000004,5.4,0.006932780359810113
4.0,0.4,7.2,0.009237704850800634
4.0,0.6000000000000001,10.8,0.01383902277298424
4.0,0.8,14.4,0.018428544728491134
