nbar,polynomial_degree,rate_multiplier,rate_s^-1,finest_step_size,in_finest_fit_stencil,actual_response_frobenius,residual_frobenius,relative_residual
0.01,2,0.05,0.9,0.05,True,0.00016593133099607676,5.882687630303285e-07,0.003545254289825695
0.01,2,0.1,1.8,0.05,True,0.00033179833071733986,4.0352695584530526e-06,0.012161813923924507
0.01,2,0.15000000000000002,2.7,0.05,True,0.0004976436159693753,1.1357614461101949e-05,0.02282278742585314
0.01,2,0.2,3.6,0.05,True,0.0006635345544515916,2.1572940591665034e-05,0.03251215848057073
0.01,2,0.30000000000000004,5.4,0.05,False,0.0009952430852034648,5.2689570734560974e-05,0.05294140850402318
0.01,2,0.4,7.2,0.05,False,0.0013268232789333222,9.750401433868766e-05,0.07348681311732366
0.01,2,0.6000000000000001,10.8,0.05,False,0.0019897722571731533,0.00022763602801407373,0.1144030565274207
0.01,2,0.8,14.4,0.05,False,0.002652455796937926,0.0004120715757278071,0.15535473812740433
0.01,3,0.05,0.9,0.05,True,0.00016593133099607676,8.411987229562754e-08,0.0005069559304482192
0.01,3,0.1,1.8,0.05,True,0.00033179833071733986,1.345917956729981e-06,0.004056433779579721
0.01,3,0.15000000000000002,2.7,0.05,True,0.0004976436159693753,6.813709655945521e-06,0.01369194627901111
0.01,3,0.2,3.6,0.05,True,0.0006635345544515916,2.1534687307679656e-05,0.032454507701528794
0.01,3,0.30000000000000004,5.4,0.05,False,0.0009952430852034648,9.273979266221338e-05,0.09318305652257199
0.01,3,0.4,7.2,0.05,False,0.0013268232789333222,0.0002470661196555832,0.18620876161760438
0.01,3,0.6000000000000001,10.8,0.05,False,0.0019897722571731533,0.0009348514995964511,0.4698283917801648
0.01,3,0.8,14.4,0.05,False,0.002652455796937926,0.0023429056563521746,0.8832967769177886
0.01,4,0.05,0.9,0.05,True,0.00016593133099607676,1.9100329276145632e-19,1.1510984189355557e-15
0.01,4,0.1,1.8,0.05,True,0.00033179833071733986,2.1989763271091147e-19,6.627448433375122e-16
0.01,4,0.15000000000000002,2.7,0.05,True,0.0004976436159693753,3.587214184387014e-19,7.208399885527255e-16
0.01,4,0.2,3.6,0.05,True,0.0006635345544515916,4.497435444350351e-19,6.777997338913965e-16
0.01,4,0.30000000000000004,5.4,0.05,False,0.0009952430852034648,1.6477566625934986e-05,0.016556323646866995
0.01,4,0.4,7.2,0.05,False,0.0013268232789333222,9.804093602541822e-05,0.07389148018584406
0.01,4,0.6000000000000001,10.8,0.05,False,0.0019897722571731533,0.0008115346340090599,0.40785302492959563
0.01,4,0.8,14.4,0.05,False,0.002652455796937926,0.0031751227460146713,1.1970502014322455
1.0,2,0.05,0.9,0.05,True,0.0004258846833337926,3.305992230806961e-07,0.0007762646463187892
1.0,2,0.1,1.8,0.05,True,0.0008516484147306671,2.2655252234843845e-06,0.00266016490408293
1.0,2,0.15000000000000002,2.7,0.05,True,0.0012772987356579827,6.375561160552568e-06,0.004991440907728047
1.0,2,0.2,3.6,0.05,True,0.0017028527156966221,1.213974293289565e-05,0.007129062203086301
1.0,2,0.30000000000000004,5.4,0.05,False,0.0025536079733359095,2.9535072135628953e-05,0.011566016571073659
1.0,2,0.4,7.2,0.05,False,0.0034039197545772735,5.471924797343864e-05,0.016075363674439534
1.0,2,0.6000000000000001,10.8,0.05,False,0.0051032042739417175,0.0001275248502714516,0.024989172180041173
1.0,2,0.8,14.4,0.05,False,0.006800756961689265,0.0002307301788034757,0.03392713195064153
1.0,3,0.05,0.9,0.05,True,0.0004258846833337926,4.827124527052521e-08,0.00011334346399279167
1.0,3,0.1,1.8,0.05,True,0.0008516484147306671,7.723399243284245e-07,0.0009068764891351042
1.0,3,0.15000000000000002,2.7,0.05,True,0.0012772987356579827,3.909970866912636e-06,0.0030611248236290384
1.0,3,0.2,3.6,0.05,True,0.0017028527156966221,1.2357438789254716e-05,0.007256904061840367
1.0,3,0.30000000000000004,5.4,0.05,False,0.0025536079733359095,5.288826490678092e-05,0.02071119195233803
1.0,3,0.4,7.2,0.05,False,0.0034039197545772735,0.00014030778800058983,0.04121947581517367
1.0,3,0.6000000000000001,10.8,0.05,False,0.0051032042739417175,0.0005292821670163791,0.10371565365686632
1.0,3,0.8,14.4,0.05,False,0.006800756961689265,0.001324355075515361,0.19473642169185817
1.0,4,0.05,0.9,0.05,True,0.0004258846833337926,5.12271889954521e-19,1.2028417785408388e-15
1.0,4,0.1,1.8,0.05,True,0.0008516484147306671,5.714999421964736e-19,6.710514953253448e-16
1.0,4,0.15000000000000002,2.7,0.05,True,0.0012772987356579827,7.700606571369954e-19,6.028821885119218e-16
1.0,4,0.2,3.6,0.05,True,0.0017028527156966221,1.1391514073085608e-18,6.689664918216629e-16
1.0,4,0.30000000000000004,5.4,0.05,False,0.0025536079733359095,1.0206200897791333e-05,0.00399677671919956
1.0,4,0.4,7.2,0.05,False,0.0034039197545772735,5.897144900361398e-05,0.017324570864020717
1.0,4,0.6000000000000001,10.8,0.05,False,0.0051032042739417175,0.0004778880042938454,0.09364469432157856
1.0,4,0.8,14.4,0.05,False,0.006800756961689265,0.0018548324703380125,0.2727391201871863
2.0,2,0.05,0.9,0.05,True,0.0006799152220673278,7.506498390162856e-07,0.0011040344658469104
2.0,2,0.1,1.8,0.05,True,0.0013595566937846272,5.148465555202742e-06,0.003786870807771059
2.0,2,0.15000000000000002,2.7,0.05,True,0.0020389664546188414,1.4489024442036062e-05,0.007106063176868007
2.0,2,0.2,3.6,0.05,True,0.0027180682265108003,2.7519309759186256e-05,0.01012458388305909
2.0,2,0.30000000000000004,5.4,0.05,False,0.004075488015265412,6.671870221263005e-05,0.01637072712831547
2.0,2,0.4,7.2,0.05,False,0.0054317436520773905,0.00012230059780404587,0.022515900167209023
2.0,2,0.6000000000000001,10.8,0.05,False,0.008141145896865635,0.0002841550537457566,0.03490356976100344
2.0,2,0.8,14.4,0.05,False,0.010846198017500986,0.0005129244256270506,0.04729071189733181
2.0,3,0.05,0.9,0.05,True,0.0006799152220673278,1.0750165727110076e-07,0.0001581103846215338
2.0,3,0.1,1.8,0.05,True,0.0013595566937846272,1.7200265163378203e-06,0.0012651377645383404
2.0,3,0.15000000000000002,2.7,0.05,True,0.0020389664546188414,8.707634238960308e-06,0.00427061181866677
2.0,3,0.2,3.6,0.05,True,0.0027180682265108003,2.7520424261405366e-05,0.01012499391773307
