nbar,polynomial_degree,sector,mode,rate_power,coefficient_per_nominal_multiplier_power,coefficient_per_rate_s_power
0.01,2,H,IX,1,-7.897156707117216e-09,-4.3873092817317865e-10
0.01,2,H,IX,2,1.5763011032597147e-09,4.8651268619126994e-12
0.01,2,H,IY,1,-2.655840085033872e-09,-1.4754667139077066e-10
0.01,2,H,IY,2,6.362652427207785e-11,1.9637816133357362e-13
0.01,2,H,IZ,1,-1.9282690158184785e-11,-1.0712605643435991e-12
0.01,2,H,IZ,2,8.504126296580006e-12,2.6247303384506193e-14
0.01,2,H,XI,1,4.4225056519997e-09,2.456947584444278e-10
0.01,2,H,XI,2,-1.1683632510670128e-09,-3.6060594168734963e-12
0.01,2,H,XX,1,-8.516927129245896e-06,-4.731626182914387e-07
0.01,2,H,XX,2,2.9191133604599775e-07,9.009609137222153e-10
0.01,2,H,XY,1,8.427504019680878e-10,4.6819466776004875e-11
0.01,2,H,XY,2,3.052893162688165e-11,9.422509761383226e-14
0.01,2,H,XZ,1,3.1073638246981435e-09,1.7263132359434131e-10
0.01,2,H,XZ,2,-2.3023234817221787e-10,-7.105936671982033e-13
0.01,2,H,YI,1,3.137592323350232e-09,1.7431068463056846e-10
0.01,2,H,YI,2,-9.530769563251433e-10,-2.9415955442134053e-12
0.01,2,H,YX,1,-1.3354203136513205e-09,-7.419001742507336e-11
0.01,2,H,YX,2,-8.590488699415499e-11,-2.6513854010541666e-13
0.01,2,H,YY,1,6.4747991053102586e-09,3.5971106140612547e-10
0.01,2,H,YY,2,-5.018560437021373e-10,-1.5489384064880781e-12
0.01,2,H,YZ,1,4.6055981313424337e-10,2.558665628523574e-11
0.01,2,H,YZ,2,1.5603736844378888e-10,4.815968161845335e-13
0.01,2,H,ZI,1,-5.7185308423249544e-11,-3.176961579069419e-12
0.01,2,H,ZI,2,-2.41720113290242e-12,-7.460497323772902e-15
0.01,2,H,ZX,1,3.3301097914275767e-09,1.8500609952375427e-10
0.01,2,H,ZX,2,-2.800302087526498e-10,-8.64290767755092e-13
0.01,2,H,ZY,1,4.451306849914975e-09,2.4729482499527635e-10
0.01,2,H,ZY,2,-3.930911825559801e-10,-1.2132443906048769e-12
0.01,2,H,ZZ,1,-2.657442066055535e-15,-1.4763567033641862e-16
0.01,2,H,ZZ,2,4.2952969647939627e-16,1.3257089397512231e-18
0.01,2,S,IX,1,0.00022198680668134607,1.2332600371185893e-05
0.01,2,S,IX,2,-2.809635500209766e-07,-8.671714506820266e-10
0.01,2,S,IY,1,3.1349485136555206e-10,1.7416380631419558e-11
0.01,2,S,IY,2,-1.219033831081219e-10,-3.7624500959296884e-13
0.01,2,S,IZ,1,5.841624570926749e-11,3.245346983848194e-12
0.01,2,S,IZ,2,3.246359253222156e-10,1.001962732475974e-12
0.01,2,S,XI,1,0.00022198338927634467,1.2332410515352482e-05
0.01,2,S,XI,2,-2.796842215482697e-07,-8.63222906013178e-10
0.01,2,S,XX,1,0.00016135027295089552,8.963904052827529e-06
0.01,2,S,XX,2,-3.2199589251208533e-08,-9.938144830619917e-11
0.01,2,S,XY,1,-1.5956616010805063e-09,-8.86478667266948e-11
0.01,2,S,XY,2,3.823528140449082e-10,1.1801012779163833e-12
0.01,2,S,XZ,1,-4.568106905687514e-10,-2.537837169826397e-11
0.01,2,S,XZ,2,1.4878787257030815e-10,4.592218289207042e-13
0.01,2,S,YI,1,-3.4931298240492004e-10,-1.9406276800273335e-11
0.01,2,S,YI,2,1.090796112861271e-10,3.3666546693249106e-13
0.01,2,S,YX,1,5.838957822875412e-10,3.243865457153007e-11
0.01,2,S,YX,2,-5.70569079928482e-11,-1.7610156787916112e-13
0.01,2,S,YY,1,-4.63141014991747e-10,-2.5730056388430388e-11
0.01,2,S,YY,2,-4.5988305171908156e-11,-1.419392134935437e-13
0.01,2,S,YZ,1,-2.671786818106265e-10,-1.4843260100590363e-11
0.01,2,S,YZ,2,3.9089612319820666e-11,1.2064695160438478e-13
0.01,2,S,ZI,1,1.5669273006380543e-09,8.705151670211413e-11
0.01,2,S,ZI,2,5.743756961383774e-12,1.7727644942542513e-14
