dataset,nbar,rate_multiplier,rate_s^-1,response_frobenius_norm
training,0.01,0.0,0.0,0.0
training,0.01,0.5,9.0,0.0016583206733549202
training,0.01,1.0,18.0,0.003314867337826044
training,0.01,2.0,36.0,0.006622583804674527
training,0.01,4.0,72.0,0.01321657567487982
validation,0.01,0.25,4.5,0.0008293864461190718
validation,0.01,0.75,13.5,0.002486828582568929
validation,0.01,1.5,27.0,0.0049696398103051785
validation,0.01,3.0,54.0,0.00992315873006895
training,1.0,0.0,0.0,0.0
training,1.0,0.5,9.0,0.004253768409439644
training,1.0,1.0,18.0,0.008496527414158904
training,1.0,2.0,36.0,0.016949181884526873
training,1.0,4.0,72.0,0.03372461165624643
validation,1.0,0.25,4.5,0.0021282774058722686
validation,1.0,0.75,13.5,0.006376551984313203
validation,1.0,1.5,27.0,0.01272831652708786
validation,1.0,3.0,54.0,0.025358372351342653
training,2.0,0.0,0.0,0.0
training,2.0,0.5,9.0,0.006786993957232444
training,2.0,1.0,18.0,0.013546885499408384
training,2.0,2.0,36.0,0.02698630790007174
training,2.0,4.0,72.0,0.05354960185936898
validation,2.0,0.25,4.5,0.003396907104902527
validation,2.0,0.75,13.5,0.010170324813747146
validation,2.0,1.5,27.0,0.020279899106681258
validation,2.0,3.0,54.0,0.040319925480854606
training,3.0,0.0,0.0,0.0
training,3.0,0.5,9.0,0.00921566099700697
training,3.0,1.0,18.0,0.018382917974553496
training,3.0,2.0,36.0,0.03657464815603356
training,3.0,4.0,72.0,0.0724012130693314
validation,3.0,0.25,4.5,0.004613859472252852
validation,3.0,0.75,13.5,0.013805238623510458
validation,3.0,1.5,27.0,0.027502427706903896
validation,3.0,3.0,54.0,0.05457941058283748
training,4.0,0.0,0.0,0.0
training,4.0,0.5,9.0,0.011539836893212505
training,4.0,1.0,18.0,0.02300645190580616
training,4.0,2.0,36.0,0.045723884511019115
training,4.0,4.0,72.0,0.09032119004398202
validation,4.0,0.25,4.5,0.005779105037867034
validation,4.0,0.75,13.5,0.017282204988172095
validation,4.0,1.5,27.0,0.03440081728391074
validation,4.0,3.0,54.0,0.0681595344349161
