context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,IY",5.988852042692051e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,IZ",5.601921232378375e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XI",1.3750210934910705e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XX",4.064003621916747e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XY",-1.953490027193237e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XZ",-8.316919632645224e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YI",6.8199224026145054e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YX",5.881236656635036e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YY",-1.303512080053856e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YZ",-5.234225132017182e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZI",2.1226875384702585e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZX",-1.2478293670911434e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZY",-1.237574370799983e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZZ",-8.780379955815595e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,IZ",-4.2432761873837427e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XI",-6.559714341028153e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XX",2.206036760908513e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XY",4.111278094428297e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XZ",-6.017477206354382e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YI",-4.064986654872362e-11
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YX",-1.1143764140590764e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YY",-1.588859569951436e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YZ",-9.921382614513156e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZI",-1.434570398633224e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZX",-6.863900773724088e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZY",1.012326528488147e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZZ",2.2671898130809563e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XI",-3.4523282380871157e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XX",2.0834140163816966e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XY",-2.725835589146783e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XZ",9.937126828910866e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,YI",1.5743697245301094e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,YX",-1.2898908724769232e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,YY",2.588808453887506e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,YZ",1.1833737135486838e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,ZI",-7.215508337113615e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,ZX",1.82795473545868e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,ZY",-3.6024351610117864e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,ZZ",-1.1737081229066864e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,XX",-4.7562261573497444e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,XY",-2.9347908522113352e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,XZ",-1.1453706590353922e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,YI",5.7365271684593354e-09
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,YX",-6.023854481632997e-10
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,"XI,YY",-1.9545445862666036e-09
