context,noise_source,noise_title,nominal_rate_s^-1,nbar,infidelity_value,infidelity_value_meaning,generator_frobenius_norm,H_sector_frobenius_norm,S_sector_frobenius_norm,C_sector_frobenius_norm,A_sector_frobenius_norm,taxonomy_reconstruction_residual_norm,taxonomy_reconstruction_residual_fraction,dominant_taxonomy_sector,dominant_taxonomy_mode,dominant_taxonomy_coefficient_per_gate,stochastic_matrix_min_eigenvalue_per_gate,stochastic_matrix_max_eigenvalue_per_gate,stochastic_matrix_negative_eigenvalue_abs_sum_per_gate
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,0.00048309344986927625,infidelity_increment_vs_noise_free,0.003314867337826044,4.647148970827629e-05,0.0028000835761524527,0.0017736209863566028,1.8443794985791446e-07,1.4770731393372913e-15,4.455904230260947e-13,S,IX,0.00022170394046858497,-8.367837945061528e-09,0.00044340601974533246,1.369839393636208e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,0.0011381529400061653,infidelity_increment_vs_noise_free,0.008496527414158904,0.0002318640571129465,0.006791922328101654,0.005099706404848186,1.3243534881655948e-07,1.7267284022966033e-15,2.0322754439880038e-13,S,XI,0.0006374656525959823,-9.190383762025238e-09,0.0012749252566766787,2.2325003905207426e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,0.0017614912747564663,infidelity_increment_vs_noise_free,0.013546885499408384,0.0005267000015768535,0.010685547573460574,0.008310217395570365,3.011334109060257e-07,1.4571814071818708e-15,1.0756578751961168e-13,S,XI,0.001038785241768517,-1.5056429806102876e-08,0.00207755393459923,3.361888975726747e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,3.0,0.0023454474533844303,infidelity_increment_vs_noise_free,0.018382917974553496,0.0009087075455701291,0.014408217529196896,0.01138020718629619,2.2284011775361893e-07,1.5752253279438203e-15,8.568962392827524e-14,S,IX,0.0014225386881565579,-6.424590426950039e-09,0.0028450499167216167,1.2407790734296965e-08
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,4.0,0.0028894567772486997,infidelity_increment_vs_noise_free,0.02300645190580616,0.001360159894686503,0.01795918877165437,0.014314808272232249,5.240367188187584e-07,3.675881860541751e-15,1.5977613043470058e-13,S,IX,0.001789360518638585,-1.2288519323355374e-08,0.003578702817172574,3.585599954640133e-08
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,0.01,0.00038997824737974085,infidelity_increment_vs_noise_free,0.0030848172967324447,4.378687113408891e-05,0.002389456241710984,0.0019505646805299476,1.961563005279069e-07,2.89775830354226e-15,9.39361402897888e-13,S,XI,0.0002438235115462131,-1.1175092967641264e-08,0.0004876435614862609,2.3792877058135276e-08
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,1.0,0.0003821717584036044,infidelity_increment_vs_noise_free,0.00302575739839068,4.504864529002989e-05,0.0023439223334417733,0.001912910234352844,1.0785976613819247e-07,1.6858919779685456e-15,5.571801555753369e-13,S,XI,0.00023911633312330367,-1.0780133698516e-08,0.0004782279299375848,2.3193767233588553e-08
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,2.0,0.00037428214746721995,infidelity_increment_vs_noise_free,0.0029678772048247907,4.7534832064480836e-05,0.002299368604734373,0.0018758842956695676,2.2563483448412542e-07,1.1302663346947745e-15,3.8083325444103074e-13,S,XI,0.00023449272748801638,-2.256734676513966e-08,0.0004689713218593802,4.15822665048166e-08
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,3.0,0.00036633994327877045,infidelity_increment_vs_noise_free,0.002911295411036848,5.156286665745947e-05,0.002255758249748143,0.001839708402765895,4.441637419953249e-07,2.7760896093356377e-15,9.535581991478297e-13,S,XI,0.00022998105812318392,-2.250869804580944e-08,0.00045993512840205886,5.5090525119380874e-08
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,4.0,0.0003584658858713386,infidelity_increment_vs_noise_free,0.0028564455667475213,5.600963605091863e-05,0.0022134705949048952,0.0018046240598462262,3.0204504606798727e-07,3.815690681873159e-15,1.3358177471653619e-12,S,XI,0.00022558000396420545,-1.4069690294465166e-08,0.00045115490096986604,4.089767021405507e-08
