context,noise_source,noise_title,nominal_rate_s^-1,nbar,sector,basis_element_count,coefficient_l1_norm,coefficient_l2_norm,coefficient_max_abs,dominant_mode,dominant_coefficient_per_gate,sector_matrix_frobenius_norm
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,A,105,2.1112588048517753e-07,3.061010946464194e-08,1.3750210934910705e-08,"IX,XI",1.3750210934910705e-08,1.8443794985791446e-07
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,C,105,0.00022188503952595725,0.0002217028372198253,0.00022170283558491986,"IX,XI",0.00022170283558491986,0.0017736209863566028
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,H,15,8.256109481293411e-06,8.215076376140757e-06,8.215065135471236e-06,XX,-8.215065135471236e-06,4.647148970827629e-05
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,0.01,S,15,0.0006047348609449459,0.00035259920938128503,0.00022170394046858497,IX,0.00022170394046858497,0.0028000835761524527
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,A,105,1.4657904147734427e-07,2.004724975348914e-08,6.473509499305807e-09,"IX,XI",-6.473509499305807e-09,1.3243534881655948e-07
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,C,105,0.0006376579793489605,0.0006374629285958617,0.0006374629281116726,"IX,XI",0.0006374629281116726,0.005099706404848186
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,H,15,4.102574207717328e-05,4.098816177449735e-05,4.098815962873692e-05,XX,-4.098815962873692e-05,0.0002318640571129465
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,1.0,S,15,0.0014304788911508352,0.0009148248492093828,0.0006374656525959823,XI,0.0006374656525959823,0.006791922328101654
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,A,105,3.124158769305206e-07,4.242928038945287e-08,1.743883822302461e-08,"XX,YX",1.743883822302461e-08,3.011334109060257e-07
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,C,105,0.0010390882933167989,0.001038777019767547,0.0010387770187239142,"IX,XI",0.0010387770187239142,0.008310217395570365
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,H,15,9.318460938529671e-05,9.31082856914896e-05,9.310828112925933e-05,XX,-9.310828112925933e-05,0.0005267000015768535
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,2.0,S,15,0.002226245317495456,0.0014765558458657293,0.001038785241768517,XI,0.001038785241768517,0.010685547573460574
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,3.0,A,105,2.7055090704512124e-07,3.3922396350407516e-08,1.0967195676506674e-08,"YY,ZZ",1.0967195676506674e-08,2.2284011775361893e-07
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,3.0,C,105,0.0014227577731228918,0.0014225251740691818,0.0014225251737642634,"IX,XI",0.0014225251737642634,0.01138020718629619
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,3.0,H,15,0.00016067410585742032,0.00016063831689700547,0.00016063831638847122,XX,-0.00016063831638847122,0.0009087075455701291
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,3.0,S,15,0.0029846577581173666,0.002016587729679848,0.0014225386881565579,IX,0.0014225386881565579,0.014408217529196896
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,4.0,A,105,6.083657165367696e-07,8.359485483732079e-08,2.6790580669557416e-08,"XX,XZ",2.6790580669557416e-08,5.240367188187584e-07
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,4.0,C,105,0.0017898264013302553,0.001789346817500814,0.0017893468162333147,"IX,XI",0.0017893468162333147,0.014314808272232249
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,4.0,H,15,0.0002405985669258277,0.00024044457125770166,0.0002404445652213621,XX,-0.0002404445652213621,0.001360159894686503
isolated_noise_response,motional_dephasing,Motional dephasing,18.0,4.0,S,15,0.003706534712807971,0.0025337550389906336,0.001789360518638585,IX,0.001789360518638585,0.01795918877165437
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,0.01,A,105,1.7655261873976909e-07,2.848857584952492e-08,1.4587575734950647e-08,"XI,XX",-1.4587575734950647e-08,1.961563005279069e-07
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,0.01,C,105,0.0002439718884186441,0.00024382173806842357,0.00024382173718629413,"IX,XI",0.00024382173718629413,0.0019505646805299476
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,0.01,H,15,7.786417539301787e-06,7.740498376463938e-06,7.740475843367532e-06,XX,7.740475843367532e-06,4.378687113408891e-05
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,0.01,S,15,0.0004878189792962609,0.0003448161646238255,0.0002438235115462131,XI,0.0002438235115462131,0.002389456241710984
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,1.0,A,105,1.1005633283848803e-07,1.7386439089597665e-08,6.73723340331795e-09,"XX,ZX",-6.73723340331795e-09,1.0785976613819247e-07
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,1.0,C,105,0.00023920949327516035,0.0002391142860515471,0.00023911428567925802,"IX,XI",0.00023911428567925802,0.001912910234352844
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,1.0,H,15,7.99626907619645e-06,7.963550641961891e-06,7.963541275391414e-06,XX,7.963541275391414e-06,4.504864529002989e-05
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,1.0,S,15,0.0004785912215722861,0.00033815793742354694,0.00023911633312330367,XI,0.00023911633312330367,0.0023439223334417733
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,2.0,A,105,2.676658091098256e-07,3.64019106940482e-08,1.224752648901893e-08,"XX,ZZ",1.224752648901893e-08,2.2563483448412542e-07
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,2.0,C,105,0.00023475028608108307,0.0002344856717507963,0.00023448566888911704,"IX,XI",0.00023448566888911704,0.0018758842956695676
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,2.0,H,15,8.474107834634804e-06,8.403050523839534e-06,8.403015461660305e-06,XX,8.403015461660305e-06,4.7534832064480836e-05
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,2.0,S,15,0.0004695815490493913,0.0003316132980539026,0.00023449272748801638,XI,0.00023449272748801638,0.002299368604734373
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,3.0,A,105,5.087457284831328e-07,7.363304792615907e-08,3.145857410975006e-08,"XX,XZ",-3.145857410975006e-08,4.441637419953249e-07
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,3.0,C,105,0.00023047206851260118,0.00022996054004767642,0.00022996052949841546,"IX,XI",0.00022996052949841546,0.001839708402765895
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,3.0,H,15,9.231946059495658e-06,9.115113167726829e-06,9.11498462689928e-06,XX,9.11498462689928e-06,5.156286665745947e-05
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,3.0,S,15,0.0004607452956910058,0.00032523399685288845,0.00022998105812318392,XI,0.00022998105812318392,0.002255758249748143
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,4.0,A,105,2.9470690181949093e-07,4.4718330571206736e-08,2.403704678966984e-08,"XX,YX",2.403704678966984e-08,3.0204504606798727e-07
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,4.0,C,105,0.00022582891744833526,0.0002255774050437805,0.0002255774022901888,"IX,XI",0.0002255774022901888,0.0018046240598462262
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,4.0,H,15,9.965805808760979e-06,9.901198365848772e-06,9.901173078002977e-06,XX,9.901173078002977e-06,5.600963605091863e-05
isolated_noise_response,motional_heating,Motional heating/diffusion,10.0,4.0,S,15,0.0004522033812917382,0.000319016400558528,0.00022558000396420545,XI,0.00022558000396420545,0.0022134705949048952
isolated_noise_response,photon_scattering,Photon scattering,4.0,0.01,A,105,3.1375550121349477e-07,4.6893935307782165e-08,1.6804012747919227e-08,"YY,ZZ",1.6804012747919227e-08,2.907880167721168e-07
isolated_noise_response,photon_scattering,Photon scattering,4.0,0.01,C,105,0.0001326354623298585,6.733259787184284e-05,3.936759116932269e-05,"IZ,XY",3.936759116932269e-05,0.0003808907128789124
isolated_noise_response,photon_scattering,Photon scattering,4.0,0.01,H,15,4.880983286787818e-08,1.9488599261433617e-08,1.3103316019683024e-08,XX,1.3103316019683024e-08,1.1024416554869481e-07
