noise_source,noise_title,nominal_rate_s^-1,nbar,pauli,pauli_weight,mode_class,delta_h_rad_per_gate,delta_gamma_per_gate,dh_drate_s,dgamma_drate_s
motional_dephasing,Motional dephasing,18.0,0.01,IX,1,local,-4.756730776436915e-09,0.0002217039404685852,-2.6426282091316193e-10,1.2316885581588068e-05
motional_dephasing,Motional dephasing,18.0,0.01,IY,1,local,-2.558185036525696e-09,5.922361396323676e-10,-1.421213909180942e-10,3.290200775735376e-11
motional_dephasing,Motional dephasing,18.0,0.01,IZ,1,local,-4.3452971728464515e-11,6.941295290193386e-10,-2.414053984914695e-12,3.856275161218548e-11
motional_dephasing,Motional dephasing,18.0,0.01,XI,1,local,4.092345285812303e-09,0.00022170242619642215,2.2735251587846127e-10,1.2316801455356786e-05
motional_dephasing,Motional dephasing,18.0,0.01,XX,2,weight2,-8.215065135471236e-06,0.00016131211799942215,-4.5639250752617974e-07,8.961784333301231e-06
motional_dephasing,Motional dephasing,18.0,0.01,XY,2,weight2,-2.9080737958104607e-09,-4.884396042323539e-10,-1.6155965532280338e-10,-2.7135533568464104e-11
motional_dephasing,Motional dephasing,18.0,0.01,XZ,2,weight2,1.4316359246788949e-09,5.32811790666877e-10,7.953532914882749e-11,2.9600655037048725e-11
motional_dephasing,Motional dephasing,18.0,0.01,YI,1,local,3.261326209239768e-09,-8.641661109746008e-12,1.8118478940220932e-10,-4.800922838747782e-13
motional_dephasing,Motional dephasing,18.0,0.01,YX,2,weight2,-4.730873667844896e-09,4.5501055089170006e-10,-2.62826314880272e-10,2.527836393842778e-11
motional_dephasing,Motional dephasing,18.0,0.01,YY,2,weight2,2.910498925039904e-09,3.3939462276395787e-09,1.616943847244391e-10,1.8855256820219881e-10
motional_dephasing,Motional dephasing,18.0,0.01,YZ,2,weight2,5.010015008555283e-09,1.5883849102174968e-09,2.7833416714196016e-10,8.824360612319427e-11
motional_dephasing,Motional dephasing,18.0,0.01,ZI,1,local,-8.8543955987791e-11,1.4113903713531416e-09,-4.919108665988389e-12,7.841057618628564e-11
motional_dephasing,Motional dephasing,18.0,0.01,ZX,2,weight2,1.555749053029728e-09,7.869780866885769e-10,8.643050294609599e-11,4.372100481603205e-11
motional_dephasing,Motional dephasing,18.0,0.01,ZY,2,weight2,7.696913405981798e-09,1.9240052156430276e-09,4.276063003323221e-10,1.0688917864683487e-10
motional_dephasing,Motional dephasing,18.0,0.01,ZZ,2,weight2,-1.805503492995084e-15,4.500306429574846e-09,-1.00305749610838e-16,2.500170238652692e-10
motional_dephasing,Motional dephasing,18.0,1.0,IX,1,local,5.896878259095766e-10,0.0006374590041953161,3.276043477275425e-11,3.5414389121962005e-05
motional_dephasing,Motional dephasing,18.0,1.0,IY,1,local,5.405526816166684e-09,-1.2431987612482927e-09,3.0030704534259354e-10,-6.906659784712737e-11
motional_dephasing,Motional dephasing,18.0,1.0,IZ,1,local,-2.7848522021927053e-10,1.0505869290070251e-10,-1.547140112329281e-11,5.836594050039029e-12
motional_dephasing,Motional dephasing,18.0,1.0,XI,1,local,-6.3319276411164485e-09,0.0006374656525959824,-3.517737578398027e-10,3.541475847755458e-05
motional_dephasing,Motional dephasing,18.0,1.0,XX,2,weight2,-4.098815962873693e-05,0.00015552512451406098,-2.2771199793742737e-06,8.64028469522561e-06
motional_dephasing,Motional dephasing,18.0,1.0,XY,2,weight2,5.669887772678088e-09,-2.5947725922299767e-09,3.149937651487827e-10,-1.4415403290166537e-10
motional_dephasing,Motional dephasing,18.0,1.0,XZ,2,weight2,5.032129269497293e-10,4.5057210081064917e-10,2.7956273719429404e-11,2.50317833783694e-11
motional_dephasing,Motional dephasing,18.0,1.0,YI,1,local,2.518160539153751e-09,2.9227197832568903e-09,1.3989780773076396e-10,1.6237332129204946e-10
motional_dephasing,Motional dephasing,18.0,1.0,YX,2,weight2,4.957869265659719e-09,-2.1318748508179955e-09,2.7543718142553994e-10,-1.1843749171211086e-10
motional_dephasing,Motional dephasing,18.0,1.0,YY,2,weight2,1.9020285546439676e-09,4.6824928550406105e-09,1.0566825303577598e-10,2.601384919467006e-10
motional_dephasing,Motional dephasing,18.0,1.0,YZ,2,weight2,-2.843844965300926e-09,4.312119657773388e-09,-1.5799138696116255e-10,2.3956220320963265e-10
motional_dephasing,Motional dephasing,18.0,1.0,ZI,1,local,1.9255862438000407e-10,-3.7522903552433593e-10,1.0697701354444671e-11,-2.0846057529129773e-11
motional_dephasing,Motional dephasing,18.0,1.0,ZX,2,weight2,8.830022813851216e-10,1.1055770837344583e-09,4.905568229917342e-11,6.142094909635879e-11
motional_dephasing,Motional dephasing,18.0,1.0,ZY,2,weight2,-5.506254986217241e-09,3.924461340671417e-09,-3.059030547898467e-10,2.1802563003730093e-10
motional_dephasing,Motional dephasing,18.0,1.0,ZZ,2,weight2,-1.0165763602060993e-15,5.26176872309092e-09,-5.647646445589441e-17,2.923204846161622e-10
motional_dephasing,Motional dephasing,18.0,2.0,IX,1,local,-2.1607420470399937e-09,0.001038768589086446,-1.200412248355552e-10,5.770936606035812e-05
motional_dephasing,Motional dephasing,18.0,2.0,IY,1,local,-6.99564693734745e-09,2.8585447446605183e-09,-3.886470520748583e-10,1.588080413700288e-10
motional_dephasing,Motional dephasing,18.0,2.0,IZ,1,local,7.579673605161262e-10,-1.3861716233756254e-10,4.210929780645146e-11,-7.70095346319792e-12
motional_dephasing,Motional dephasing,18.0,2.0,XI,1,local,6.662927074553971e-09,0.0010387852417685175,3.701626152529984e-10,5.7710291209362086e-05
motional_dephasing,Motional dephasing,18.0,2.0,XX,2,weight2,-9.310828112925933e-05,0.0001486681057393388,-5.172682284958852e-06,8.259339207741045e-06
motional_dephasing,Motional dephasing,18.0,2.0,XY,2,weight2,2.9912540595209655e-09,-1.0317595373234613e-09,1.661807810844981e-10,-5.731997429574785e-11
motional_dephasing,Motional dephasing,18.0,2.0,XZ,2,weight2,2.443028081652976e-09,8.064787049705536e-09,1.357237823140542e-10,4.480437249836409e-10
