noise_source,noise_title,nominal_rate_s^-1,nbar,infidelity_increment,delta_generator_frobenius_norm,hamiltonian_response_frobenius_norm,diagonal_pauli_response_frobenius_norm,unmodeled_response_frobenius_norm,unmodeled_response_fraction,signed_local_gamma_sum_per_gate,signed_weight2_gamma_sum_per_gate,dominant_h_pauli,dominant_h_rad_per_gate,dominant_gamma_pauli,dominant_gamma_per_gate
motional_dephasing,Motional dephasing,18.0,0.01,0.00048309344986927625,0.003314867337826044,4.647148970827629e-05,0.0028000835761524535,0.001773617161224908,0.5350492132780437,0.00044340905577938623,0.00016132481100302923,XX,-8.215065135471236e-06,IX,0.0002217039404685852
motional_dephasing,Motional dephasing,18.0,1.0,0.0011381529400061653,0.008496527414158904,0.00023186405711294653,0.006791922328101656,0.0050997066825070525,0.6002107018461127,0.0012749260661419778,0.00015554013485837904,XX,-4.098815962873693e-05,XI,0.0006374656525959824
motional_dephasing,Motional dephasing,18.0,2.0,0.0017614912747564663,0.013546885499408384,0.0005267000015768535,0.010685547573460576,0.008310220628703603,0.6134414164101797,0.002077555291054664,0.00014867263260517845,XX,-9.310828112925933e-05,XI,0.0010387852417685175
motional_dephasing,Motional dephasing,18.0,3.0,0.0023454474533844303,0.018382917974553496,0.0009087075455701291,0.0144082175291969,0.01138021052033437,0.6190644236180238,0.0028450596906189314,0.0001395960184278804,XX,-0.00016063831638847122,IX,0.0014225386881565583
motional_dephasing,Motional dephasing,18.0,4.0,0.0028894567772486997,0.02300645190580616,0.0013601598946865034,0.017959188771654373,0.014314829129931718,0.6222093345179867,0.0035787387413419055,0.00012779120402267412,XX,-0.00024044456522136215,IX,0.001789360518638587
motional_heating,Motional heating/diffusion,10.0,0.01,0.00038997824737974085,0.0030848172967324447,4.378687113408891e-05,0.0023894562417109844,0.0019505587233109316,0.6323093187324375,0.00048764755085844985,1.491622350669128e-07,XX,7.740475843367532e-06,XI,0.00024382351154621318
motional_heating,Motional heating/diffusion,10.0,1.0,0.0003821717584036044,0.00302575739839068,4.50486452900299e-05,0.0023439223334417738,0.0019129052637980634,0.6322070846841479,0.00047822187530288787,3.4102906068489814e-07,XX,7.963541275391416e-06,XI,0.00023911633312330375
motional_heating,Motional heating/diffusion,10.0,2.0,0.00037428214746721995,0.0029678772048247907,4.7534832064480836e-05,0.0022993686047343737,0.0018758836750238843,0.6320624289894189,0.00046896470853621174,5.841380508017142e-07,XX,8.403015461660305e-06,XI,0.00023449272748801643
motional_heating,Motional heating/diffusion,10.0,3.0,0.00036633994327877045,0.002911295411036848,5.156286665745947e-05,0.002255758249748143,0.0018397111077012797,0.6319218244657875,0.00045998485598935593,7.218591481278965e-07,XX,9.11498462689928e-06,XI,0.0002299810581231839
motional_heating,Motional heating/diffusion,10.0,4.0,0.0003584658858713386,0.0028564455667475213,5.600963605091863e-05,0.002213470594904896,0.0018046307439341636,0.6317749460876295,0.0004511520705008196,1.0030918400193128e-06,XX,9.901173078002977e-06,XI,0.00022558000396420545
photon_scattering,Photon scattering,4.0,0.01,0.0005595760430757047,0.0029968845688883522,1.1024416554868838e-07,0.0029725812524974585,0.0003808908037587653,0.12709558710165833,0.0003749993762884191,0.0003249715220449445,XX,1.3103316019681328e-08,IZ,0.00011335842869305951
photon_scattering,Photon scattering,4.0,1.0,0.0005588424582746222,0.002982607378582496,9.317317117329465e-08,0.0029566620169413356,0.0003925512497367688,0.13161345088716683,0.00037498847722903475,0.0003249889576075027,XX,1.273834698096651e-08,ZI,9.834989647120812e-05
photon_scattering,Photon scattering,4.0,2.0,0.00055762216802826,0.0029823301197682535,2.718324425310312e-07,0.002953931239371648,0.0004105887266454384,0.13767380207974556,0.00037496604637125353,0.00032499626999604964,XX,3.880774206242026e-08,XY,9.428166612470637e-05
