noise_source,noise_title,nominal_rate_s^-1,nbar,sector,mode,coefficient_per_gate,coefficient_per_rate_s
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,IY",5.988852042692051e-09,3.327140023717806e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,IZ",5.601921232378375e-09,3.1121784624324305e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XI",1.3750210934910705e-08,7.639006074950392e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XX",4.064003621916747e-09,2.2577797899537484e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XY",-1.953490027193237e-09,-1.0852722373295762e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,XZ",-8.316919632645224e-10,-4.620510907025124e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YI",6.8199224026145054e-09,3.788845779230281e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YX",5.881236656635036e-10,3.267353698130576e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YY",-1.303512080053856e-09,-7.241733778076978e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,YZ",-5.234225132017182e-11,-2.9079028511206566e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZI",2.1226875384702585e-09,1.179270854705699e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZX",-1.2478293670911434e-09,-6.932385372728574e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZY",-1.237574370799983e-09,-6.875413171111017e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IX,ZZ",-8.780379955815595e-10,-4.8779888643419976e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,IZ",-4.2432761873837427e-10,-2.3573756596576347e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XI",-6.559714341028153e-09,-3.6442857450156403e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XX",2.206036760908513e-09,1.2255759782825074e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XY",4.111278094428297e-11,2.2840433857934985e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,XZ",-6.017477206354382e-10,-3.343042892419101e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YI",-4.064986654872362e-11,-2.2583259193735346e-12
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YX",-1.1143764140590764e-09,-6.19098007810598e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YY",-1.588859569951436e-09,-8.826997610841312e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,YZ",-9.921382614513156e-10,-5.511879230285087e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZI",-1.434570398633224e-09,-7.969835547962355e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZX",-6.863900773724088e-10,-3.813278207624493e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZY",1.012326528488147e-09,5.624036269378594e-11
motional_dephasing,Motional dephasing,18.0,0.01,A,"IY,ZZ",2.2671898130809563e-09,1.259549896156087e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XI",-3.4523282380871157e-09,-1.9179601322706197e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XX",2.0834140163816966e-09,1.1574522313231647e-10
motional_dephasing,Motional dephasing,18.0,0.01,A,"IZ,XY",-2.725835589146783e-10,-1.514353105081546e-11
