nbar,sector,mode,coefficient_per_gate
0.01,A,"IX,IY",-3.0208561842786573e-09
0.01,A,"IX,IZ",1.3859743842179782e-09
0.01,A,"IX,XI",-8.004719128321522e-09
0.01,A,"IX,XX",-5.858031787508051e-09
0.01,A,"IX,XY",2.078847555493832e-09
0.01,A,"IX,XZ",5.750288536769372e-10
0.01,A,"IX,YI",-3.381738356483754e-09
0.01,A,"IX,YX",-8.922081063968086e-10
0.01,A,"IX,YY",1.7367396158887567e-09
0.01,A,"IX,YZ",-1.3697856634302138e-09
0.01,A,"IX,ZI",3.061856516466111e-09
0.01,A,"IX,ZX",-3.89752702470343e-11
0.01,A,"IX,ZY",2.6612545168029436e-09
0.01,A,"IX,ZZ",1.0338959187392574e-09
0.01,A,"IY,IZ",8.617333222488854e-11
0.01,A,"IY,XI",3.4599329506052722e-09
0.01,A,"IY,XX",-5.983833903852112e-10
0.01,A,"IY,XY",-1.085856132447656e-09
0.01,A,"IY,XZ",1.3393051067187725e-09
0.01,A,"IY,YI",-8.871382988576592e-11
0.01,A,"IY,YX",6.392513154440036e-10
0.01,A,"IY,YY",9.140530243938923e-10
0.01,A,"IY,YZ",1.2730269821725067e-10
0.01,A,"IY,ZI",6.456762572476355e-10
0.01,A,"IY,ZX",8.090607113442726e-10
0.01,A,"IY,ZY",-1.286030092295182e-10
0.01,A,"IY,ZZ",8.360283405242148e-10
0.01,A,"IZ,XI",-2.699485611170998e-09
0.01,A,"IZ,XX",-1.5776132442300245e-09
0.01,A,"IZ,XY",3.092169910783551e-10
0.01,A,"IZ,XZ",-1.4328918282012272e-09
0.01,A,"IZ,YI",-4.132892311533547e-10
0.01,A,"IZ,YX",-4.2217619879405883e-10
0.01,A,"IZ,YY",-1.041035954013281e-09
0.01,A,"IZ,YZ",-7.452363666199376e-10
0.01,A,"IZ,ZI",4.98886231316077e-10
0.01,A,"IZ,ZX",-1.0528333444181426e-09
0.01,A,"IZ,ZY",-9.578275647497723e-10
0.01,A,"IZ,ZZ",5.517425862990406e-10
0.01,A,"XI,XX",-1.037306805567882e-09
0.01,A,"XI,XY",2.708105972168828e-09
0.01,A,"XI,XZ",9.64500145514941e-10
0.01,A,"XI,YI",-2.9422558998207087e-09
0.01,A,"XI,YX",-9.377007989796523e-11
0.01,A,"XI,YY",2.7500896280535693e-09
0.01,A,"XI,YZ",-2.7283134547564328e-09
0.01,A,"XI,ZI",3.563144927978396e-09
0.01,A,"XI,ZX",4.913359346346993e-10
0.01,A,"XI,ZY",1.9718015214267363e-09
0.01,A,"XI,ZZ",2.1000250098397608e-09
0.01,A,"XX,XY",-6.536664132230498e-09
0.01,A,"XX,XZ",-1.6241817391301941e-09
0.01,A,"XX,YI",-3.98543653329482e-10
0.01,A,"XX,YX",-3.9346089954303186e-10
0.01,A,"XX,YY",-1.9612101028249028e-11
0.01,A,"XX,YZ",5.039056563285024e-09
0.01,A,"XX,ZI",6.013419852992092e-10
0.01,A,"XX,ZX",-5.515488444935984e-09
0.01,A,"XX,ZY",7.36070763153121e-10
0.01,A,"XX,ZZ",-3.788942139857009e-09
0.01,A,"XY,XZ",-1.881023897480467e-09
0.01,A,"XY,YI",5.181968492456516e-10
0.01,A,"XY,YX",-3.651908850525755e-10
0.01,A,"XY,YY",1.2231098251318435e-10
0.01,A,"XY,YZ",-8.674067742931586e-10
0.01,A,"XY,ZI",4.4241989951359555e-10
0.01,A,"XY,ZX",-6.576340113517599e-10
0.01,A,"XY,ZY",-2.095453194677903e-09
0.01,A,"XY,ZZ",-6.289370647055573e-10
0.01,A,"XZ,YI",-1.4909593255966367e-09
0.01,A,"XZ,YX",2.3063233953926786e-09
0.01,A,"XZ,YY",-7.800901504600008e-10
0.01,A,"XZ,YZ",-1.2730715164388375e-09
0.01,A,"XZ,ZI",1.965819238524928e-09
0.01,A,"XZ,ZX",-8.552058744460694e-10
0.01,A,"XZ,ZY",-1.514452211682444e-09
0.01,A,"XZ,ZZ",2.5122564149087248e-09
0.01,A,"YI,YX",4.238658910032673e-10
0.01,A,"YI,YY",1.2598003479841046e-09
0.01,A,"YI,YZ",-2.588957535877213e-10
0.01,A,"YI,ZI",7.041703953691609e-10
0.01,A,"YI,ZX",5.96195727245948e-10
0.01,A,"YI,ZY",-2.601429495969108e-10
0.01,A,"YI,ZZ",1.4561460442404553e-09
0.01,A,"YX,YY",-1.6211563561206697e-09
0.01,A,"YX,YZ",-1.4788865136545805e-09
0.01,A,"YX,ZI",7.379764915027513e-10
0.01,A,"YX,ZX",-1.0454459732294477e-09
0.01,A,"YX,ZY",-1.4724238398514372e-09
0.01,A,"YX,ZZ",4.5835920960133426e-10
0.01,A,"YY,YZ",-1.2634283253961938e-09
0.01,A,"YY,ZI",2.3084048516761735e-09
0.01,A,"YY,ZX",-2.3403908822283847e-10
0.01,A,"YY,ZY",-1.606615140752266e-09
0.01,A,"YY,ZZ",3.254515300098245e-09
0.01,A,"YZ,ZI",1.75892961227191e-10
0.01,A,"YZ,ZX",8.075846011382952e-10
0.01,A,"YZ,ZY",-2.0398696045771182e-11
0.01,A,"YZ,ZZ",3.8516197003333016e-11
0.01,A,"ZI,ZX",-1.0067116588766109e-09
0.01,A,"ZI,ZY",-5.1546477393428316e-11
0.01,A,"ZI,ZZ",-2.9378763843668247e-10
0.01,A,"ZX,ZY",-3.9288514876075495e-10
0.01,A,"ZX,ZZ",2.000031202576046e-09
0.01,A,"ZY,ZZ",2.750429079554889e-10
0.01,C,"IX,IY",-1.0306867712419337e-09
0.01,C,"IX,IZ",-4.823327176238042e-09
0.01,C,"IX,XI",5.997229477338929e-05
0.01,C,"IX,XX",-2.610178930604002e-09
0.01,C,"IX,XY",2.0181432059213708e-09
0.01,C,"IX,XZ",2.4718279002272206e-09
0.01,C,"IX,YI",-8.450092307116945e-10
0.01,C,"IX,YX",3.745320356025125e-09
0.01,C,"IX,YY",2.306571460402405e-09
0.01,C,"IX,YZ",-1.0753537801055258e-11
0.01,C,"IX,ZI",-1.4681162912520807e-09
0.01,C,"IX,ZX",2.370442459655644e-09
0.01,C,"IX,ZY",-1.914915112381134e-10
0.01,C,"IX,ZZ",3.5735261649341406e-09
0.01,C,"IY,IZ",-1.4082638670118424e-09
0.01,C,"IY,XI",-8.055035329497434e-10
0.01,C,"IY,XX",-1.8558754188306175e-09
0.01,C,"IY,XY",-1.6771710196868219e-09
0.01,C,"IY,XZ",6.249266506441261e-10
0.01,C,"IY,YI",1.189191509581266e-09
0.01,C,"IY,YX",-1.2269849543728322e-09
0.01,C,"IY,YY",1.7716893871053589e-09
0.01,C,"IY,YZ",1.1985195043887938e-09
