condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_0030c3ca7053f1df,0.01,0.9975688727534688,0.0024311272465311617,0.0,0.0,13.333333333333334,8.0,False
rates_0030c3ca7053f1df,1.0,0.996518556682263,0.003481443317737032,0.0,0.0,13.333333333333334,8.0,False
rates_0030c3ca7053f1df,2.0,0.9947992376250134,0.005200762374986567,0.0,0.0,13.333333333333334,8.0,False
rates_0030c3ca7053f1df,3.0,0.9924810419405219,0.007518958059478109,0.0,0.0,13.333333333333334,8.0,False
rates_0030c3ca7053f1df,4.0,0.9896178229237315,0.01038217707626854,0.0,0.0,13.333333333333334,8.0,False
rates_03fbb63aa712b73b,0.01,0.9990233827582926,0.0009766172417073893,5.0,0.0,6.666666666666667,0.0,False
rates_03fbb63aa712b73b,1.0,0.997974859190129,0.00202514080987104,5.0,0.0,6.666666666666667,0.0,False
rates_03fbb63aa712b73b,2.0,0.9962559312140588,0.003744068785941246,5.0,0.0,6.666666666666667,0.0,False
rates_03fbb63aa712b73b,3.0,0.9939369136752934,0.006063086324706646,5.0,0.0,6.666666666666667,0.0,False
rates_03fbb63aa712b73b,4.0,0.9910717248285899,0.00892827517141015,5.0,0.0,6.666666666666667,0.0,False
rates_043985184c08dfb1,0.01,0.9972960721660658,0.00270392783393425,0.0,72.0,6.666666666666667,0.0,False
rates_043985184c08dfb1,1.0,0.9936647507046082,0.006335249295391754,0.0,72.0,6.666666666666667,0.0,False
rates_043985184c08dfb1,2.0,0.9895171258786833,0.010482874121316654,0.0,72.0,6.666666666666667,0.0,False
rates_043985184c08dfb1,3.0,0.9849475859107351,0.015052414089264943,0.0,72.0,6.666666666666667,0.0,False
rates_043985184c08dfb1,4.0,0.9800065654316217,0.01999343456837832,0.0,72.0,6.666666666666667,0.0,False
rates_06dc0fc32fe15b25,0.01,0.9984393514814695,0.0015606485185305496,20.0,0.0,6.666666666666667,0.0,False
rates_06dc0fc32fe15b25,1.0,0.9974024788440087,0.0025975211559913225,20.0,0.0,6.666666666666667,0.0,False
rates_06dc0fc32fe15b25,2.0,0.995695386126813,0.004304613873187035,20.0,0.0,6.666666666666667,0.0,False
rates_06dc0fc32fe15b25,3.0,0.9933882778418713,0.006611722158128663,20.0,0.0,6.666666666666667,0.0,False
rates_06dc0fc32fe15b25,4.0,0.9905348314156915,0.009465168584308459,20.0,0.0,6.666666666666667,0.0,False
rates_0ddd426d8d9d7e11,0.01,0.999081527603326,0.0009184723966739,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,1.0,0.9980366145633418,0.0019633854366581,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,2.0,0.9963210634113036,0.0036789365886964,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,3.0,0.9940053157776904,0.0059946842223096,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,4.0,0.9911431466588156,0.0088568533411843,10.0,0.0,0.0,2.0,False
rates_0e752ad71c6095d9,0.01,0.9981942132586266,0.0018057867413734,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,1.0,0.9971722160941908,0.0028277839058091,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,2.0,0.995479686228465,0.0045203137715349,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,3.0,0.9931868499290544,0.0068131500709455,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,4.0,0.99034713411254,0.00965286588746,40.0,0.0,0.0,0.0,False
rates_10ba39339e235ff4,0.01,0.9976692060056263,0.0023307939943737477,0.0,36.0,0.0,8.0,False
