source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id
motional_dephasing,spin_dephasing,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.5,0.0,9.0,0.0,rates_70251d48c79bc447,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,1.0,0.0,18.0,0.0,rates_65e4c1ad12cf1435,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,2.0,0.0,36.0,0.0,rates_7f1e3dd0f07550fa,rates_7f1e3dd0f07550fa,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,4.0,0.0,72.0,0.0,rates_e627b957213b2032,rates_e627b957213b2032,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.0,0.5,0.0,1.6666666666666667,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.5,0.5,9.0,1.6666666666666667,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,1.0,0.5,18.0,1.6666666666666667,rates_6c688fb66a893df8,rates_65e4c1ad12cf1435,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,2.0,0.5,36.0,1.6666666666666667,rates_ae8ba9de8b4b2cef,rates_7f1e3dd0f07550fa,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,4.0,0.5,72.0,1.6666666666666667,rates_603c33ce831b855f,rates_e627b957213b2032,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.0,1.0,0.0,3.3333333333333335,rates_87cf81c0f802ee14,rates_7283b228c09abbcb,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.5,1.0,9.0,3.3333333333333335,rates_f178564d2b994859,rates_70251d48c79bc447,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,1.0,1.0,18.0,3.3333333333333335,rates_c78d3b44752e1de2,rates_65e4c1ad12cf1435,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,2.0,1.0,36.0,3.3333333333333335,rates_360eade92eac1e2f,rates_7f1e3dd0f07550fa,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,4.0,1.0,72.0,3.3333333333333335,rates_6a8c834ff6e2e567,rates_e627b957213b2032,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.0,2.0,0.0,6.666666666666667,rates_b641ff121079f20c,rates_7283b228c09abbcb,rates_b641ff121079f20c,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.5,2.0,9.0,6.666666666666667,rates_fb241267f5ea81c6,rates_70251d48c79bc447,rates_b641ff121079f20c,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,1.0,2.0,18.0,6.666666666666667,rates_405ddd5e4fdb9f22,rates_65e4c1ad12cf1435,rates_b641ff121079f20c,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,2.0,2.0,36.0,6.666666666666667,rates_4607758b0fbf4666,rates_7f1e3dd0f07550fa,rates_b641ff121079f20c,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,4.0,2.0,72.0,6.666666666666667,rates_043985184c08dfb1,rates_e627b957213b2032,rates_b641ff121079f20c,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.0,4.0,0.0,13.333333333333334,rates_14c3539000a4de2d,rates_7283b228c09abbcb,rates_14c3539000a4de2d,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,0.5,4.0,9.0,13.333333333333334,rates_61b7d4ddafada4b1,rates_70251d48c79bc447,rates_14c3539000a4de2d,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,1.0,4.0,18.0,13.333333333333334,rates_e3c1dfd931a34ad1,rates_65e4c1ad12cf1435,rates_14c3539000a4de2d,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,2.0,4.0,36.0,13.333333333333334,rates_2d87d3caf1b8c595,rates_7f1e3dd0f07550fa,rates_14c3539000a4de2d,rates_7283b228c09abbcb
motional_dephasing,spin_dephasing,4.0,4.0,72.0,13.333333333333334,rates_7d443f63742c20da,rates_e627b957213b2032,rates_14c3539000a4de2d,rates_7283b228c09abbcb
