condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_0e752ad71c6095d9,0.01,0.9981942132586266,0.0018057867413734,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,1.0,0.9971722160941908,0.0028277839058091,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,2.0,0.995479686228465,0.0045203137715349,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,3.0,0.9931868499290544,0.0068131500709455,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,4.0,0.99034713411254,0.00965286588746,40.0,0.0,0.0,0.0,False
rates_15e2db7947d1c0fd,0.01,0.9977123752480532,0.0022876247519466,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,1.0,0.9960383033872902,0.0039616966127098,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,2.0,0.9937250716038918,0.0062749283961082,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,3.0,0.9908506213735324,0.0091493786264674,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,4.0,0.9874689837509514,0.0125310162490486,40.0,18.0,0.0,0.0,False
rates_17830da3b3822d7d,0.01,0.9976332995773524,0.0023667004226475,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,1.0,0.994004970219925,0.005995029780075,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,2.0,0.9898597965522914,0.0101402034477086,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,3.0,0.9852923044807074,0.0147076955192926,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,4.0,0.98035289207603,0.0196471079239699,5.0,72.0,0.0,0.0,False
rates_2524745c632f6db4,0.01,0.9988784756756086,0.0011215243243913,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,1.0,0.99717884171076,0.00282115828924,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,2.0,0.9948400676119163,0.0051599323880836,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,3.0,0.99194013016405,0.0080598698359498,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,4.0,0.9885334510884896,0.0114665489115104,10.0,18.0,0.0,0.0,False
rates_32d7c04b5236f41d,0.01,0.997050742348308,0.0029492576516918,20.0,72.0,0.0,0.0,False
rates_32d7c04b5236f41d,1.0,0.9934385022296894,0.0065614977703105,20.0,72.0,0.0,0.0,False
rates_32d7c04b5236f41d,2.0,0.9893090389037802,0.0106909610962198,20.0,72.0,0.0,0.0,False
rates_32d7c04b5236f41d,3.0,0.984756794177537,0.0152432058224629,20.0,72.0,0.0,0.0,False
rates_32d7c04b5236f41d,4.0,0.9798320577392988,0.020167942260701,20.0,72.0,0.0,0.0,False
rates_370adf81f1b648c5,0.01,0.998730333160762,0.001269666839238,20.0,9.0,0.0,0.0,False
rates_370adf81f1b648c5,1.0,0.997365193458596,0.0026348065414041,20.0,9.0,0.0,0.0,False
rates_370adf81f1b648c5,2.0,0.9953444968409116,0.0046555031590884,20.0,9.0,0.0,0.0,False
rates_370adf81f1b648c5,3.0,0.992742594254992,0.0072574057450079,20.0,9.0,0.0,0.0,False
rates_370adf81f1b648c5,4.0,0.9896135039261048,0.0103864960738953,20.0,9.0,0.0,0.0,False
rates_3f28f4785d99bb44,0.01,0.998008306908054,0.0019916930919459,20.0,36.0,0.0,0.0,False
rates_3f28f4785d99bb44,1.0,0.9956702989305216,0.0043297010694782,20.0,36.0,0.0,0.0,False
rates_3f28f4785d99bb44,2.0,0.9927293764575914,0.0072706235424085,20.0,36.0,0.0,0.0,False
rates_3f28f4785d99bb44,3.0,0.9892701512509232,0.0107298487490767,20.0,36.0,0.0,0.0,False
rates_3f28f4785d99bb44,4.0,0.9853464802017609,0.0146535197982391,20.0,36.0,0.0,0.0,False
rates_3fa0e6fcd1bc3bb5,0.01,0.9984892903044494,0.0015107096955505,20.0,18.0,0.0,0.0,False
rates_3fa0e6fcd1bc3bb5,1.0,0.9967981936027158,0.0032018063972841,20.0,18.0,0.0,0.0,False
rates_3fa0e6fcd1bc3bb5,2.0,0.9944679386021154,0.0055320613978846,20.0,18.0,0.0,0.0,False
