source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,grid_infidelity,x_only_infidelity,y_only_infidelity,zero_infidelity,additive_prediction,interaction_infidelity,pair_noise_penalty,relative_interaction_to_pair_noise,interaction_per_multiplier_product,nominal_bilinear_coefficient,bilinear_prediction,bilinear_residual,relative_bilinear_residual
motional_heating,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0,0.0,0.0,,-2.4976210259990313e-07,-0.0,0.0,
motional_heating,photon_scattering,0.5,0.0,5.0,0.0,rates_d40c9e1dbffac54a,rates_d40c9e1dbffac54a,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0004438274759339,0.0004438274759339,0.0002487641440845,0.0002487641440845,0.0004438274759338999,5.421010862427522e-20,0.0001950633318494,2.7791029769822917e-16,,-2.4976210259990313e-07,-0.0,5.421010862427522e-20,
motional_heating,photon_scattering,1.0,0.0,10.0,0.0,rates_a8953962d6e58e19,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0006387326460262,0.0006387326460262,0.0002487641440845,0.0002487641440845,0.0006387326460261999,1.0842021724855044e-19,0.00038996850194170004,2.780230113681314e-16,,-2.4976210259990313e-07,-0.0,1.0842021724855044e-19,
motional_heating,photon_scattering,2.0,0.0,20.0,0.0,rates_95304e3098130ea3,rates_95304e3098130ea3,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0010282516239936,0.0010282516239936,0.0002487641440845,0.0002487641440845,0.0010282516239936,0.0,0.0007794874799091,0.0,,-2.4976210259990313e-07,-0.0,0.0,
motional_heating,photon_scattering,4.0,0.0,40.0,0.0,rates_0e752ad71c6095d9,rates_0e752ad71c6095d9,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0018057867413734,0.0018057867413734,0.0002487641440845,0.0002487641440845,0.0018057867413733997,2.168404344971009e-19,0.0015570225972889,1.3926608057883372e-16,,-2.4976210259990313e-07,-0.0,2.168404344971009e-19,
motional_heating,photon_scattering,0.0,0.5,0.0,2.0,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,0.01,0.0005286263298017,0.0002487641440845,0.0005286263298017,0.0002487641440845,0.0005286263298017,0.0,0.0002798621857172,0.0,,-2.4976210259990313e-07,-0.0,0.0,
motional_heating,photon_scattering,1.0,0.5,10.0,2.0,rates_0ddd426d8d9d7e11,rates_a8953962d6e58e19,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,0.01,0.0009184723966739,0.0006387326460262,0.0005286263298017,0.0002487641440845,0.0009185948317434001,-1.2243506950003567e-07,0.0006697082525894001,-0.00018281851690888588,-2.4487013900007133e-07,-2.4976210259990313e-07,-1.2488105129995156e-07,2.4459817999158973e-09,0.01997778749098668
motional_heating,photon_scattering,0.0,1.0,0.0,4.0,rates_660d67d330352843,rates_7283b228c09abbcb,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0008083429031502,0.0002487641440845,0.0008083429031502,0.0002487641440845,0.0008083429031501999,1.0842021724855044e-19,0.0005595787590657001,1.937532751056779e-16,,-2.4976210259990313e-07,-0.0,1.0842021724855044e-19,
motional_heating,photon_scattering,0.5,1.0,5.0,4.0,rates_1a9c026201883970,rates_d40c9e1dbffac54a,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0010032551458891,0.0004438274759339,0.0008083429031502,0.0002487641440845,0.0010034062349996,-1.5108911049989578e-07,0.0007544910018046,-0.0002002530316975539,-3.0217822099979155e-07,-2.4976210259990313e-07,-1.2488105129995156e-07,-2.6208059199944213e-08,-0.17346094045581328
motional_heating,photon_scattering,1.0,1.0,10.0,4.0,rates_c7ff262f79a0349b,rates_a8953962d6e58e19,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0011980616429893,0.0006387326460262,0.0008083429031502,0.0002487641440845,0.0011983114050919,-2.4976210259990313e-07,0.0009492974989048001,-0.00026310203375448947,-2.4976210259990313e-07,-2.4976210259990313e-07,-2.4976210259990313e-07,0.0,0.0
motional_heating,photon_scattering,2.0,1.0,20.0,4.0,rates_734e958b365fba1a,rates_95304e3098130ea3,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0015872797632606,0.0010282516239936,0.0008083429031502,0.0002487641440845,0.0015878303830593,-5.506197986999799e-07,0.0013385156191761,-0.00041136598692729815,-2.7530989934998994e-07,-2.4976210259990313e-07,-4.995242051998063e-07,-5.109559350017362e-08,-0.09279650608425441
motional_heating,photon_scattering,4.0,1.0,40.0,4.0,rates_5ee16b592439d3eb,rates_0e752ad71c6095d9,rates_660d67d330352843,rates_7283b228c09abbcb,0.01,0.0023642241935128,0.0018057867413734,0.0008083429031502,0.0002487641440845,0.0023653655004391002,-1.1413069263004234e-06,0.0021154600494283,-0.0005395076719169714,-2.8532673157510586e-07,-2.4976210259990313e-07,-9.990484103996125e-07,-1.4225851590081093e-07,-0.12464527518635646
motional_heating,photon_scattering,0.0,2.0,0.0,8.0,rates_a6b00ad014b8547a,rates_7283b228c09abbcb,rates_a6b00ad014b8547a,rates_7283b228c09abbcb,0.01,0.0013674834534253,0.0002487641440845,0.0013674834534253,0.0002487641440845,0.0013674834534253,0.0,0.0011187193093408,0.0,,-2.4976210259990313e-07,-0.0,0.0,
motional_heating,photon_scattering,1.0,2.0,10.0,8.0,rates_a2a634c42104bf42,rates_a8953962d6e58e19,rates_a6b00ad014b8547a,rates_7283b228c09abbcb,0.01,0.0017569069543285,0.0006387326460262,0.0013674834534253,0.0002487641440845,0.0017574519553669999,-5.450010384998143e-07,0.001508142810244,-0.00036137230161355834,-2.7250051924990713e-07,-2.4976210259990313e-07,-4.995242051998063e-07,-4.547683330000801e-08,-0.08344357182362233
motional_heating,photon_scattering,0.0,4.0,0.0,16.0,rates_57b91a072f7de420,rates_7283b228c09abbcb,rates_57b91a072f7de420,rates_7283b228c09abbcb,0.01,0.0024843546520184,0.0002487641440845,0.0024843546520184,0.0002487641440845,0.0024843546520184,0.0,0.0022355905079339,0.0,,-2.4976210259990313e-07,-0.0,0.0,
motional_heating,photon_scattering,1.0,4.0,10.0,16.0,rates_df1e41669f921008,rates_a8953962d6e58e19,rates_57b91a072f7de420,rates_7283b228c09abbcb,0.01,0.0028732146369133,0.0006387326460262,0.0024843546520184,0.0002487641440845,0.0028743231539601,-1.1085170468000047e-06,0.0026244504928288003,-0.00042238062780341275,-2.7712926170000117e-07,-2.4976210259990313e-07,-9.990484103996125e-07,-1.0946863640039217e-07,-0.09875232565561275
