source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id
motional_heating,photon_scattering,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.5,0.0,5.0,0.0,rates_d40c9e1dbffac54a,rates_d40c9e1dbffac54a,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_heating,photon_scattering,1.0,0.0,10.0,0.0,rates_a8953962d6e58e19,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_heating,photon_scattering,2.0,0.0,20.0,0.0,rates_95304e3098130ea3,rates_95304e3098130ea3,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_heating,photon_scattering,4.0,0.0,40.0,0.0,rates_0e752ad71c6095d9,rates_0e752ad71c6095d9,rates_7283b228c09abbcb,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.0,0.5,0.0,2.0,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,rates_cba05db5d91a70e1,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.5,0.5,5.0,2.0,rates_e6d1576ac61ecf0f,rates_d40c9e1dbffac54a,rates_cba05db5d91a70e1,rates_7283b228c09abbcb
motional_heating,photon_scattering,1.0,0.5,10.0,2.0,rates_0ddd426d8d9d7e11,rates_a8953962d6e58e19,rates_cba05db5d91a70e1,rates_7283b228c09abbcb
motional_heating,photon_scattering,2.0,0.5,20.0,2.0,rates_b2635b77f35944f0,rates_95304e3098130ea3,rates_cba05db5d91a70e1,rates_7283b228c09abbcb
motional_heating,photon_scattering,4.0,0.5,40.0,2.0,rates_63b7c11698f2ab10,rates_0e752ad71c6095d9,rates_cba05db5d91a70e1,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.0,1.0,0.0,4.0,rates_660d67d330352843,rates_7283b228c09abbcb,rates_660d67d330352843,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.5,1.0,5.0,4.0,rates_1a9c026201883970,rates_d40c9e1dbffac54a,rates_660d67d330352843,rates_7283b228c09abbcb
motional_heating,photon_scattering,1.0,1.0,10.0,4.0,rates_c7ff262f79a0349b,rates_a8953962d6e58e19,rates_660d67d330352843,rates_7283b228c09abbcb
motional_heating,photon_scattering,2.0,1.0,20.0,4.0,rates_734e958b365fba1a,rates_95304e3098130ea3,rates_660d67d330352843,rates_7283b228c09abbcb
motional_heating,photon_scattering,4.0,1.0,40.0,4.0,rates_5ee16b592439d3eb,rates_0e752ad71c6095d9,rates_660d67d330352843,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.0,2.0,0.0,8.0,rates_a6b00ad014b8547a,rates_7283b228c09abbcb,rates_a6b00ad014b8547a,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.5,2.0,5.0,8.0,rates_d447724ad0bdd3f5,rates_d40c9e1dbffac54a,rates_a6b00ad014b8547a,rates_7283b228c09abbcb
motional_heating,photon_scattering,1.0,2.0,10.0,8.0,rates_a2a634c42104bf42,rates_a8953962d6e58e19,rates_a6b00ad014b8547a,rates_7283b228c09abbcb
motional_heating,photon_scattering,2.0,2.0,20.0,8.0,rates_4c5ba218961c0bf9,rates_95304e3098130ea3,rates_a6b00ad014b8547a,rates_7283b228c09abbcb
motional_heating,photon_scattering,4.0,2.0,40.0,8.0,rates_7d999caf853d6576,rates_0e752ad71c6095d9,rates_a6b00ad014b8547a,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.0,4.0,0.0,16.0,rates_57b91a072f7de420,rates_7283b228c09abbcb,rates_57b91a072f7de420,rates_7283b228c09abbcb
motional_heating,photon_scattering,0.5,4.0,5.0,16.0,rates_8a1b00d366269f2a,rates_d40c9e1dbffac54a,rates_57b91a072f7de420,rates_7283b228c09abbcb
motional_heating,photon_scattering,1.0,4.0,10.0,16.0,rates_df1e41669f921008,rates_a8953962d6e58e19,rates_57b91a072f7de420,rates_7283b228c09abbcb
motional_heating,photon_scattering,2.0,4.0,20.0,16.0,rates_e8358d2671545dfb,rates_95304e3098130ea3,rates_57b91a072f7de420,rates_7283b228c09abbcb
motional_heating,photon_scattering,4.0,4.0,40.0,16.0,rates_ad14ec98801c08d9,rates_0e752ad71c6095d9,rates_57b91a072f7de420,rates_7283b228c09abbcb
