nbar,pair_id,source_i,source_j,pair_infidelity,interaction_infidelity
0.01,motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0011215243243913,-2.9278646569995447e-07
1.0,motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.00282115828924,-1.062953931400476e-06
2.0,motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0051599323880836,-1.7580894611005614e-06
3.0,motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0080598698359498,-2.317337543801014e-06
4.0,motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0114665489115104,-2.838379199000124e-06
0.01,motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.0009051441697408,-1.2854730410005342e-07
1.0,motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.0019501243844848,-1.342646125000388e-07
2.0,motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.0036656833978565,-1.0911228190023034e-07
3.0,motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.00598145798537,-1.3560987240091027e-07
4.0,motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.0088436887785883,-1.2002342700094537e-07
0.01,motional_heating__photon_scattering,motional_heating,photon_scattering,0.0011980616429893,-2.4976210259995734e-07
1.0,motional_heating__photon_scattering,motional_heating,photon_scattering,0.002242624338369,-2.9304600370036633e-07
2.0,motional_heating__photon_scattering,motional_heating,photon_scattering,0.003957533531849,-3.0091744660041414e-07
3.0,motional_heating__photon_scattering,motional_heating,photon_scattering,0.0062725136527056,-2.705239507006657e-07
4.0,motional_heating__photon_scattering,motional_heating,photon_scattering,0.009133660508245,-2.8582734860026215e-07
0.01,motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.0009982295831267,-1.5909680730008752e-07
1.0,motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.0027058345596401,-3.9811935869998524e-07
2.0,motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.0050524306233488,-5.757829977005857e-07
3.0,motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.0079599013433568,-7.577355859008858e-07
4.0,motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.0113737933507087,-9.84400916800507e-07
0.01,motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0012911060060766,-3.2136190440012384e-07
1.0,motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.002998050000962,-8.414133122003429e-07
2.0,motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0053437639722588,-1.2843732449005323e-06
3.0,motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.008250161598049,-1.6880623076006088e-06
4.0,motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.0116627661849382,-2.1491002655995434e-06
0.01,spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.0010746583323161,-2.2464185279997108e-07
1.0,spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.0021266665063182,-2.6231388189986056e-07
2.0,spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.0038489200527063,-2.3032539110028408e-07
3.0,spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.0061710344348366,-2.2164726880095909e-07
4.0,spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.0090390846881909,-2.52108318801042e-07
