nbar,noise_source,single_only_infidelity,single_noise_contribution
0.01,motional_heating,0.0006387326460262,0.00038996850194170004
1.0,motional_heating,0.0016840630080643,0.00038218420520560016
2.0,motional_heating,0.003400184777955,0.0003742918033816001
3.0,motional_heating,0.0057167735028995,0.00036634818689380063
4.0,motional_heating,0.008579927670973,0.00035849067012620056
0.01,motional_dephasing,0.0007318486089153,0.00048308446483080004
1.0,motional_dephasing,0.0024400370379658,0.0011381582351071002
2.0,motional_dephasing,0.0047873986741631,0.0017615056995897004
3.0,motional_dephasing,0.0076958389865998,0.0023454136705941004
4.0,motional_dephasing,0.0111108966205832,0.0028894596197364
0.01,spin_dephasing,0.0005153042151032,0.0002665400710187
1.0,spin_dephasing,0.0015680744438917,0.000266195641033
2.0,spin_dephasing,0.0032915007067568,0.0002656077321834
3.0,spin_dephasing,0.0056152454083486,0.0002648200923429005
4.0,spin_dephasing,0.0084853181318891,0.0002638811310423008
0.01,photon_scattering,0.0008083429031502,0.0005595787590657001
1.0,photon_scattering,0.0018607331791671,0.0005588543763084001
2.0,photon_scattering,0.003583542645914,0.0005576496713406002
3.0,photon_scattering,0.0059064359897625,0.0005560106737568004
4.0,photon_scattering,0.0087754556654674,0.0005540186646205997
