pair_id,source_x,source_y,multiplier_x,multiplier_y,strength_x_s^-1,strength_y_s^-1,condition_id,x_only_condition_id,y_only_condition_id,zero_condition_id,nbar,grid_infidelity,x_only_infidelity,y_only_infidelity,zero_infidelity,additive_prediction,interaction_infidelity,pair_noise_penalty,relative_interaction_to_pair_noise,interaction_per_multiplier_product,nominal_bilinear_coefficient,bilinear_prediction,bilinear_residual,relative_bilinear_residual,delta_heating_infidelity,delta_motional_dephasing_infidelity,independent_overlap,extra_interaction,multiplier_product,kappa_extra_per_multiplier_product,model1_extra_prediction,model1_total_C_prediction,multiplier_heating,multiplier_motional_dephasing,gamma_overlap_score,h_overlap_score,model2_extra_prediction,model2_total_C_prediction,model3_extra_prediction,model3_total_C_prediction
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,0.0,0.0,0.0,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0002487641440845,0.0,0.0,0.0,,-2.9278646569990026e-07,-0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,6.276946112337146e-08,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,0.0,5.0,0.0,rates_d40c9e1dbffac54a,rates_d40c9e1dbffac54a,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0004438274759339,0.0004438274759339,0.0002487641440845,0.0002487641440845,0.0004438274759338,5.421010862427522e-20,0.0001950633318494,2.7791029769822917e-16,,-2.9278646569990026e-07,-0.0,5.421010862427522e-20,,0.0001950633318494,0.0,-0.0,5.421010862427522e-20,0.0,6.276946112337146e-08,-0.0,-0.0,0.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.0,10.0,0.0,rates_a8953962d6e58e19,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0006387326460262,0.0006387326460262,0.0002487641440845,0.0002487641440845,0.0006387326460261,1.0842021724855044e-19,0.0003899685019417,2.780230113681314e-16,,-2.9278646569990026e-07,-0.0,1.0842021724855044e-19,,0.00038996850194170004,0.0,-0.0,1.0842021724855044e-19,0.0,6.276946112337146e-08,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,0.0,20.0,0.0,rates_95304e3098130ea3,rates_95304e3098130ea3,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0010282516239936,0.0010282516239936,0.0002487641440845,0.0002487641440845,0.0010282516239936,0.0,0.0007794874799091,0.0,,-2.9278646569990026e-07,-0.0,0.0,,0.0007794874799091,0.0,-0.0,0.0,0.0,6.276946112337146e-08,-0.0,-0.0,2.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,0.0,40.0,0.0,rates_0e752ad71c6095d9,rates_0e752ad71c6095d9,rates_7283b228c09abbcb,rates_7283b228c09abbcb,0.01,0.0018057867413734,0.0018057867413734,0.0002487641440845,0.0002487641440845,0.0018057867413733,2.1684043449710093e-19,0.0015570225972889,1.3926608057883372e-16,,-2.9278646569990026e-07,-0.0,2.1684043449710093e-19,,0.0015570225972889,0.0,-0.0,2.1684043449710093e-19,0.0,6.276946112337146e-08,-0.0,-0.0,4.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.0,0.5,0.0,9.0,rates_70251d48c79bc447,rates_7283b228c09abbcb,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.0004905090038785,0.0002487641440845,0.0004905090038785,0.0002487641440845,0.0004905090038785,0.0,0.000241744859794,0.0,,-2.9278646569990026e-07,-0.0,0.0,,0.0,0.00024174485979400006,-0.0,0.0,0.0,6.276946112337146e-08,-0.0,-0.0,0.0,0.5,0.0,0.0,-0.0,-0.0,-0.0,-0.0
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.5,0.5,5.0,9.0,rates_7affb8fbc133d6bd,rates_d40c9e1dbffac54a,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.0006854727238632,0.0004438274759339,0.0004905090038785,0.0002487641440845,0.0006855723357279,-9.961186470011479e-08,0.0004367085797787,-0.0002280968804198,-3.984474588004591e-07,-2.9278646569990026e-07,-7.319661642497506e-08,-2.6415248275139715e-08,-0.2651817467192668,0.0001950633318494,0.00024174485979400006,-6.28740770785116e-08,-3.673778762160319e-08,0.25,6.276946112337146e-08,-1.5692365280842866e-08,-7.856644235935447e-08,0.5,0.5,2.7079584217171556e-08,-1.6134526558858355e-11,-4.698939973856418e-08,-1.0986347681707579e-07,-2.8685640074726667e-08,-9.155971715323827e-08
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.5,10.0,9.0,rates_6d2ebea4f1e4f35a,rates_a8953962d6e58e19,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.0008803304078984,0.0006387326460262,0.0004905090038785,0.0002487641440845,0.0008804775058201,-1.4709792179993814e-07,0.0006315662638139,-0.0002329097202115,-2.941958435998763e-07,-2.9278646569990026e-07,-1.4639323284995013e-07,-7.046889499880137e-10,-0.0047906111885552,0.00038996850194170004,0.00024174485979400006,-1.2569717443463e-07,-2.1400747365308134e-08,0.5,6.276946112337146e-08,-3.138473056168573e-08,-1.5708190499631573e-07,1.0,0.5,5.4158436261208346e-08,-3.2310799747999115e-11,-9.397752898583014e-08,-2.1967470342046014e-07,-5.7371280149453333e-08,-1.8306845458408334e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,0.5,20.0,9.0,rates_370adf81f1b648c5,rates_95304e3098130ea3,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.001269666839238,0.0010282516239936,0.0004905090038785,0.0002487641440845,0.0012699964837876,-3.2964454959997537e-07,0.0010209026951535,-0.0003228951702888,-3.2964454959997537e-07,-2.9278646569990026e-07,-2.9278646569990026e-07,-3.685808390007511e-08,-0.1118115981131873,0.0007794874799091,0.00024174485979400006,-2.5124945538907173e-07,-7.839509421090364e-08,1.0,6.276946112337146e-08,-6.276946112337146e-08,-3.1401891651244317e-07,2.0,0.5,1.0831399792172316e-07,-6.470430171093741e-11,-1.8795006986844594e-07,-4.3919952525751764e-07,-1.1474256029890667e-07,-3.659920156879784e-07
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,0.5,40.0,9.0,rates_ceb4eecb4eaacfc2,rates_0e752ad71c6095d9,rates_70251d48c79bc447,rates_7283b228c09abbcb,0.01,0.0020468871180874,0.0018057867413734,0.0004905090038785,0.0002487641440845,0.0020475316011674,-6.444830800002126e-07,0.0017981229740029,-0.0003584199130527,-3.222415400001063e-07,-2.9278646569990026e-07,-5.855729313998005e-07,-5.8910148600412056e-08,-0.091406819555903,0.0015570225972889,0.00024174485979400006,-5.018696126369265e-07,-1.4261346736328603e-07,2.0,6.276946112337146e-08,-1.2553892224674293e-07,-6.274085348836694e-07,4.0,0.5,2.1662187080543354e-07,-1.2926432588596574e-10,-3.758895113661869e-07,-8.777591240031134e-07,-2.2948512059781333e-07,-7.313547332347398e-07
