nbar,multiplier_heating,pauli,delta_h_heating,delta_gamma_heating,multiplier_motional_dephasing,delta_h_motional_dephasing,delta_gamma_motional_dephasing,gamma_mode_product,h_mode_product,gamma_overlap_fraction
0.01,0.0,IX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,IX,0.0,0.0,0.5,-7.646504343253926e-09,0.0001109718227845,0.0,-0.0,
0.01,0.0,IX,0.0,0.0,1.0,-2.342407638613772e-09,0.00022181351126159996,0.0,-0.0,
0.01,0.0,IX,0.0,0.0,2.0,-7.978924608860784e-09,0.00044308013689550003,0.0,-0.0,
0.01,0.0,IX,0.0,0.0,4.0,-8.939935914561053e-09,0.0008839248027467,0.0,-0.0,
0.01,0.0,IY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,IY,0.0,0.0,0.5,7.054342982985458e-10,-2.698608462720401e-08,-0.0,0.0,
0.01,0.0,IY,0.0,0.0,1.0,1.79954547184449e-09,-4.2194662924760614e-08,-0.0,0.0,
0.01,0.0,IY,0.0,0.0,2.0,4.681770297866099e-11,-6.82048097709224e-08,-0.0,0.0,
0.01,0.0,IY,0.0,0.0,4.0,-2.1469034578895548e-09,-1.2842779993579867e-07,-0.0,-0.0,
0.01,0.0,IZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,IZ,0.0,0.0,0.5,-1.853386911027357e-11,2.679713739998208e-08,0.0,-0.0,
0.01,0.0,IZ,0.0,0.0,1.0,1.1348219835847172e-10,4.3336379599982246e-08,0.0,0.0,
0.01,0.0,IZ,0.0,0.0,2.0,9.360452673690158e-11,9.595760279998509e-08,0.0,0.0,
0.01,0.0,IZ,0.0,0.0,4.0,-2.1768383853677469e-10,1.9406689330000006e-07,0.0,-0.0,
0.01,0.0,XI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,XI,0.0,0.0,0.5,-4.4451988679581415e-09,0.00011099369958540001,0.0,-0.0,
0.01,0.0,XI,0.0,0.0,1.0,1.7680987964208182e-09,0.00022183455835579998,0.0,0.0,
0.01,0.0,XI,0.0,0.0,2.0,-2.8771440330037565e-09,0.0004430890599471,0.0,-0.0,
0.01,0.0,XI,0.0,0.0,4.0,-3.844560563802102e-09,0.0008839254816436,0.0,-0.0,
0.01,0.0,XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,XX,0.0,0.0,0.5,-4.120880975200594e-06,8.065911914867376e-05,0.0,-0.0,
0.01,0.0,XX,0.0,0.0,1.0,-8.117276173100207e-06,0.0001613127135873254,0.0,-0.0,
0.01,0.0,XX,0.0,0.0,2.0,-1.5633516950100054e-05,0.0003225516028442254,0.0,-0.0,
0.01,0.0,XX,0.0,0.0,4.0,-2.8927985791800392e-05,0.0006448396264276254,0.0,-0.0,
0.01,0.0,XY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,XY,0.0,0.0,0.5,6.195813868058577e-09,8.00831600000578e-09,0.0,0.0,
0.01,0.0,XY,0.0,0.0,1.0,1.0447273977480614e-08,2.6621632399990557e-08,0.0,0.0,
0.01,0.0,XY,0.0,0.0,2.0,6.8678147495900124e-09,4.235717089999037e-08,0.0,0.0,
0.01,0.0,XY,0.0,0.0,4.0,-2.938413636669494e-09,8.062683029999942e-08,0.0,-0.0,
0.01,0.0,XZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,XZ,0.0,0.0,0.5,1.3943016143746803e-09,-7.93689663387072e-09,-0.0,0.0,
0.01,0.0,XZ,0.0,0.0,1.0,-2.0322841476283152e-09,-2.6967897722598544e-08,-0.0,-0.0,
0.01,0.0,XZ,0.0,0.0,2.0,8.838804418976033e-10,-7.102773512251417e-08,-0.0,0.0,
0.01,0.0,XZ,0.0,0.0,4.0,-5.889237241632604e-09,-1.50716340138415e-07,-0.0,-0.0,
0.01,0.0,YI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,YI,0.0,0.0,0.5,-5.430881325459999e-10,-4.8834037916554e-09,-0.0,-0.0,
0.01,0.0,YI,0.0,0.0,1.0,6.108758375224868e-09,-2.104275643166067e-08,-0.0,0.0,
0.01,0.0,YI,0.0,0.0,2.0,3.1142147583927854e-09,-5.941436383438963e-08,-0.0,0.0,
0.01,0.0,YI,0.0,0.0,4.0,-5.362895579366717e-09,-1.2772135261127744e-07,-0.0,-0.0,
0.01,0.0,YX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,YX,0.0,0.0,0.5,-3.267722354997382e-09,7.950699899990886e-09,0.0,-0.0,
0.01,0.0,YX,0.0,0.0,1.0,-7.241657177373409e-09,2.5694729999996366e-08,0.0,-0.0,
0.01,0.0,YX,0.0,0.0,2.0,-6.533529512801564e-11,4.1474637199980825e-08,0.0,-0.0,
0.01,0.0,YX,0.0,0.0,4.0,6.61558301860432e-10,7.950786589999356e-08,0.0,0.0,
0.01,0.0,YY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,YY,0.0,0.0,0.5,2.9546647481813728e-09,-3.9618140625780063e-10,-0.0,0.0,
0.01,0.0,YY,0.0,0.0,1.0,-3.95674915951982e-09,1.8643179301632827e-09,0.0,-0.0,
0.01,0.0,YY,0.0,0.0,2.0,1.9113133460572233e-09,-3.9618140625780063e-10,-0.0,0.0,
0.01,0.0,YY,0.0,0.0,4.0,-1.171047382117378e-08,-3.9618140625780063e-10,-0.0,-0.0,
0.01,0.0,YZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,YZ,0.0,0.0,0.5,1.3014651379832504e-09,0.0,0.0,0.0,
0.01,0.0,YZ,0.0,0.0,1.0,-6.008916273340616e-09,0.0,0.0,-0.0,
0.01,0.0,YZ,0.0,0.0,2.0,-1.3667727179067723e-09,0.0,0.0,-0.0,
0.01,0.0,YZ,0.0,0.0,4.0,1.1222943646272084e-08,0.0,0.0,0.0,
0.01,0.0,ZI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,ZI,0.0,0.0,0.5,9.003921788748712e-11,2.6826053700000586e-08,0.0,0.0,
0.01,0.0,ZI,0.0,0.0,1.0,1.2162225973851857e-12,4.382369310000048e-08,0.0,0.0,
0.01,0.0,ZI,0.0,0.0,2.0,4.72575341052041e-12,9.653386399998461e-08,0.0,0.0,
0.01,0.0,ZI,0.0,0.0,4.0,1.4966258342714498e-10,1.945994803000009e-07,0.0,0.0,
0.01,0.0,ZX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,ZX,0.0,0.0,0.5,1.6773571712020809e-09,-3.001087959709375e-08,-0.0,0.0,
0.01,0.0,ZX,0.0,0.0,1.0,-1.7463355033832032e-09,-4.7680214051529246e-08,-0.0,-0.0,
0.01,0.0,ZX,0.0,0.0,2.0,1.067227280867415e-09,-7.951190853770524e-08,-0.0,0.0,
0.01,0.0,ZX,0.0,0.0,4.0,-5.867108999622447e-09,-1.5083640813290226e-07,-0.0,-0.0,
0.01,0.0,ZY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,ZY,0.0,0.0,0.5,-1.519304134627719e-10,-2.6496328050466113e-09,-0.0,-0.0,
0.01,0.0,ZY,0.0,0.0,1.0,1.0783761560312164e-09,-2.6496328050466113e-09,-0.0,0.0,
0.01,0.0,ZY,0.0,0.0,2.0,1.0114651308021121e-09,-2.6496328050466113e-09,-0.0,0.0,
0.01,0.0,ZY,0.0,0.0,4.0,7.198791293177924e-09,-1.5987251272722538e-09,-0.0,0.0,
0.01,0.0,ZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,0.0,ZZ,0.0,0.0,0.5,-1.2879822714343967e-16,3.398399511216207e-09,0.0,-0.0,
0.01,0.0,ZZ,0.0,0.0,1.0,1.4763627934714488e-16,-1.6010414966450429e-09,-0.0,0.0,
0.01,0.0,ZZ,0.0,0.0,2.0,-9.396419243823079e-17,5.7991307160791435e-09,0.0,-0.0,
0.01,0.0,ZZ,0.0,0.0,4.0,4.548413189304008e-16,1.5346157035238395e-08,0.0,0.0,
1.0,0.0,IX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,IX,0.0,0.0,0.5,2.025560574923846e-09,0.0003193070487067,0.0,0.0,
1.0,0.0,IX,0.0,0.0,1.0,7.689487898214149e-09,0.0006376147371092,0.0,0.0,
1.0,0.0,IX,0.0,0.0,2.0,7.340857323771178e-09,0.0012712755262628,0.0,0.0,
1.0,0.0,IX,0.0,0.0,4.0,9.17787041282837e-09,0.0025268626309948,0.0,0.0,
1.0,0.0,IY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,IY,0.0,0.0,0.5,-3.0100335869766634e-09,-2.4550434742583757e-08,-0.0,-0.0,
1.0,0.0,IY,0.0,0.0,1.0,4.210218462839819e-09,-4.8626385379393834e-08,-0.0,0.0,
1.0,0.0,IY,0.0,0.0,2.0,-3.010410297414506e-09,-8.662902118367684e-08,-0.0,-0.0,
1.0,0.0,IY,0.0,0.0,4.0,-1.0810750377482382e-09,-1.7801003351060004e-07,-0.0,-0.0,
1.0,0.0,IZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,IZ,0.0,0.0,0.5,1.874670988840133e-10,3.1458923999984865e-08,0.0,0.0,
1.0,0.0,IZ,0.0,0.0,1.0,6.365499057102455e-10,5.479248539998552e-08,0.0,0.0,
1.0,0.0,IZ,0.0,0.0,2.0,-1.5679047635160664e-10,1.1216671749999575e-07,0.0,-0.0,
1.0,0.0,IZ,0.0,0.0,4.0,6.05091491193861e-11,2.383330366999769e-07,0.0,0.0,
1.0,0.0,XI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,XI,0.0,0.0,0.5,1.244245488633086e-08,0.0003193066182229,0.0,0.0,
1.0,0.0,XI,0.0,0.0,1.0,6.344882737093708e-09,0.0006376199559413999,0.0,0.0,
1.0,0.0,XI,0.0,0.0,2.0,1.0015169599790025e-08,0.0012712644222858,0.0,0.0,
1.0,0.0,XI,0.0,0.0,4.0,1.1159209634170042e-08,0.0025268515873354,0.0,0.0,
1.0,0.0,XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,XX,0.0,0.0,0.5,-2.060579507219898e-05,7.748384492909998e-05,0.0,-0.0,
1.0,0.0,XX,0.0,0.0,1.0,-4.088084437610037e-05,0.00015549916568210006,0.0,-0.0,
1.0,0.0,XX,0.0,0.0,2.0,-8.044023700599923e-05,0.00031306688001459996,0.0,-0.0,
1.0,0.0,XX,0.0,0.0,4.0,-0.0001555532513458982,0.0006342491771569,0.0,-0.0,
1.0,0.0,XY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,XY,0.0,0.0,0.5,-6.147986423826472e-10,2.181804159998653e-08,0.0,-0.0,
1.0,0.0,XY,0.0,0.0,1.0,-1.6322697160635746e-10,5.013727809999443e-08,0.0,-0.0,
1.0,0.0,XY,0.0,0.0,2.0,-1.0534057912824523e-08,9.782137479999887e-08,0.0,-0.0,
1.0,0.0,XY,0.0,0.0,4.0,-5.251176090522646e-09,1.790727325000081e-07,0.0,-0.0,
1.0,0.0,XZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,XZ,0.0,0.0,0.5,8.790335016599494e-11,-2.870888802131589e-08,-0.0,0.0,
1.0,0.0,XZ,0.0,0.0,1.0,2.308255449760216e-09,-5.532697387316014e-08,-0.0,0.0,
1.0,0.0,XZ,0.0,0.0,2.0,4.605152566373694e-11,-1.2207280154069838e-07,-0.0,0.0,
1.0,0.0,XZ,0.0,0.0,4.0,1.5692372624535486e-09,-2.3804179584378392e-07,-0.0,0.0,
1.0,0.0,YI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.0,YI,0.0,0.0,0.5,1.970603952752151e-09,-2.3975810862760048e-08,-0.0,0.0,
1.0,0.0,YI,0.0,0.0,1.0,-1.6032321849205941e-09,-4.4051523907917404e-08,-0.0,-0.0,
