model,scope,nbar,count,mae,rmse,max_abs_residual,nrmse_to_max_abs_extra,r_squared
per_nbar_rate_product,all,,80,3.503607682455536e-08,5.134921039405274e-08,1.755845821984461e-07,0.002299275015715056,0.9998348546307351
per_nbar_rate_product,nbar,0.01,16,1.1496930176897254e-08,1.3986205546527271e-08,2.471867178605565e-08,0.01390940848308341,0.9969175281842045
per_nbar_rate_product,nbar,1.0,16,1.2561715737316934e-08,1.5753498347724735e-08,3.028494327485781e-08,0.0020813398350146037,0.9999301801576432
per_nbar_rate_product,nbar,2.0,16,3.1163049069805314e-08,3.96072160628174e-08,7.981190798728695e-08,0.0029892329927541966,0.9998560231151071
per_nbar_rate_product,nbar,3.0,16,4.472289037785251e-08,5.291428606144839e-08,1.1173675746885514e-07,0.002930169894190957,0.9998618869823158
per_nbar_rate_product,nbar,4.0,16,7.523579876090482e-08,9.149462908303693e-08,1.755845821984461e-07,0.004096875358128352,0.9997289681621495
global_pauli_gamma_overlap,all,,80,1.6169667374813362e-07,3.282114771410455e-07,1.9882632021365424e-06,0.01469639831791342,0.993253067141584
global_pauli_gamma_overlap,nbar,0.01,16,4.3986580620619605e-07,6.61433674575738e-07,1.9882632021365424e-06,0.6578017986032794,-5.894009932788118
global_pauli_gamma_overlap,nbar,1.0,16,1.744710018791459e-07,2.6908688271994577e-07,8.248164333212101e-07,0.03555154770850089,0.979629115070475
global_pauli_gamma_overlap,nbar,2.0,16,1.7953112001958484e-08,2.9626305402116128e-08,1.0075720466742907e-07,0.0022359544134826484,0.9999194437708327
global_pauli_gamma_overlap,nbar,3.0,16,6.253300658498365e-08,8.111196071500053e-08,1.990678906690956e-07,0.004491638138514998,0.9996754672482978
global_pauli_gamma_overlap,nbar,4.0,16,1.1366044206838392e-07,1.4579006885938032e-07,3.7169531864216483e-07,0.006528074342241003,0.9993118470270187
shared_motion_linear_nbar,all,,80,1.4400208611217153e-07,2.2746717333763729e-07,8.885987692862001e-07,0.010185348217372592,0.996759318704208
shared_motion_linear_nbar,nbar,0.01,16,1.8546241546599056e-07,2.7646109806983674e-07,8.303597333414096e-07,0.2749430737266652,-0.20439060382258956
shared_motion_linear_nbar,nbar,1.0,16,1.0728294170849112e-07,1.5235593545531387e-07,4.2686385019207154e-07,0.020129146591103538,0.9934695426637293
shared_motion_linear_nbar,nbar,2.0,16,2.0165010228234537e-07,2.7774016497701583e-07,7.481269079402929e-07,0.02096158597073667,0.9929201914120941
shared_motion_linear_nbar,nbar,3.0,16,8.84255721354019e-08,1.107102530703294e-07,2.5817821047418754e-07,0.006130666681361279,0.9993954051830212
shared_motion_linear_nbar,nbar,4.0,16,1.3718939896862862e-07,2.639453457446704e-07,8.885987692862001e-07,0.011818739457292258,0.9977444257657905
