condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_0e752ad71c6095d9,0.01,0.9981942132586266,0.0018057867413734385,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,1.0,0.9971722160941908,0.002827783905809178,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,2.0,0.995479686228465,0.004520313771534945,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,3.0,0.9931868499290545,0.006813150070945517,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,4.0,0.9903471341125399,0.00965286588746006,40.0,0.0,0.0,0.0,False
rates_15e2db7947d1c0fd,0.01,0.9977123752480533,0.0022876247519466597,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,1.0,0.9960383033872902,0.003961696612709842,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,2.0,0.9937250716038918,0.006274928396108215,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,3.0,0.9908506213735325,0.009149378626467475,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,4.0,0.9874689837509514,0.012531016249048621,40.0,18.0,0.0,0.0,False
rates_17830da3b3822d7d,0.01,0.9976332995773525,0.0023667004226475274,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,1.0,0.994004970219925,0.005995029780075045,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,2.0,0.9898597965522914,0.010140203447708607,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,3.0,0.9852923044807074,0.01470769551929263,5.0,72.0,0.0,0.0,False
rates_17830da3b3822d7d,4.0,0.98035289207603,0.019647107923969953,5.0,72.0,0.0,0.0,False
rates_2524745c632f6db4,0.01,0.9988784756756086,0.0011215243243913875,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,1.0,0.99717884171076,0.002821158289240011,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,2.0,0.9948400676119163,0.0051599323880836545,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,3.0,0.9919401301640501,0.008059869835949862,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,4.0,0.9885334510884896,0.011466548911510444,10.0,18.0,0.0,0.0,False
rates_32d7c04b5236f41d,0.01,0.9970507423483081,0.00294925765169185,20.0,72.0,0.0,0.0,False
rates_32d7c04b5236f41d,1.0,0.9934385022296894,0.006561497770310565,20.0,72.0,0.0,0.0,False
