nbar,sweep,phonon_dim,time_points,solver_max_step,auto_phonon_dim,infidelity,reference_infidelity,abs_delta_to_reference,relative_delta_to_reference
0.01,phonon_cutoff,20,500,,20,0.0002487673605273688,0.0002483060188716024,4.6134165576638964e-07,0.001857955992621132
0.01,phonon_cutoff,25,500,,20,0.0002487591541416867,0.0002483060188716024,4.5313527008428167e-07,0.0018249065090870603
0.01,phonon_cutoff,30,500,,20,0.0002487410731626394,0.0002483060188716024,4.350542910369626e-07,0.0017520891882283635
0.01,time_grid,30,500,0.025183107443605555,20,0.0002487601613523349,0.0002483060188716024,4.541424807325001e-07,0.0018289628370520268
0.01,time_grid,30,750,0.01677753086029262,20,0.0002485033756052246,0.0002483060188716024,1.973567336222004e-07,0.0007948125241549317
0.01,time_grid,30,1000,0.012578949563923095,20,0.0002483060188716024,0.0002483060188716024,0.0,0.0
4.0,phonon_cutoff,67,500,,67,0.008221458661246017,0.008219624303712036,1.8343575339807572e-06,0.0002231680507772538
4.0,phonon_cutoff,84,500,,67,0.008221102962610916,0.008219624303712036,1.4786588988791038e-06,0.00017989373288160285
4.0,phonon_cutoff,101,500,,67,0.00822106936062994,0.008219624303712036,1.445056917903642e-06,0.0001758057138026424
4.0,time_grid,101,500,0.025183107443605555,67,0.008221078924524838,0.008219624303712036,1.454620812801899e-06,0.00017696925784612595
4.0,time_grid,101,750,0.01677753086029262,67,0.008220430766683329,0.008219624303712036,8.064629712922766e-07,9.811433485202877e-05
4.0,time_grid,101,1000,0.012578949563923095,67,0.008219624303712036,0.008219624303712036,0.0,0.0
