nbar,sweep,phonon_dim,time_points,solver_max_step,auto_phonon_dim,infidelity
0.01,phonon_cutoff,20,500,,20,0.0002487673605273688
0.01,phonon_cutoff,25,500,,20,0.0002487591541416867
0.01,phonon_cutoff,30,500,,20,0.0002487410731626394
0.01,time_grid,30,500,0.025183107443605555,20,0.0002487601613523349
0.01,time_grid,30,750,0.01677753086029262,20,0.0002485033756052246
0.01,time_grid,30,1000,0.012578949563923095,20,0.0002483060188716024
4.0,phonon_cutoff,67,500,,67,0.008221458661246017
4.0,phonon_cutoff,84,500,,67,0.008221102962610916
4.0,phonon_cutoff,101,500,,67,0.00822106936062994
4.0,time_grid,101,500,0.025183107443605555,67,0.008221078924524838
4.0,time_grid,101,750,0.01677753086029262,67,0.008220430766683329
4.0,time_grid,101,1000,0.012578949563923095,67,0.008219624303712036
