pair_id,source_i,source_j,varied_source,fixed_source,varied_multiplier,varied_strength_s^-1,fixed_multiplier,fixed_strength_s^-1,condition_id,varied_single_condition_id,fixed_single_condition_id,zero_condition_id
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_heating,motional_dephasing,0.0,0.0,1.0,18.0,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_heating,motional_dephasing,0.5,5.0,1.0,18.0,rates_935232b07d52685d,rates_d40c9e1dbffac54a,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_heating,motional_dephasing,1.0,10.0,1.0,18.0,rates_2524745c632f6db4,rates_a8953962d6e58e19,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_heating,motional_dephasing,2.0,20.0,1.0,18.0,rates_3fa0e6fcd1bc3bb5,rates_95304e3098130ea3,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_heating,motional_dephasing,4.0,40.0,1.0,18.0,rates_15e2db7947d1c0fd,rates_0e752ad71c6095d9,rates_65e4c1ad12cf1435,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_dephasing,motional_heating,0.0,0.0,1.0,10.0,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_dephasing,motional_heating,0.5,9.0,1.0,10.0,rates_6d2ebea4f1e4f35a,rates_70251d48c79bc447,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_dephasing,motional_heating,1.0,18.0,1.0,10.0,rates_2524745c632f6db4,rates_65e4c1ad12cf1435,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_dephasing,motional_heating,2.0,36.0,1.0,10.0,rates_590721c3770d8a77,rates_7f1e3dd0f07550fa,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__motional_dephasing,motional_heating,motional_dephasing,motional_dephasing,motional_heating,4.0,72.0,1.0,10.0,rates_8142d8384202664f,rates_e627b957213b2032,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,motional_heating,spin_dephasing,0.0,0.0,1.0,3.3333333333333335,rates_87cf81c0f802ee14,rates_7283b228c09abbcb,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,motional_heating,spin_dephasing,0.5,5.0,1.0,3.3333333333333335,rates_62f303442749859c,rates_d40c9e1dbffac54a,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,motional_heating,spin_dephasing,1.0,10.0,1.0,3.3333333333333335,rates_16ce2bd9b8d23759,rates_a8953962d6e58e19,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,motional_heating,spin_dephasing,2.0,20.0,1.0,3.3333333333333335,rates_504018cf22914d71,rates_95304e3098130ea3,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,motional_heating,spin_dephasing,4.0,40.0,1.0,3.3333333333333335,rates_cf9789eef004e0c0,rates_0e752ad71c6095d9,rates_87cf81c0f802ee14,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,spin_dephasing,motional_heating,0.0,0.0,1.0,10.0,rates_a8953962d6e58e19,rates_7283b228c09abbcb,rates_a8953962d6e58e19,rates_7283b228c09abbcb
motional_heating__spin_dephasing,motional_heating,spin_dephasing,spin_dephasing,motional_heating,0.5,1.6666666666666667,1.0,10.0,rates_c359844b45a07d98,rates_a6ce76b38e46ff5e,rates_a8953962d6e58e19,rates_7283b228c09abbcb
