condition_id,nbar,F_avg,infidelity,motional_heating_s^-1,motional_dephasing_s^-1,spin_dephasing_s^-1,photon_scattering_s^-1,is_all_noise_zero
rates_0ddd426d8d9d7e11,0.01,0.999081527603326,0.000918472396673975,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,1.0,0.9980366145633418,0.0019633854366581938,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,2.0,0.9963210634113036,0.0036789365886964465,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,3.0,0.9940053157776904,0.005994684222309643,10.0,0.0,0.0,2.0,False
rates_0ddd426d8d9d7e11,4.0,0.9911431466588156,0.008856853341184356,10.0,0.0,0.0,2.0,False
rates_0e752ad71c6095d9,0.01,0.9981942132586266,0.0018057867413734385,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,1.0,0.9971722160941908,0.002827783905809178,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,2.0,0.995479686228465,0.004520313771534945,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,3.0,0.9931868499290545,0.006813150070945517,40.0,0.0,0.0,0.0,False
rates_0e752ad71c6095d9,4.0,0.9903471341125399,0.00965286588746006,40.0,0.0,0.0,0.0,False
rates_14c3539000a4de2d,0.01,0.9986857914542355,0.0013142085457644725,0.0,0.0,13.333333333333334,0.0,False
rates_14c3539000a4de2d,1.0,0.9976340477317628,0.0023659522682372147,0.0,0.0,13.333333333333334,0.0,False
rates_14c3539000a4de2d,2.0,0.9959123231924831,0.004087676807516871,0.0,0.0,13.333333333333334,0.0,False
rates_14c3539000a4de2d,3.0,0.9935909001597579,0.006409099840242072,0.0,0.0,13.333333333333334,0.0,False
rates_14c3539000a4de2d,4.0,0.9907236977845493,0.009276302215450727,0.0,0.0,13.333333333333334,0.0,False
rates_15e2db7947d1c0fd,0.01,0.9977123752480533,0.0022876247519466597,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,1.0,0.9960383033872902,0.003961696612709842,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,2.0,0.9937250716038918,0.006274928396108215,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,3.0,0.9908506213735325,0.009149378626467475,40.0,18.0,0.0,0.0,False
rates_15e2db7947d1c0fd,4.0,0.9874689837509514,0.012531016249048621,40.0,18.0,0.0,0.0,False
rates_16ce2bd9b8d23759,0.01,0.9990948558302591,0.0009051441697408569,10.0,0.0,3.3333333333333335,0.0,False
rates_16ce2bd9b8d23759,1.0,0.9980498756155152,0.0019501243844848304,10.0,0.0,3.3333333333333335,0.0,False
rates_16ce2bd9b8d23759,2.0,0.9963343166021434,0.003665683397856556,10.0,0.0,3.3333333333333335,0.0,False
rates_16ce2bd9b8d23759,3.0,0.9940185420146299,0.005981457985370087,10.0,0.0,3.3333333333333335,0.0,False
rates_16ce2bd9b8d23759,4.0,0.9911563112214117,0.008843688778588321,10.0,0.0,3.3333333333333335,0.0,False
rates_1956bc5693502c6b,0.01,0.9987088939939234,0.0012911060060766255,0.0,18.0,0.0,4.0,False
rates_1956bc5693502c6b,1.0,0.9970019499990379,0.0029980500009620936,0.0,18.0,0.0,4.0,False
rates_1956bc5693502c6b,2.0,0.9946562360277411,0.005343763972258886,0.0,18.0,0.0,4.0,False
rates_1956bc5693502c6b,3.0,0.991749838401951,0.008250161598049033,0.0,18.0,0.0,4.0,False
rates_1956bc5693502c6b,4.0,0.9883372338150618,0.011662766184938222,0.0,18.0,0.0,4.0,False
rates_1a9c026201883970,0.01,0.9989967448541108,0.0010032551458891703,5.0,0.0,0.0,4.0,False
rates_1a9c026201883970,1.0,0.9979482548756534,0.0020517451243465823,5.0,0.0,0.0,4.0,False
rates_1a9c026201883970,2.0,0.9962294080402128,0.0037705919597872395,5.0,0.0,0.0,4.0,False
rates_1a9c026201883970,3.0,0.9939104859518031,0.006089514048196909,5.0,0.0,0.0,4.0,False
rates_1a9c026201883970,4.0,0.9910454103223337,0.00895458967766627,5.0,0.0,0.0,4.0,False
rates_2524745c632f6db4,0.01,0.9988784756756086,0.0011215243243913875,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,1.0,0.99717884171076,0.002821158289240011,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,2.0,0.9948400676119163,0.0051599323880836545,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,3.0,0.9919401301640501,0.008059869835949862,10.0,18.0,0.0,0.0,False
rates_2524745c632f6db4,4.0,0.9885334510884896,0.011466548911510444,10.0,18.0,0.0,0.0,False
rates_25f65c81072ccd16,0.01,0.9981270907043079,0.00187290929569206,0.0,0.0,13.333333333333334,4.0,False
rates_25f65c81072ccd16,1.0,0.9970760685286933,0.002923931471306651,0.0,0.0,13.333333333333334,4.0,False
rates_25f65c81072ccd16,2.0,0.9953555468561378,0.004644453143862193,0.0,0.0,13.333333333333334,4.0,False
rates_25f65c81072ccd16,3.0,0.9930357475041575,0.006964252495842538,0.0,0.0,13.333333333333334,4.0,False
