pair_id,source_i,source_j,nbar,finest_epsilon,finest_kappa_multiplier,kappa_multiplier_zero_rate,kappa_physical_s2_zero_rate,coarse_extrapolated_kappa_multiplier,extrapolation_difference,relative_extrapolation_difference
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.01,0.125,-3.2263527892720245e-07,-6.272102689259748e-07,-8.711253735082984e-09,3.3576215800247035e-07,9.629724269284452e-07,1.5353263086355782
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,1.0,0.125,-1.5389441473945276e-06,-2.0459995744986914e-06,-2.841666075692627e-08,-1.313545061947148e-06,7.324545125515433e-07,0.35799348234518014
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,2.0,0.125,-2.4913990492869686e-07,7.425005689731812e-07,1.0312507902405294e-08,-1.2160364300916465e-06,1.9585369990648277e-06,2.6377582468028646
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,3.0,0.125,-2.9720463752269666e-06,-4.200915037833042e-06,-5.834604219212558e-08,-1.9698436840610845e-06,2.2310713537719573e-06,0.5310917582667444
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,4.0,0.125,-1.9694716235640897e-06,-1.8666464655092696e-06,-2.5925645354295412e-08,-2.0115320602878684e-06,1.4488559477859875e-07,0.07761812290420521
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.01,0.125,-4.771124779597014e-07,-7.733278047745637e-07,-1.2888796746242728e-08,-1.0237072327811889e-07,6.709570814964448e-07,0.8676231183644542
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,1.0,0.125,-1.2364895968230982e-07,1.2509211948230625e-07,2.0848686580384374e-09,-3.7551640316366153e-07,5.006085226459678e-07,4.0019189435572455
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,2.0,0.125,1.406274245940864e-07,5.677928966441037e-07,9.463214944068395e-09,5.618706620282021e-08,5.116058304412835e-07,0.9010430272465373
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,3.0,0.125,-1.919062314392761e-06,-2.4323505944945367e-06,-4.053917657490895e-08,-2.0785993813943193e-06,3.537512131002174e-07,0.14543594739216859
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,4.0,0.125,-2.799975260980858e-06,-4.2982299671701085e-06,-7.16371661195018e-08,-1.7244801605656446e-06,2.573749806604464e-06,0.5987929511130795
motional_heating__motional_dephasing,motional_heating,motional_dephasing,0.01,0.125,-2.2833071832220608e-07,-5.125951213309429e-07,-2.847750674060794e-09,5.103148281733038e-07,1.0229099495042467e-06,1.9955514731554245
motional_heating__motional_dephasing,motional_heating,motional_dephasing,1.0,0.125,-1.570813715712216e-06,-1.939288690813723e-06,-1.0773826060076239e-08,-1.368639435220774e-06,5.70649255592949e-07,0.2942569913886856
motional_heating__motional_dephasing,motional_heating,motional_dephasing,2.0,0.125,-2.7067282848403096e-06,-3.623735848778953e-06,-2.0131865826549736e-08,-1.799538442603249e-06,1.8241974061757038e-06,0.5034024228864203
motional_heating__motional_dephasing,motional_heating,motional_dephasing,3.0,0.125,-1.9168031011318476e-06,-1.5283974830193614e-06,-8.491097127885341e-09,-2.4376962872892094e-06,9.09298804269848e-07,0.5949360780636206
motional_heating__motional_dephasing,motional_heating,motional_dephasing,4.0,0.125,-1.4141861064409511e-06,2.330269189831924e-07,1.2945939943510688e-09,-3.2270064893244466e-06,3.460033408307639e-06,14.848213345502808
motional_heating__photon_scattering,motional_heating,photon_scattering,0.01,0.125,1.3325382908317696e-06,2.8203965604283246e-06,7.050991401070812e-08,6.360950924213897e-08,2.7567870511861856e-06,0.9774466079931402
motional_heating__photon_scattering,motional_heating,photon_scattering,1.0,0.125,-1.1122807494490239e-06,-1.7924227456306285e-06,-4.481056864076571e-08,-5.368278733174081e-07,1.2555948723132204e-06,0.7005015280987545
motional_heating__photon_scattering,motional_heating,photon_scattering,2.0,0.125,-3.902554117640733e-07,-3.3622131617727646e-07,-8.405532904431912e-09,-6.535824628017134e-07,3.1736114662443693e-07,0.9439054912779673
motional_heating__photon_scattering,motional_heating,photon_scattering,3.0,0.125,6.732538073705996e-07,1.0855576599855254e-06,2.7138941499638137e-08,8.134807118337362e-07,2.720769481517893e-07,0.2506333455888627
motional_heating__photon_scattering,motional_heating,photon_scattering,4.0,0.125,3.8577356287206044e-07,1.2106707266701378e-06,3.0266768166753445e-08,-4.0149495617730624e-07,1.612165682847444e-06,1.331630184271151
motional_heating__spin_dephasing,motional_heating,spin_dephasing,0.01,0.125,3.8265413727575637e-07,8.360885767237994e-07,2.508265730171398e-08,6.050354156485888e-08,7.755850351589405e-07,0.927635009914929
motional_heating__spin_dephasing,motional_heating,spin_dephasing,1.0,0.125,-6.129405266674937e-08,-2.224362589953177e-08,-6.673087769859531e-10,-9.896394816393678e-08,7.6720322264405e-08,3.4490924551118245
motional_heating__spin_dephasing,motional_heating,spin_dephasing,2.0,0.125,-1.5344643562453797e-06,-3.129785865640944e-06,-9.38935759692283e-08,2.466368979967687e-07,3.3764227636377125e-06,1.0788031221894028
motional_heating__spin_dephasing,motional_heating,spin_dephasing,3.0,0.125,2.708770656667525e-07,6.097654792203144e-07,1.8292964376609432e-08,3.887522460194193e-09,6.058779567601202e-07,0.9936245612572804
motional_heating__spin_dephasing,motional_heating,spin_dephasing,4.0,0.125,-9.424783988798424e-07,-1.0293852042986273e-06,-3.0881556128958816e-08,-1.6269250680892022e-06,5.975398637905749e-07,0.5804822735894182
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,0.01,0.125,1.4712023897016369e-06,2.9818358969939743e-06,2.2363769227454805e-07,2.058966768465724e-07,2.775939220147402e-06,0.9309496954362447
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,1.0,0.125,-1.881122159541615e-06,-3.3701618281228862e-06,-2.5276213710921645e-07,-4.957917274237347e-07,2.8743701006991515e-06,0.8528878574059807
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,2.0,0.125,-7.81614806211195e-08,-7.77431493070857e-08,-5.830736198031427e-09,1.4308453815878308e-07,2.2082768746586878e-07,2.8404777711486666
spin_dephasing__photon_scattering,spin_dephasing,photon_scattering,3.0,0.125,-1.814671898081599e-06,-3.412226884824676e-06,-2.559170163618507e-07,-2.495307019449722e-07,3.162696182879704e-06,0.9268715972391169
