pair_id,source_i,source_j,epsilon_multiplier,condition_id,single_i_condition_id,single_j_condition_id,zero_condition_id,nbar,pair_infidelity,single_i_infidelity,single_j_infidelity,zero_infidelity,interaction_infidelity,kappa_multiplier,kappa_physical_s2
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,rates_81677bfe42e2c55f,rates_70251d48c79bc447,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,0.01,0.0007702782189117352,0.0004905090038785,0.0005286263298017,0.0002487641440845,-9.297068396483263e-08,-3.7188273585933053e-07,-5.165037998046257e-09
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.25,rates_9668876484cef94a,rates_5d0830fbd54877b3,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,0.01,0.0005096156551618325,0.0003696741231623557,0.0003887068048520348,0.0002487641440845,-1.1287680580268807e-09,-1.806028892843009e-08,-2.508373462281957e-10
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.125,rates_a5811adec7be29e2,rates_d020294e2819f325,rates_7e6b386b306245c2,rates_7283b228c09abbcb,0.01,0.00037920594092000215,0.00030924625284356466,0.0003187288733371707,0.0002487641440845,-5.041176233237538e-09,-3.2263527892720245e-07,-4.48104554065559e-09
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,rates_81677bfe42e2c55f,rates_70251d48c79bc447,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,1.0,0.0021512749970410416,0.001871974006538,0.0015813673514564,0.0013018788028587,-1.8755809465839483e-07,-7.502323786335793e-07,-1.0419894147688601e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.25,rates_9668876484cef94a,rates_5d0830fbd54877b3,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,1.0,0.0017269086013907975,0.0015871999345968835,0.001441651962697632,0.0013018788028587,-6.449304501814773e-08,-1.0318887202903637e-06,-1.4331787781810607e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.125,rates_a5811adec7be29e2,rates_d020294e2819f325,rates_7e6b386b306245c2,rates_7283b228c09abbcb,1.0,0.0015144568110165846,0.0014445910988623023,0.0013717685610152852,0.0013018788028587,-2.4046002303039493e-08,-1.5389441473945276e-06,-2.1374224269368437e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,rates_81677bfe42e2c55f,rates_70251d48c79bc447,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,2.0,0.004187688053843508,0.0039091162522086,0.0033047811572902,0.0030258929745734,-3.163810818923758e-07,-1.2655243275695033e-06,-1.7576726771798658e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.25,rates_9668876484cef94a,rates_5d0830fbd54877b3,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,2.0,0.0036075107558559694,0.0034681344127676095,0.0031653468664354367,0.0030258929745734,-7.754877367691093e-08,-1.240780378830575e-06,-1.7233060817091317e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.125,rates_a5811adec7be29e2,rates_d020294e2819f325,rates_7e6b386b306245c2,rates_7283b228c09abbcb,2.0,0.0033168791888954496,0.0032471605703363604,0.0030956154859435037,0.0030258929745734,-3.8928110145108885e-09,-2.4913990492869686e-07,-3.460276457343012e-09
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,rates_81677bfe42e2c55f,rates_70251d48c79bc447,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,3.0,0.006805165802385105,0.0065274971072746,0.0056284731390515,0.0053504253160057,-3.791279352951746e-07,-1.5165117411806983e-06,-2.1062663071954142e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.25,rates_9668876484cef94a,rates_5d0830fbd54877b3,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,3.0,0.006078996066610665,0.005940070522135299,0.005489459809088104,0.0053504253160057,-1.0894860703880571e-07,-1.7431777126208914e-06,-2.4210801564179047e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.125,rates_a5811adec7be29e2,rates_d020294e2819f325,rates_7e6b386b306245c2,rates_7283b228c09abbcb,3.0,0.005715005503388992,0.005645518794657689,0.005419958462961616,0.0053504253160057,-4.643822461292135e-08,-2.9720463752269666e-06,-4.1278421878152315e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.5,rates_81677bfe42e2c55f,rates_70251d48c79bc447,rates_cba05db5d91a70e1,rates_7283b228c09abbcb,4.0,0.009949349284028464,0.0096728023401937,0.0084985172100573,0.0082214370008468,-5.332653757374878e-07,-2.133061502949951e-06,-2.962585420763821e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.25,rates_9668876484cef94a,rates_5d0830fbd54877b3,rates_9665eae4dd26eecd,rates_7283b228c09abbcb,4.0,0.00908721974683735,0.008948810228854298,0.008359976037378702,0.0082214370008468,-1.2951854885118186e-07,-2.0722967816189097e-06,-2.878189974470708e-08
motional_dephasing__photon_scattering,motional_dephasing,photon_scattering,0.125,rates_a5811adec7be29e2,rates_d020294e2819f325,rates_7e6b386b306245c2,rates_7283b228c09abbcb,4.0,0.008654779952316227,0.008585538222855127,0.008290709503302018,0.0082214370008468,-3.07729941181889e-08,-1.9694716235640897e-06,-2.7353772549501244e-08
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.5,rates_d3709cb034eafd9f,rates_70251d48c79bc447,rates_a6ce76b38e46ff5e,rates_7283b228c09abbcb,0.01,0.0006237384391758471,0.0004905090038785,0.0003820584352766,0.0002487641440845,-6.485589475288978e-08,-2.5942357901155913e-07,-4.323726316859319e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.25,rates_8009cb4450589c6b,rates_5d0830fbd54877b3,rates_19b7663e2fbbc419,rates_7283b228c09abbcb,0.01,0.00043629936188227525,0.0003696741231623557,0.0003154006888763661,0.0002487641440845,-1.1306071946552438e-08,-1.80897151144839e-07,-3.0149525190806502e-09
motional_dephasing__spin_dephasing,motional_dephasing,spin_dephasing,0.125,rates_8e3afbc2a44b8b1b,rates_d020294e2819f325,rates_51cf49f8b796b1a4,rates_7283b228c09abbcb,0.01,0.00034256518322128837,0.00030924625284356466,0.0002820905293446918,0.0002487641440845,-7.454882468120334e-09,-4.771124779597014e-07,-7.951874632661688e-09
