noise_source,multiplier,varied_strength_s^-1,nbar,F_avg,infidelity
motional_dephasing,0.0,0.0,0.01,0.9985357870584786,0.0014642129415214367
motional_dephasing,0.0,0.0,1.0,0.997491529244941,0.002508470755059
motional_dephasing,0.0,0.0,2.0,0.995777203401451,0.004222796598548961
motional_dephasing,0.0,0.0,3.0,0.9934629917068598,0.00653700829314019
motional_dephasing,0.0,0.0,4.0,0.9906028022221666,0.009397197777833433
motional_dephasing,0.5,9.0,0.01,0.9982944565299885,0.0017055434700115057
motional_dephasing,0.5,9.0,1.0,0.9969225708241964,0.003077429175803559
motional_dephasing,0.5,9.0,2.0,0.9948957798164134,0.005104220183586583
motional_dephasing,0.5,9.0,3.0,0.992288328527762,0.0077116714722379465
motional_dephasing,0.5,9.0,4.0,0.9891543822200728,0.010845617779927208
motional_dephasing,1.0,18.0,0.01,0.9980534984699932,0.00194650153000675
motional_dephasing,1.0,18.0,1.0,0.9963556726182803,0.003644327381719714
motional_dephasing,1.0,18.0,2.0,0.9940192890881148,0.005980710911885234
motional_dephasing,1.0,18.0,3.0,0.9911223545863443,0.008877645413655655
motional_dephasing,1.0,18.0,4.0,0.9877192347413615,0.012280765258638526
motional_dephasing,2.0,36.0,0.01,0.9975727172251985,0.0024272827748015313
motional_dephasing,2.0,36.0,1.0,0.9952279010900422,0.004772098909957778
motional_dephasing,2.0,36.0,2.0,0.9922808563194545,0.007719143680545493
motional_dephasing,2.0,36.0,3.0,0.9888161519604168,0.011183848039583166
motional_dephasing,2.0,36.0,4.0,0.9848876981014222,0.015112301898577818
motional_dephasing,4.0,72.0,0.01,0.9966155615941374,0.0033844384058625554
motional_dephasing,4.0,72.0,1.0,0.9929963811595599,0.007003618840440096
motional_dephasing,4.0,72.0,2.0,0.9888607882752977,0.011139211724702336
motional_dephasing,4.0,72.0,3.0,0.984303140085171,0.015696859914829053
motional_dephasing,4.0,72.0,4.0,0.9793737701040742,0.020626229895925774
motional_heating,0.0,0.0,0.01,0.9984427695085113,0.0015572304914887036
motional_heating,0.0,0.0,1.0,0.9967363619865788,0.0032636380134212217
motional_heating,0.0,0.0,2.0,0.9943914460166174,0.005608553983382558
motional_heating,0.0,0.0,3.0,0.991485993454399,0.008514006545600972
motional_heating,0.0,0.0,4.0,0.988074509552925,0.011925490447075027
motional_heating,0.5,5.0,0.01,0.9982480575311744,0.0017519424688255958
motional_heating,0.5,5.0,1.0,0.9965459310884552,0.003454068911544761
motional_heating,0.5,5.0,2.0,0.9942053170946586,0.005794682905341353
motional_heating,0.5,5.0,3.0,0.9913041190519465,0.008695880948053514
motional_heating,0.5,5.0,4.0,0.9878968288875992,0.012103171112400779
motional_heating,1.0,10.0,0.01,0.9980534984699932,0.00194650153000675
motional_heating,1.0,10.0,1.0,0.9963556726182803,0.003644327381719714
motional_heating,1.0,10.0,2.0,0.9940192890881148,0.005980710911885234
motional_heating,1.0,10.0,3.0,0.9911223545863443,0.008877645413655655
motional_heating,1.0,10.0,4.0,0.9877192347413615,0.012280765258638526
motional_heating,2.0,20.0,0.01,0.997664751359921,0.0023352486400789463
motional_heating,2.0,20.0,1.0,0.9959753878644027,0.00402461213559735
motional_heating,2.0,20.0,2.0,0.993647574539364,0.006352425460635969
motional_heating,2.0,20.0,3.0,0.9907591572256418,0.009240842774358216
motional_heating,2.0,20.0,4.0,0.9873643874516743,0.012635612548325681
motional_heating,4.0,40.0,0.01,0.9968886578938492,0.0031113421061508273
motional_heating,4.0,40.0,1.0,0.9952163194360143,0.004783680563985704
motional_heating,4.0,40.0,2.0,0.9929054959242896,0.007094504075710439
motional_heating,4.0,40.0,3.0,0.9900340133346471,0.009965986665352866
motional_heating,4.0,40.0,4.0,0.986655896836894,0.01334410316310597
photon_scattering,0.0,0.0,0.01,0.9986122467799987,0.0013877532200012865
photon_scattering,0.0,0.0,1.0,0.9969131635967123,0.0030868364032876627
photon_scattering,0.0,0.0,2.0,0.9945751591763183,0.005424840823681665
photon_scattering,0.0,0.0,3.0,0.9916761954517919,0.008323804548208136
photon_scattering,0.0,0.0,4.0,0.9882706636983201,0.011729336301679938
photon_scattering,0.5,2.0,0.01,0.9983328124293329,0.0016671875706670836
photon_scattering,0.5,2.0,1.0,0.9966343827983518,0.0033656172016481856
photon_scattering,0.5,2.0,2.0,0.9942971685060293,0.0057028314939706615
photon_scattering,0.5,2.0,3.0,0.99139924053074,0.008600759469259978
photon_scattering,0.5,2.0,4.0,0.9879948960005243,0.012005103999475741
photon_scattering,1.0,4.0,0.01,0.9980534984699932,0.00194650153000675
photon_scattering,1.0,4.0,1.0,0.9963556726182803,0.003644327381719714
photon_scattering,1.0,4.0,2.0,0.9940192890881148,0.005980710911885234
photon_scattering,1.0,4.0,3.0,0.9911223545863443,0.008877645413655655
photon_scattering,1.0,4.0,4.0,0.9877192347413615,0.012280765258638526
photon_scattering,2.0,8.0,0.01,0.9974952311527364,0.002504768847263583
photon_scattering,2.0,8.0,1.0,0.9957985635219864,0.0042014364780136315
photon_scattering,2.0,8.0,2.0,0.993463852193009,0.006536147806990966
photon_scattering,2.0,8.0,3.0,0.9905689954880813,0.009431004511918695
photon_scattering,2.0,8.0,4.0,0.9871682479349179,0.012831752065082136
photon_scattering,4.0,16.0,0.01,0.9963800524614932,0.003619947538506807
photon_scattering,4.0,16.0,1.0,0.9946857569765886,0.005314243023411436
photon_scattering,4.0,16.0,2.0,0.9923543081051627,0.007645691894837325
photon_scattering,4.0,16.0,3.0,0.989463535473947,0.010536464526052947
photon_scattering,4.0,16.0,4.0,0.986067567706289,0.013932432293710995
spin_dephasing,0.0,0.0,0.01,0.9983195285085913,0.0016804714914087082
spin_dephasing,0.0,0.0,1.0,0.9966211062285936,0.0033788937714064327
spin_dephasing,0.0,0.0,2.0,0.994283977284713,0.005716022715287039
spin_dephasing,0.0,0.0,3.0,0.9913860744237681,0.008613925576231862
spin_dephasing,0.0,0.0,4.0,0.9879818113012856,0.012018188698714405
spin_dephasing,0.5,1.6666666666666667,0.01,0.9981864963520988,0.0018135036479012268
spin_dephasing,0.5,1.6666666666666667,1.0,0.9964883582428932,0.0035116417571068315
spin_dephasing,0.5,1.6666666666666667,2.0,0.9941516108222641,0.005848389177735891
spin_dephasing,0.5,1.6666666666666667,3.0,0.9912542201762644,0.008745779823735589
spin_dephasing,0.5,1.6666666666666667,4.0,0.987850520175094,0.012149479824905995
spin_dephasing,1.0,3.3333333333333335,0.01,0.9980534984699932,0.00194650153000675
spin_dephasing,1.0,3.3333333333333335,1.0,0.9963556726182803,0.003644327381719714
spin_dephasing,1.0,3.3333333333333335,2.0,0.9940192890881148,0.005980710911885234
spin_dephasing,1.0,3.3333333333333335,3.0,0.9911223545863443,0.008877645413655655
spin_dephasing,1.0,3.3333333333333335,4.0,0.9877192347413615,0.012280765258638526
spin_dephasing,2.0,6.666666666666667,0.01,0.9977875926029075,0.0022124073970924973
spin_dephasing,2.0,6.666666666666667,1.0,0.9960903098079565,0.003909690192043458
spin_dephasing,2.0,6.666666666666667,2.0,0.9937547153690407,0.006245284630959302
spin_dephasing,2.0,6.666666666666667,3.0,0.9908587775786806,0.009141222421319428
spin_dephasing,2.0,6.666666666666667,4.0,0.9874567794039759,0.012543220596024085
spin_dephasing,4.0,13.333333333333334,0.01,0.997256117644967,0.0027438823550329783
spin_dephasing,4.0,13.333333333333334,1.0,0.9955599317752692,0.004440068224730753
spin_dephasing,4.0,13.333333333333334,2.0,0.993225877865612,0.006774122134387994
spin_dephasing,4.0,13.333333333333334,3.0,0.990331857243185,0.009668142756815046
spin_dephasing,4.0,13.333333333333334,4.0,0.9869321263445727,0.013067873655427276
