noise_source,noise_title,nbar,matrix_family,through_origin_relative_fit_residual,slope_frobenius_norm_per_nominal_multiplier,max_point_relative_deviation
motional_heating,Motional heating/diffusion,0.01,full_generator,3.562859781190247e-05,0.0030847026748305555,0.0001668108221804729
motional_heating,Motional heating/diffusion,0.01,stochastic_SC_matrix,3.134975075845281e-05,0.0004876221717292548,0.00015626411031018317
motional_heating,Motional heating/diffusion,0.01,H_sector,0.001035433496927088,4.371918262266198e-05,0.004106307481123127
motional_heating,Motional heating/diffusion,0.01,S_sector,1.692861089950503e-05,0.002389368234453286,4.8286237892321414e-05
motional_heating,Motional heating/diffusion,0.01,C_sector,3.372396540526993e-05,0.001950487492888662,0.00017190839296259936
motional_heating,Motional heating/diffusion,0.01,A_sector,0.6635829972829709,7.703174498518914e-08,0.877968755238081
motional_heating,Motional heating/diffusion,1.0,full_generator,2.5767686414267408e-05,0.0030256442783778118,0.00011331075013789165
motional_heating,Motional heating/diffusion,1.0,stochastic_SC_matrix,2.4249871780319454e-05,0.0004782059030696812,9.577223157333683e-05
motional_heating,Motional heating/diffusion,1.0,H_sector,0.0005343972178151398,4.5050209050801996e-05,0.0031207312691269805
motional_heating,Motional heating/diffusion,1.0,S_sector,1.812527981976404e-05,0.0023438422988285796,5.727826901792577e-05
motional_heating,Motional heating/diffusion,1.0,C_sector,2.4094579828088334e-05,0.0019128238181764573,9.478925509230675e-05
motional_heating,Motional heating/diffusion,1.0,A_sector,0.7296352536853781,3.670793758004186e-08,0.9622706927027866
motional_heating,Motional heating/diffusion,2.0,full_generator,3.960743840181122e-05,0.0029677450236211414,0.00017585129920465113
motional_heating,Motional heating/diffusion,2.0,stochastic_SC_matrix,3.47305119073432e-05,0.00046895337482665635,0.0001277455245777883
motional_heating,Motional heating/diffusion,2.0,H_sector,0.0010226767972989653,4.769695527923899e-05,0.00413617062484373
motional_heating,Motional heating/diffusion,2.0,S_sector,1.904580361004937e-05,0.0022992516766393275,6.14227515424133e-05
motional_heating,Motional heating/diffusion,2.0,C_sector,3.6372042767661533e-05,0.001875812703354402,0.00013803438300277252
motional_heating,Motional heating/diffusion,2.0,A_sector,0.7760168915422654,6.03221821381614e-08,0.9704545752758174
motional_heating,Motional heating/diffusion,3.0,full_generator,9.141436445792372e-05,0.002911202160118563,0.0005164557518769848
motional_heating,Motional heating/diffusion,3.0,stochastic_SC_matrix,8.779838139673443e-05,0.00045991918876925266,0.0005153646187145396
motional_heating,Motional heating/diffusion,3.0,H_sector,0.0020522268717082346,5.1404297542341295e-05,0.00961479824401931
motional_heating,Motional heating/diffusion,3.0,S_sector,3.2881437474406824e-05,0.0022556766955137975,0.00015476804323363868
motional_heating,Motional heating/diffusion,3.0,C_sector,8.984788118255758e-05,0.0018396698923744514,0.0005517487294214318
motional_heating,Motional heating/diffusion,3.0,A_sector,0.8626352023579387,1.0982494437599753e-07,0.9902474836569878
