pulse_type,scattering_model,noise_case,nbar,detuning_offset_hz,pauli,probability
standard,constant_rate,none,0.01,0.0,IX,5.996090102277736e-05
standard,constant_rate,none,0.01,0.0,IY,-2.781981909848873e-09
standard,constant_rate,none,0.01,0.0,IZ,2.4484786143030846e-09
standard,constant_rate,none,0.01,0.0,XI,5.996692321522035e-05
standard,constant_rate,none,0.01,0.0,XX,0.00019106104501928893
standard,constant_rate,none,0.01,0.0,XY,-2.519033016901151e-09
standard,constant_rate,none,0.01,0.0,XZ,2.852537021767576e-09
standard,constant_rate,none,0.01,0.0,YI,3.0127600094490014e-09
standard,constant_rate,none,0.01,0.0,YX,-2.806548001703206e-09
standard,constant_rate,none,0.01,0.0,YY,-1.8034710495828943e-09
standard,constant_rate,none,0.01,0.0,YZ,2.634578388007636e-09
standard,constant_rate,none,0.01,0.0,ZI,2.771715419680465e-09
standard,constant_rate,none,0.01,0.0,ZX,-2.977926746621835e-09
standard,constant_rate,none,0.01,0.0,ZY,-2.96843485668771e-09
standard,constant_rate,none,0.01,0.0,ZZ,2.1373266906321575e-09
smooth_detuning,constant_rate,none,0.01,0.0,IX,2.7054183866541632e-08
smooth_detuning,constant_rate,none,0.01,0.0,IY,-1.305448841623328e-09
smooth_detuning,constant_rate,none,0.01,0.0,IZ,-3.1647689399671997e-09
smooth_detuning,constant_rate,none,0.01,0.0,XI,2.8655217961535e-08
smooth_detuning,constant_rate,none,0.01,0.0,XX,7.665336179767931e-05
smooth_detuning,constant_rate,none,0.01,0.0,XY,4.328471454526084e-09
smooth_detuning,constant_rate,none,0.01,0.0,XZ,1.4174592319785882e-10
smooth_detuning,constant_rate,none,0.01,0.0,YI,-2.4282359885419076e-10
smooth_detuning,constant_rate,none,0.01,0.0,YX,4.502414945599831e-09
smooth_detuning,constant_rate,none,0.01,0.0,YY,-6.296115139664549e-10
smooth_detuning,constant_rate,none,0.01,0.0,YZ,1.768845409121036e-10
smooth_detuning,constant_rate,none,0.01,0.0,ZI,-2.7373684360898487e-09
smooth_detuning,constant_rate,none,0.01,0.0,ZX,-1.5222230721422042e-09
smooth_detuning,constant_rate,none,0.01,0.0,ZY,-9.48675602203736e-10
smooth_detuning,constant_rate,none,0.01,0.0,ZZ,1.4014027785447247e-09
standard,constant_rate,all_noise,0.01,0.0,IX,0.0005489623955080886
standard,constant_rate,all_noise,0.01,0.0,IY,7.138127220327957e-05
standard,constant_rate,all_noise,0.01,0.0,IZ,0.0001742121056679952
standard,constant_rate,all_noise,0.01,0.0,XI,0.0005489641417379241
standard,constant_rate,all_noise,0.01,0.0,XX,0.0003526369493525871
standard,constant_rate,all_noise,0.01,0.0,XY,0.00017422317607446693
standard,constant_rate,all_noise,0.01,0.0,XZ,7.136695728310464e-05
standard,constant_rate,all_noise,0.01,0.0,YI,7.138329940190362e-05
standard,constant_rate,all_noise,0.01,0.0,YX,0.000174222683253852
standard,constant_rate,all_noise,0.01,0.0,YY,7.394825181188115e-08
standard,constant_rate,all_noise,0.01,0.0,YZ,4.5317332549364395e-08
standard,constant_rate,all_noise,0.01,0.0,ZI,0.0001742122887429948
standard,constant_rate,all_noise,0.01,0.0,ZX,7.136523983239885e-05
standard,constant_rate,all_noise,0.01,0.0,ZY,4.331891306957992e-08
standard,constant_rate,all_noise,0.01,0.0,ZZ,7.891404252280411e-08
smooth_detuning,constant_rate,all_noise,0.01,0.0,IX,0.00014670822992368613
smooth_detuning,constant_rate,all_noise,0.01,0.0,IY,4.854321235811398e-05
smooth_detuning,constant_rate,all_noise,0.01,0.0,IZ,0.0005055805815644203
smooth_detuning,constant_rate,all_noise,0.01,0.0,XI,0.00014670608802936039
smooth_detuning,constant_rate,all_noise,0.01,0.0,XX,7.997233097951346e-05
smooth_detuning,constant_rate,all_noise,0.01,0.0,XY,0.0005055451978328973
smooth_detuning,constant_rate,all_noise,0.01,0.0,XZ,4.805297228647936e-05
smooth_detuning,constant_rate,all_noise,0.01,0.0,YI,4.854135687473127e-05
smooth_detuning,constant_rate,all_noise,0.01,0.0,YX,0.0005055446103469898
smooth_detuning,constant_rate,all_noise,0.01,0.0,YY,4.0873306196041897e-07
smooth_detuning,constant_rate,all_noise,0.01,0.0,YZ,9.470162105245717e-08
smooth_detuning,constant_rate,all_noise,0.01,0.0,ZI,0.0005055805824856764
smooth_detuning,constant_rate,all_noise,0.01,0.0,ZX,4.8055414334572064e-05
smooth_detuning,constant_rate,all_noise,0.01,0.0,ZY,9.685725819758914e-08
smooth_detuning,constant_rate,all_noise,0.01,0.0,ZZ,6.294820144789327e-07
