run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,IX,0.0005489623955080886
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,IY,7.138127220327957e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,IZ,0.0001742121056679952
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,XI,0.0005489641417379241
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,XX,0.0003526369493525871
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,XY,0.00017422317607446693
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,XZ,7.136695728310464e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,YI,7.138329940190362e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,YX,0.000174222683253852
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,YY,7.394825181188115e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,YZ,4.5317332549364395e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,ZI,0.0001742122887429948
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,ZX,7.136523983239885e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,ZY,4.331891306957992e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,ZZ,7.891404252280411e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,IX,0.0010649770445384256
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,IY,9.543359853781e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,IZ,0.00015017955799833535
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,XI,0.001064972251658991
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,XX,0.001442915680122739
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,XY,0.00015015786959304662
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,XZ,9.541248510221561e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,YI,9.542893639985092e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,YX,0.00015015785230471803
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,YY,5.984479347319328e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,YZ,4.97148543919209e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,ZI,0.00015017873753997438
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,ZX,9.54179849872131e-05
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,ZY,5.508399793597902e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,ZZ,7.685489395586888e-08
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,2.0,IX,0.0015556266285024264
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,2.0,IY,0.00010195787219094901
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,2.0,IZ,0.0001436475766315726
