run_signature,pulse_type,noise_case,scattering_model,nbar,gate_time_s,F_avg,infidelity,p_err,p_weight1,p_weight2,offdiag_ratio,error_offdiag_ratio,exact_pauli_distance,alpha_final_abs,alpha_max_abs,alpha2_integral,entangling_angle_error,integrated_omega2,choi_min_eigenvalue,tp_error,hp_error,standard_infidelity,delta_infidelity,improvement_factor
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,smooth_detuning,all_noise,constant_rate,0.01,0.0002258,0.9979280018483095,0.0020719981516904573,0.00259006035097209,0.0014016600512359884,0.0011884002997361413,0.7069969488041731,0.0004997570498940352,0.012217947643416561,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,2.4352830500251135e-07,2.0095800804729996e-15,4.111286434719595e-15,0.0019464942183106126,0.00012550393337984467,0.9394285495489215
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,smooth_detuning,all_noise,constant_rate,1.0,0.0002258,0.997030199130317,0.0029698008696830147,0.003712291552718683,0.0015623032144659234,0.0021499883382525824,0.7059635034404534,0.0005226520201160615,0.03379118091631123,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,3.873234916528901e-07,2.7597535684062293e-15,2.7615136512060038e-15,0.003644326629354544,-0.0006745257596715293,1.2271282787197533
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,smooth_detuning,all_noise,constant_rate,2.0,0.0002258,0.9954330801926379,0.004566919807362124,0.005708699471597023,0.0017178237994266224,0.003990875672170392,0.7039817659345441,0.0005751680793480231,0.05512390483485277,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,5.283208985573634e-07,2.3595377873687956e-15,2.3658128081127465e-15,0.00598072152590845,-0.0014138017185463259,1.3095744567853371
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,smooth_detuning,all_noise,constant_rate,3.0,0.0002258,0.9932099688624975,0.006790031137502539,0.008487607971408684,0.0018668312732076121,0.006620776698201084,0.701134729561233,0.0006448904854739438,0.07593078359455678,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,7.742127131174088e-07,5.243942487748404e-15,2.3779886260709434e-15,0.008877615527333349,-0.00208758438983081,1.307448426605986
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,smooth_detuning,all_noise,constant_rate,4.0,0.0002258,0.9904182910748748,0.00958170892512522,0.011977197103975934,0.0020094302624480533,0.009967766841527807,0.6974906081256137,0.000723263713108034,0.09616573029419549,0.00014060279032121129,0.13532761174525268,2.386717117429156e-06,-8.666475753904557e-05,312029.54776439944,7.685788348116484e-07,5.097780323370537e-15,2.5575714130924247e-15,0.012280752112334703,-0.0026990431872094822,1.281687036028827
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,0.01,0.0001,0.9980535057816894,0.0019464942183106126,0.0024331720075985164,0.001589115503262186,0.0008440565043363632,0.7067235853582399,0.0007565497480577524,0.019449420302331308,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,1.498470474372767e-07,2.526749337763352e-15,2.71133721129316e-15,0.0019464942183106126,0.0,1.0
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,1.0,0.0001,0.9963556733706455,0.003644326629354544,0.004555473497322993,0.002621170126673387,0.0019343033706496894,0.7054969943551374,0.0014836495814574161,0.04074400173649603,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,1.8274258491967625e-07,2.608792487750371e-15,1.487172025311915e-15,0.003644326629354544,0.0,1.0
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,2.0,0.0001,0.9940192784740915,0.00598072152590845,0.00747594125767681,0.0036024710469438432,0.00387347021073299,0.7033527907875925,0.002182225957562177,0.061762810980928506,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,1.8607765386781148e-07,2.859709826074983e-15,1.4931124410436632e-15,0.00598072152590845,0.0,1.0
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,3.0,0.0001,0.9911223844726667,0.008877615527333349,0.011097064177730931,0.004522799244357446,0.0065742649333735475,0.7003718764548825,0.0028418194872763124,0.082241987079501,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,-4.6623205886967966e-08,2.2454267876361788e-15,1.5474277948594879e-15,0.008877615527333349,0.0,1.0
784a05af21406d5910959897367492a7e417b90188139b8a0ef85e3c94a9da7f,standard,all_noise,constant_rate,4.0,0.0001,0.9877192478876653,0.012280752112334703,0.01535100308716153,0.005390696420808609,0.009960306666352834,0.6966249504744034,0.0034681759191759892,0.10213968810043446,2.13600777145116e-14,0.49999342024641763,1.2499671014485726e-05,-1.033545274109482e-05,98696.04401089359,1.1723356791711113e-07,3.855990519047002e-15,1.2567642816092356e-15,0.012280752112334703,0.0,1.0
