run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,IX,0.0005245176848497385
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,IY,-1.4227731107792265e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,IZ,1.046935801940485e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,XI,0.0005245204063576474
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,XX,0.0003529002180357343
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,XY,-8.892622332945521e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,XZ,1.2650993979479571e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,YI,6.18308405770675e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,YX,-3.0088735745569667e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,YY,-9.564520668525756e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,YZ,5.743990782010799e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,ZI,7.074003952056707e-10
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,ZX,-1.0248217063786895e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,ZY,-1.035095633798765e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,0.01,ZZ,1.4171487178193942e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,IX,0.0010410827901254297
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,IY,2.6626910992386646e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,IZ,-4.2844631870098135e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,XI,0.0010410766757828827
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,XX,0.0014443086055665555
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,XY,4.963285626241599e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,XZ,-3.3415136812327715e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,YI,-3.98401880986909e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,YX,4.718012284836687e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,YY,4.134029389646355e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,YZ,-3.5422247189750245e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,ZI,-4.298901540300549e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,ZX,3.5649078898277253e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,ZY,3.896564213976516e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,1.0,ZZ,-4.488368732236126e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,2.0,IX,0.0015322577951047607
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,2.0,IY,-3.9176265963241806e-09
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,2.0,IZ,1.6857101978184907e-08
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,2.0,XI,0.0015322666638937952
9386f232e2d18838292731e6e0d71705ee8a24d44e5645c28f77675b4553eca2,standard,all_motional,constant_rate,2.0,XX,0.0033854281806274906
