run_signature,pulse_type,noise_case,scattering_model,nbar,pauli,probability
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,IX,0.000303428197650595
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,IY,-2.3272286843323687e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,IZ,3.3340187693964296e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,XI,0.0003034323292234785
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,XX,0.00019160142398644373
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,XY,-2.9375538061066075e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,XZ,1.9307637405988434e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,YI,1.965961998179859e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,YX,-3.270834380143632e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,YY,-3.2060388736182555e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,YZ,2.0879739334606355e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,ZI,3.467227657760752e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,ZX,-2.1623552188221545e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,ZY,-2.1667628249822236e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,0.01,ZZ,3.284827590488426e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,IX,0.00040715338952269865
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,IY,-4.26362429437643e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,IZ,2.7194395207930096e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,XI,0.0004071609666461373
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,XX,0.0012907810625288824
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,XY,-2.578163698155333e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,XZ,4.122348333150611e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,YI,3.0035592754022866e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,YX,-2.9372539399634057e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,YY,-2.6414726048834543e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,YZ,3.805026376374101e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,ZI,3.295485787035978e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,ZX,-3.361791280046704e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,ZY,-3.369173367917787e-09
4543e15f1a90f651d897ce08acad9cce47a31f0a633604e0fac39eb5966cec98,standard,heating_only,constant_rate,1.0,ZZ,2.205619797912561e-09
